family_group,aggregation,family_a,family_b,pearson,spearman
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0,1.0,1.0
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,0.1160076203008233,0.15709066532595947
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,0.1844579336308795,0.2224399107371244
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R10p0,0.2759876238293758,0.2801785257512812
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R4p0,0.11576687299109438,0.18747744171892777
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R5p0,0.3052076859451155,0.2403746923870763
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R6p0,0.4317761032918493,0.3259403914512274
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R7p5,0.3852022080260982,0.35537879389272586
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R8p0,0.3906184083901109,0.35898459068737715
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R10p0,0.36622194821315684,0.2955860742857647
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,0.25592606283209,0.279469805902684
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,0.1528269483079086,0.18251964753512742
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0,0.11600762030082332,0.15709066532595947
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,1.0,1.0
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,0.7307631895306065,0.6288001552397838
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R10p0,0.4013517513901773,0.355938009931818
