feature,spearman_rho_HIC_dev,pvalue
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__Q95,0.018851520820595963,0.8118005505685348
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__TOP3_MEAN,0.10515329480710504,0.18295413565202037
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_FV__TOP5_MEAN,0.1153842354695667,0.14370905731056452
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__MAX,0.08617293868980232,0.27556390843007067
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__MEAN,0.15402724213782434,0.0503521515371117
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__SUM,0.10173357219362118,0.1976850407637411
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__Q90,0.026410759086307724,0.7386744342669265
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__Q95,0.045845171132396396,0.5623867676678813
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__TOP3_MEAN,0.10419780483214484,0.18698640240534747
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__HEAVY__TOP5_MEAN,0.10132851218946524,0.19948526538031636
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__MAX,0.0709391323654724,0.3696939461992858
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__MEAN,0.16171914814008892,0.039786066109847196
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__SUM,0.15093072071232555,0.05521810001041557
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__Q90,0.11063219005495664,0.16105860093190721
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__Q95,0.08175296425342675,0.3010332668427998
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__TOP3_MEAN,0.06119087644663912,0.4392105663582409
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__TOP5_MEAN,0.05892141133624619,0.45640034341822583
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__MAX,0.11067108052038226,0.1609105208848462
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__MEAN,0.2729610452396287,0.00044091184107868044
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__SUM,0.1808077772558006,0.021307136996949257
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__Q90,0.15669188774007672,0.04645494025850804
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__Q95,0.18226147692228362,0.020269327822493143
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__TOP3_MEAN,0.1519991193992456,0.05349708664862405
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__TOP5_MEAN,0.18808615510051221,0.01653713544685651
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__MAX,0.08023547445770983,0.31012475575303167
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__MEAN,0.0490927079601415,0.5350051136189863
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__SUM,-0.04505339878977797,0.5691628204989273
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__Q90,0.032904421382898424,0.6776482361271063
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__Q95,0.03467849951956752,0.6613144089109837
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__TOP3_MEAN,0.090795540722511,0.2505292278330497
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__TOP5_MEAN,0.0994471707764343,0.20800217347722735
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__MAX,0.08471546636343309,0.2837962203994078
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__MEAN,-0.057172737659768054,0.4698970282941096
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__SUM,-0.06913964976861234,0.3819895016921284
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__Q90,0.022931759399044935,0.7720827909095208
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__Q95,0.06108643588807625,0.43999346321636257
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__TOP3_MEAN,0.03527268161625622,0.6558788491047868
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__TOP5_MEAN,0.04457212540504913,0.5733003803105686
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_FV__MAX,-0.0068436793036662285,0.9311227588401255
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_FV__MEAN,0.28597941972859914,0.0002250596353512455
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_FV__SUM,0.19789368809312446,0.011593343615035381
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_FV__Q90,0.1186261268617138,0.13271369574186942
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_FV__Q95,0.052777766046731005,0.5047627929425833
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_FV__TOP3_MEAN,-0.052352947017982085,0.5082030700463315
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_FV__TOP5_MEAN,-0.051534358856273194,0.5148663706724974
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__HEAVY__MAX,-0.042967410336319796,0.5871974027598827
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__HEAVY__MEAN,0.23253125820460652,0.0029046980879594664
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__HEAVY__SUM,0.15985192031605297,0.04216247872033295
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__HEAVY__Q90,0.04744282940662824,0.5488325694901297
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__HEAVY__Q95,-0.0127713866815582,0.8718562991831517
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__HEAVY__TOP3_MEAN,-0.08997695256080213,0.2548438300089107
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__HEAVY__TOP5_MEAN,-0.06609252590459598,0.4033683649665133
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__LIGHT__MAX,0.03945877211216755,0.6181081628324415
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__LIGHT__MEAN,0.12140368117592605,0.12381670706542346
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__LIGHT__SUM,0.10786592661194039,0.17185497540719197
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__LIGHT__Q90,0.16506689144969838,0.03580711481017559
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__LIGHT__Q95,0.11865999947530177,0.13260231869587866
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__LIGHT__TOP3_MEAN,0.07907985049777738,0.3171674737796998
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__LIGHT__TOP5_MEAN,0.08737440675012764,0.26890014590813877
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_CDR__MAX,0.11581469993391362,0.14221045783867148
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_CDR__MEAN,0.35136203210674755,4.5504775594877134e-06
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_CDR__SUM,0.25487306958366124,0.0010637039656646871
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_CDR__Q90,0.15499120026618154,0.04891208175625246
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_CDR__Q95,0.08970597165209847,0.25628332362651096
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_CDR__TOP3_MEAN,0.12214182188036354,0.12153166339801105
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__ALL_CDR__TOP5_MEAN,0.12020402611135267,0.12760112639578416
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__H_CDR3__MAX,0.07627830308227368,0.33466866856718935
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__H_CDR3__MEAN,0.027528555334710207,0.7280399458732267
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__H_CDR3__SUM,-0.06573968617972145,0.4058889571430977
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__H_CDR3__Q90,0.014457960566458415,0.8551084588242737
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__H_CDR3__Q95,0.03365526431743141,0.6707163882599397
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__H_CDR3__TOP3_MEAN,0.0654080168383394,0.4082667891713155
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__H_CDR3__TOP5_MEAN,0.08365829876774918,0.28986966860720675
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__L_CDR3__MAX,0.011172317048426864,0.8877880668305592
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__L_CDR3__MEAN,-0.005689187723876794,0.9427201729598353
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__L_CDR3__SUM,-0.010541439620351221,0.8940863330082003
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__L_CDR3__Q90,0.015537650124574452,0.8444203968611413
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__L_CDR3__Q95,0.014899715902001318,0.8507321356911572
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__L_CDR3__TOP3_MEAN,0.011492695518612933,0.884592278301229
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0__L_CDR3__TOP5_MEAN,0.07299830499984011,0.35592675247477223
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_FV__MAX,0.03970575991957971,0.6159092882297146
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_FV__MEAN,0.1240146951399975,0.11588044804250865
