feature_name,family_id,literature_anchor,scale,raw_minmax,exposure,neighborhood,radius,scope,aggregation,source_reference,implementation_version,spec_hash
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__Q90,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,HEAVY,Q90,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__Q95,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,HEAVY,Q95,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__TOP3_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,HEAVY,TOP3_MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__HEAVY__TOP5_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,HEAVY,TOP5_MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__MAX,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,LIGHT,MAX,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,LIGHT,MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__SUM,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,LIGHT,SUM,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__Q90,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,LIGHT,Q90,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__Q95,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,LIGHT,Q95,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__TOP3_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,LIGHT,TOP3_MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
