feature_name,family_id,literature_anchor,scale,raw_minmax,exposure,neighborhood,radius,scope,aggregation,source_reference,implementation_version,spec_hash
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__SUM,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,LIGHT,SUM,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__Q90,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,LIGHT,Q90,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__Q95,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,LIGHT,Q95,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__TOP3_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,LIGHT,TOP3_MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__LIGHT__TOP5_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,LIGHT,TOP5_MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__MAX,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_CDR,MAX,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_CDR,MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__SUM,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_CDR,SUM,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__Q90,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_CDR,Q90,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__Q95,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_CDR,Q95,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__TOP3_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_CDR,TOP3_MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__ALL_CDR__TOP5_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,ALL_CDR,TOP5_MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__MAX,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,H_CDR3,MAX,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,H_CDR3,MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__SUM,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,H_CDR3,SUM,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__Q90,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,H_CDR3,Q90,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__Q95,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,H_CDR3,Q95,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__TOP3_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,H_CDR3,TOP3_MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__H_CDR3__TOP5_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,H_CDR3,TOP5_MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__MAX,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,L_CDR3,MAX,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,L_CDR3,MEAN,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__SUM,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,L_CDR3,SUM,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__Q90,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,L_CDR3,Q90,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0__L_CDR3__Q95,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,5.0,L_CDR3,Q95,generic_spatial_factory_v1,HSP_v1,492f6972e7a8dde1
