target,persona,n_transitions,cv_private_directional_agreement,public_private_directional_agreement,corr_dCV_dPrivate_pearson,corr_dPublic_dPrivate_pearson,corr_dCV_dPrivate_spearman,corr_dPublic_dPrivate_spearman,n_public_false_positive,n_cv_false_positive
HIC,A_CV_FIRST,6,0.8333333333333334,0.8333333333333334,0.9939533482595706,0.9920985000577912,0.8857142857142858,1.0,1,0
HIC,B_BALANCED,8,0.625,0.75,0.992448341381019,0.9923518190377865,0.880952380952381,0.9047619047619048,2,0
HIC,C_PUBLIC_DRIVEN,8,0.875,0.875,0.9927117819061116,0.9930309477571125,0.9523809523809524,1.0,1,0
TmApp,A_CV_FIRST,7,0.42857142857142855,0.7142857142857143,-0.048916210273957594,0.5334979557738654,-0.21428571428571433,0.4642857142857144,1,1
TmApp,B_BALANCED,7,0.42857142857142855,0.5714285714285714,-0.05023279893590894,0.26413335987298187,-0.10714285714285716,0.28571428571428575,1,0
TmApp,C_PUBLIC_DRIVEN,8,0.125,0.75,-0.21205142316460063,0.34464117327958227,-0.3571428571428572,0.19047619047619052,1,1
