target,persona,submission_order,best_cv_mae_so_far,best_public_mae_so_far,private_of_cv_best_so_far,private_of_public_best_so_far,if_ended_today_selected,if_ended_today_private_mae,best_private_mae_so_far
HIC,B_BALANCED,7,0.4732561097708334,0.513408336546995,0.45826540519197684,0.44367945518073937,HIC_B_BALANCED_S06,0.45826540519197684,0.44367945518073937
HIC,B_BALANCED,8,0.47265089161251994,0.5091125257852236,0.44938229706119553,0.44938229706119553,HIC_B_BALANCED_S08,0.44938229706119553,0.44367945518073937
HIC,B_BALANCED,9,0.47265089161251994,0.5091125257852236,0.44938229706119553,0.44938229706119553,HIC_B_BALANCED_S08,0.44938229706119553,0.44367945518073937
HIC,C_PUBLIC_DRIVEN,1,0.5188811237373737,0.5408271604938271,0.5041234567901235,0.5041234567901235,HIC_C_PUBLIC_DRIVEN_S01,0.5041234567901235,0.5041234567901235
HIC,C_PUBLIC_DRIVEN,2,0.5188811237373737,0.5408271604938271,0.5041234567901235,0.5041234567901235,HIC_C_PUBLIC_DRIVEN_S01,0.5041234567901235,0.5041234567901235
HIC,C_PUBLIC_DRIVEN,3,0.4872309683131382,0.534171606524239,0.46743320302104524,0.46743320302104524,HIC_C_PUBLIC_DRIVEN_S03,0.46743320302104524,0.46743320302104524
HIC,C_PUBLIC_DRIVEN,4,0.47795781488736383,0.5260061809498255,0.4734627182286842,0.4734627182286842,HIC_C_PUBLIC_DRIVEN_S04,0.4734627182286842,0.46743320302104524
HIC,C_PUBLIC_DRIVEN,5,0.47795781488736383,0.5260061809498255,0.4734627182286842,0.4734627182286842,HIC_C_PUBLIC_DRIVEN_S04,0.4734627182286842,0.46743320302104524
HIC,C_PUBLIC_DRIVEN,6,0.47473715280088025,0.5157892958653838,0.4558586081790777,0.4558586081790777,HIC_C_PUBLIC_DRIVEN_S06,0.4558586081790777,0.4558586081790777
HIC,C_PUBLIC_DRIVEN,7,0.47473715280088025,0.5157892958653838,0.4558586081790777,0.4558586081790777,HIC_C_PUBLIC_DRIVEN_S06,0.4558586081790777,0.4558586081790777
HIC,C_PUBLIC_DRIVEN,8,0.47473715280088025,0.513408336546995,0.4558586081790777,0.44367945518073937,HIC_C_PUBLIC_DRIVEN_S08,0.44367945518073937,0.44367945518073937
HIC,C_PUBLIC_DRIVEN,9,0.47473715280088025,0.513408336546995,0.4558586081790777,0.44367945518073937,HIC_C_PUBLIC_DRIVEN_S08,0.44367945518073937,0.44367945518073937
