scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,b25f0be220e76c3be6a01103d69ec860cc40d5db8aad4a039944e6958d045e9e,209,97
primary,1,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,c3c26a136878f8c90f91e36a401909626a1ab7e5671fdc234ad927a643ad4744,209,96
primary,2,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,f79079910fb5c4e8fea81df0a88bc681c7f4e021e899c179b2d7748ada79d10a,209,97
primary,3,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,4745e2bf71dde9931b3dfa88641329e6e4f083c4309ca8f4958dd3736a78750d,209,98
primary,4,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,d462486f7ca079d195f5f22554f7c62eeeb7cbecd76ff99e529a6c9217ab74cb,209,98
shadow,0,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,5d6640c33ed5fa52eb874fce7edc3fc8fdb12f5c30d9ccbc1636cfe18d6a0d62,209,97
shadow,1,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,251b15741530f048ccf61ac40e950eec73bd41a314b08afedbf69a3eea87742a,209,97
shadow,2,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,3fba950c0c7b6250b57c049bc6f63b23276f828377e46aacc5671d23c32ca2e1,209,98
shadow,3,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,9e4c0ba17f624186c8ad4c62c22fa26875c4f1c9a256741b477ce5d369d0fea0,209,97
shadow,4,FS_HIC_F4_PLUS_STATIC_SAP_KD_CHAIN9,7b2bf65bb99a3c175a995a2114515cd74c8257d3965df71ce73674e783aa2bdc,209,97
