scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,F4_H047_AUX_ALL,b44e3dd2e59266c9b0c5b0badfb6740727fd5e1665e6882ff0019fc442fc93f8,200,97
primary,1,F4_H047_AUX_ALL,0a4f721fe45293c086c634b0cb242af0fafd7812c7361aef589fc4121bb7a537,200,96
primary,2,F4_H047_AUX_ALL,b0153bc473262437a053a5fd3652eebe94026b95bd3b1bc121048b3b610233e5,200,97
primary,3,F4_H047_AUX_ALL,653e4b7a2c5d4544e3612ad24936b637ae04ebb2fb582b0e177c3bfdd3780653,200,98
primary,4,F4_H047_AUX_ALL,c9627d89837b3419ae232878ab803397069dcf8f9439a817f7c8ffd791d6e0c3,200,98
shadow,0,F4_H047_AUX_ALL,e64231e00c520f23d608df91446d2bc00dde22f0d846e3274a40b38e11b49d0a,200,97
shadow,1,F4_H047_AUX_ALL,2573d1cdbcf17cfe1e45fc64973e6a039e295e5fbd979caeb2e00e1e2d43177c,200,97
shadow,2,F4_H047_AUX_ALL,568a2e223294f028a604f0efc4aca01781e864c043ca4e6451dc66c97f0b692a,200,98
shadow,3,F4_H047_AUX_ALL,5efeccd8bfd74203487f3d114f769edfcd788fb9a89912b1e55216f30fd8736e,200,97
shadow,4,F4_H047_AUX_ALL,910c08c9d6dd7ea754da280023a883102adab3ac5bd31b06e4179599609fedb1,200,97
