target,split,cv_to_public,public_to_private,cv_to_private
HIC,canonical,0.31725190839694656,0.6367521367521368,0.5802412649717498
HIC,shadow_1,0.6239316239316238,0.6526251526251526,0.7484737484737484
HIC,shadow_2,0.5805860805860806,0.4731379731379732,0.9194139194139194
HIC,shadow_3,0.8394383394383393,0.5842490842490842,0.5360195360195361
HIC,shadow_4,0.7855289360334128,0.6672771672771672,0.5095405341001812
HIC,shadow_5,0.37301587301587297,0.532824427480916,0.826007326007326
TmApp,canonical,0.9114774114774115,0.775946275946276,0.8547008547008547
TmApp,shadow_1,0.749084249084249,0.7850381679389312,0.7997557997557997
TmApp,shadow_2,0.73992673992674,0.5921855921855921,0.6929181929181929
TmApp,shadow_3,0.9230769230769231,0.6550671550671551,0.7832722832722833
TmApp,shadow_4,0.7698412698412698,0.691086691086691,0.8357753357753357
TmApp,shadow_5,0.8253968253968252,0.8534798534798536,0.9261294261294261
