target,split,plm_minus_bio,abb_minus_plm,esmn_minus_plm,abb_minus_esmn,fusion_minus_plm,s1_minus_s0,s2_minus_s0,s3_minus_s0,s4_minus_s0,patch_best,best_simple,best_bio,best_plm,best_abb,best_esmn,best_overall
HIC,canonical,0.2180454929044448,0.0247436139889598,0.07510832710551113,-0.05036471311655133,0.04530517114699589,0.02668595001390922,0.03309305844636273,-0.0981429787766045,0.03309305844636273,0.1154576480563098,0.4743413945940932,0.2393423020431127,0.4573877949475575,0.4821314089365173,0.5324961220530686,0.5324961220530686
HIC,shadow_1,0.2710700267850678,0.004831501227446466,0.04444142279975849,-0.039609921572312023,0.005797530876395562,-0.02259887006497896,0.012700448620005855,-0.11578961258641995,-0.00632722360407556,0.1647691115666096,0.5426340072209075,0.2600805397559313,0.5311505665409991,0.5359820677684456,0.5755919893407576,0.5755919893407576
HIC,shadow_2,0.35969842620710124,-0.04003110748237049,0.00045515924117500717,-0.040486266723545494,0.028415680093942464,0.0320273982284614,0.027981209909184457,-0.05253025313775522,0.027981209909184457,0.1316947108329708,0.4228710130567511,0.156551904093121,0.5162503303002223,0.4762192228178518,0.5167054895413973,0.5446660103941647
HIC,shadow_3,0.31609900694131754,-0.06566910375098517,-0.015917234061346375,-0.049751869689638795,0.022873293633824177,-0.028554334768103318,-0.006278264294078406,-0.11056120249768991,-0.024800663523495636,0.1429625025424643,0.4828630525868068,0.243379649158569,0.5594786560998866,0.4938095523489014,0.5435614220385402,0.5823519497337107
HIC,shadow_4,0.23445743034851196,0.009943644018074016,0.07626594265320963,-0.06632229863513561,0.03263472894928032,-0.09409489037662433,-0.019330529318580147,-0.117997508948335,-0.06989422252736543,0.2249105185902617,0.5038313002229722,0.2820499656585148,0.5165073960070268,0.5264510400251008,0.5927733386602364,0.5927733386602364
HIC,shadow_5,0.17218252494538777,0.08843731780307773,0.016347374885610333,0.0720899429174674,0.07307610629209771,0.002019001148330868,0.020155339072571388,-0.126378270029737,-0.02521551070886041,0.1792736997183398,0.4449883865138317,0.3113662497484716,0.4835487746938594,0.5719860924969371,0.4998961495794697,0.5719860924969371
TmApp,canonical,0.07101259779314428,-0.17435315113868455,-0.21826064831360814,0.04390749717492359,-0.0448943943913106,0.043183824932652604,0.07101181204695284,-0.06541729916424976,0.07101181204695284,0.1670614264825769,0.5413720541526099,0.5047790682733442,0.5757916660664885,0.4014385149278039,0.3575310177528803,0.5757916660664885
TmApp,shadow_1,0.191019450907349,-0.25895663074798214,-0.29838422802970904,0.0394275972817269,-0.027415557458371098,0.012364262538650195,-0.01135206695782992,-0.02886625253070671,-0.04805616435513513,0.2965217170048954,0.4205201229118968,0.3644588968455285,0.5554783477528775,0.2965217170048954,0.2570941197231685,0.5554783477528775
TmApp,shadow_2,0.1971448262982322,-0.10045369377173452,-0.14425010183434622,0.0437964080626117,-0.09595994935749907,0.018181995198593592,0.048302001965763286,-0.0006851792708535975,0.048302001965763286,0.2088451510597269,0.3657477189414134,0.2850429410202346,0.4821877673184668,0.3817340735467323,0.3379376654841206,0.4821877673184668
TmApp,shadow_3,0.12233967731692708,-0.18718424551667728,-0.23937436686938307,0.05219012135270579,-0.014972874407344794,0.019247611835465916,0.0613028094409131,-0.08344299117405109,0.0613028094409131,0.1443122794338269,0.3443156369856781,0.3223656216866187,0.4447052990035458,0.2575210534868685,0.2053309321341627,0.4447052990035458
TmApp,shadow_4,0.1636781085800919,-0.2008679367628462,-0.1022272051695256,-0.0986407315933206,-0.067265785391523,0.08502367246650372,0.0915825021362231,-0.030288219291712187,0.0915825021362231,0.2044186898590736,0.3869530902734552,0.305200589454124,0.4688786980342159,0.2680107612713697,0.3666514928646903,0.4688786980342159
TmApp,shadow_5,0.11721219624138807,-0.1011123817293344,-0.2020750788952725,0.10096269716593809,-0.028662298114888185,0.061755442968349006,0.1329841740102975,-0.011994967896215208,0.1329841740102975,0.1571026732314118,0.406483584021159,0.3508890842173871,0.4681012804587752,0.3669888987294408,0.2660262015635027,0.4681012804587752
