model,corr_pearson_vs_fold_SD,corr_pearson_vs_fold_range,corr_pearson_vs_n_gt_Q90,corr_pearson_vs_max
SEQ_SIMPLE_Ridge,-0.026608254668905634,-0.04845616379684028,-0.029032966050158503,-0.004003637332469894
PLM_ESM2_PCA64_SVR,-0.13016562611193272,0.031219183381224,0.011714556359185939,0.055996251473860226
ESMFN_STRUCTURE_ElasticNet,-0.16123189056837567,0.07543390856389452,-0.011730146795055468,0.08141623163167637
FUSION,-0.09903039586158265,0.05240088885567145,0.06563196168136659,0.0647122313294566
