role,baseline,MAE,RMSE,Pearson,Spearman
cv,train_median,0.5171296296296296,0.8540526084643094,,
cv,train_mean,0.5810100594421584,0.8070141293347299,,
public,train_median,0.5408271604938271,0.9520836214441576,,
public,train_mean,0.5991285627190981,0.9065642228638864,,
private,train_median,0.5041234567901235,0.8204771120256948,,
private,train_mean,0.5902026367931721,0.8000713906808239,,
