scheme,status,feasible,repeat,fold,N,n_groups,mean,SD,n_gt_TrainQ90,n_gt_TrainQ95,wasserstein_vs_train,ks_vs_train
SGKF_Q5,OK,True,1,4,29,17,9.383172413793105,0.740468436144383,2,2,0.07932503192848024,0.08727117922520217
SGKF_Q5,OK,True,2,0,35,16,9.342714285714285,0.8479888515994622,4,1,0.10007142857142856,0.11093474426807759
SGKF_Q5,OK,True,2,1,35,17,9.416428571428572,0.8146498087671595,4,3,0.07482169312169319,0.07971781305114639
SGKF_Q5,OK,True,2,2,30,16,9.345366666666667,0.595123950191852,2,0,0.11618518518518524,0.13456790123456788
SGKF_Q5,OK,True,2,3,33,19,9.483636363636363,1.0334129081041918,5,4,0.15504882154882146,0.12008978675645343
SGKF_Q5,OK,True,2,4,29,17,9.380068965517241,0.6968395455316443,2,1,0.11593380161770976,0.11025968497232863
SGKF_Q5,OK,True,3,0,35,16,9.3164,0.8086739399637352,3,1,0.11390458553791893,0.1063492063492063
SGKF_Q5,OK,True,3,1,35,17,9.41537142857143,0.8022349694562605,4,3,0.06702380952380958,0.05361552028218697
SGKF_Q5,OK,True,3,2,30,16,9.4669,0.8260557445496327,4,2,0.09682962962962957,0.13950617283950617
SGKF_Q5,OK,True,3,3,33,19,9.419909090909092,0.9265831170096249,4,2,0.10364927048260365,0.11616161616161613
SGKF_Q5,OK,True,3,4,29,17,9.359896551724137,0.6991159900100159,2,1,0.10067667092379738,0.10578969774372071
SGKF_Q5,OK,True,4,0,35,16,9.377314285714284,0.8677381270538118,5,1,0.07822910052910065,0.08659611992945326
SGKF_Q5,OK,True,4,1,35,17,9.426628571428571,0.8421584343645964,5,3,0.08378218694885364,0.07054673721340388
SGKF_Q5,OK,True,4,2,30,16,9.383233333333335,0.6212590488251472,2,0,0.12756296296296288,0.13456790123456788
SGKF_Q5,OK,True,4,3,33,19,9.432666666666666,0.9970777824054984,4,4,0.1315852974186307,0.12906846240179576
SGKF_Q5,OK,True,4,4,29,17,9.344827586206897,0.6712236198043474,1,1,0.10797935291613474,0.10578969774372071
