model,role,region,N,model_MAE,median_MAE,gain
CONST_MEDIAN,cv,central_80,129,0.3027674418604652,0.30193023255813956,-0.0008372093023256699
CONST_MEDIAN,cv,upper_20,33,1.629313131313131,1.6236969696969692,-0.005616161616161852
CONST_MEDIAN,cv,upper_10,17,2.248666666666667,2.240647058823529,-0.0080196078431376
CONST_MEDIAN,cv,upper_5,9,2.7170925925925924,2.7108888888888885,-0.006203703703703933
CONST_MEDIAN,public,central_80,67,0.3097910447761194,0.3097910447761194,0.0
CONST_MEDIAN,public,upper_20,16,1.7441249999999995,1.7441249999999995,0.0
CONST_MEDIAN,public,upper_10,8,2.5221249999999995,2.5221249999999995,0.0
CONST_MEDIAN,public,upper_5,5,3.0949999999999998,3.0949999999999998,0.0
CONST_MEDIAN,private,central_80,64,0.33478125,0.33478125,0.0
CONST_MEDIAN,private,upper_20,15,1.5568666666666664,1.5568666666666664,0.0
CONST_MEDIAN,private,upper_10,5,2.7592,2.7592,0.0
CONST_MEDIAN,private,upper_5,5,2.7592,2.7592,0.0
SEQ_SIMPLE_Ridge,cv,central_80,129,0.447216538840674,0.30193023255813956,-0.14528630628253447
SEQ_SIMPLE_Ridge,cv,upper_20,33,1.0859918463723919,1.6236969696969692,0.5377051233245773
SEQ_SIMPLE_Ridge,cv,upper_10,17,1.527209659806779,2.240647058823529,0.7134373990167502
SEQ_SIMPLE_Ridge,cv,upper_5,9,2.021421345761221,2.7108888888888885,0.6894675431276673
SEQ_SIMPLE_Ridge,public,central_80,67,0.5329466101226139,0.3097910447761194,-0.2231555653464945
SEQ_SIMPLE_Ridge,public,upper_20,16,1.1453817534082176,1.7441249999999995,0.5987432465917819
SEQ_SIMPLE_Ridge,public,upper_10,8,1.789511159773756,2.5221249999999995,0.7326138402262434
SEQ_SIMPLE_Ridge,public,upper_5,5,2.3132868075227973,3.0949999999999998,0.7817131924772025
SEQ_SIMPLE_Ridge,private,central_80,64,0.5059060946282922,0.33478125,-0.1711248446282922
SEQ_SIMPLE_Ridge,private,upper_20,15,1.0584087140360599,1.5568666666666664,0.49845795263060655
SEQ_SIMPLE_Ridge,private,upper_10,5,1.9990201675819037,2.7592,0.7601798324180962
SEQ_SIMPLE_Ridge,private,upper_5,5,1.9990201675819037,2.7592,0.7601798324180962
PLM_ESM2_PCA64_SVR,cv,central_80,129,0.35108010614730384,0.30193023255813956,-0.049149873589164284
PLM_ESM2_PCA64_SVR,cv,upper_20,33,0.9988241612485395,1.6236969696969692,0.6248728084484297
PLM_ESM2_PCA64_SVR,cv,upper_10,17,1.4801226452059306,2.240647058823529,0.7605244136175986
PLM_ESM2_PCA64_SVR,cv,upper_5,9,1.9051854947589437,2.7108888888888885,0.8057033941299447
PLM_ESM2_PCA64_SVR,public,central_80,67,0.4467600619913856,0.3097910447761194,-0.13696901721526622
PLM_ESM2_PCA64_SVR,public,upper_20,16,1.3544698009689897,1.7441249999999995,0.38965519903100976
PLM_ESM2_PCA64_SVR,public,upper_10,8,2.1303099753820627,2.5221249999999995,0.3918150246179368
PLM_ESM2_PCA64_SVR,public,upper_5,5,2.55888490607624,3.0949999999999998,0.5361150939237596
PLM_ESM2_PCA64_SVR,private,central_80,64,0.43287362756512604,0.33478125,-0.09809237756512607
PLM_ESM2_PCA64_SVR,private,upper_20,15,0.8532219683167563,1.5568666666666664,0.7036446983499101
PLM_ESM2_PCA64_SVR,private,upper_10,5,1.5707053257394878,2.7592,1.188494674260512
PLM_ESM2_PCA64_SVR,private,upper_5,5,1.5707053257394878,2.7592,1.188494674260512
ESMFN_STRUCTURE_ElasticNet,cv,central_80,129,0.37940378082276455,0.30193023255813956,-0.07747354826462499
ESMFN_STRUCTURE_ElasticNet,cv,upper_20,33,0.9485672065595997,1.6236969696969692,0.6751297631373695
ESMFN_STRUCTURE_ElasticNet,cv,upper_10,17,1.4232095622475711,2.240647058823529,0.8174374965759581
ESMFN_STRUCTURE_ElasticNet,cv,upper_5,9,1.8716293238056128,2.7108888888888885,0.8392595650832757
ESMFN_STRUCTURE_ElasticNet,public,central_80,67,0.3406037449840125,0.3097910447761194,-0.030812700207893118
ESMFN_STRUCTURE_ElasticNet,public,upper_20,16,1.1748859145899406,1.7441249999999995,0.5692390854100589
ESMFN_STRUCTURE_ElasticNet,public,upper_10,8,1.8703091665714553,2.5221249999999995,0.6518158334285442
ESMFN_STRUCTURE_ElasticNet,public,upper_5,5,2.273828652208011,3.0949999999999998,0.8211713477919886
ESMFN_STRUCTURE_ElasticNet,private,central_80,64,0.37105204500004696,0.33478125,-0.036270795000046985
ESMFN_STRUCTURE_ElasticNet,private,upper_20,15,0.7940323974705152,1.5568666666666664,0.7628342691961512
ESMFN_STRUCTURE_ElasticNet,private,upper_10,5,1.5124213682594132,2.7592,1.2467786317405867
ESMFN_STRUCTURE_ElasticNet,private,upper_5,5,1.5124213682594132,2.7592,1.2467786317405867
FUSION_ESM2_ESMFN_ElasticNet,cv,central_80,129,0.39811311367769486,0.30193023255813956,-0.09618288111955531
FUSION_ESM2_ESMFN_ElasticNet,cv,upper_20,33,1.0575559601079967,1.6236969696969692,0.5661410095889725
FUSION_ESM2_ESMFN_ElasticNet,cv,upper_10,17,1.5423777437551314,2.240647058823529,0.6982693150683978
FUSION_ESM2_ESMFN_ElasticNet,cv,upper_5,9,1.954357530693514,2.7108888888888885,0.7565313581953745
FUSION_ESM2_ESMFN_ElasticNet,public,central_80,67,0.3784848392090801,0.3097910447761194,-0.0686937944329607
FUSION_ESM2_ESMFN_ElasticNet,public,upper_20,16,1.2550396696569037,1.7441249999999995,0.48908533034309576
FUSION_ESM2_ESMFN_ElasticNet,public,upper_10,8,1.848497462061134,2.5221249999999995,0.6736275379388654
FUSION_ESM2_ESMFN_ElasticNet,public,upper_5,5,2.2256393839153246,3.0949999999999998,0.8693606160846752
FUSION_ESM2_ESMFN_ElasticNet,private,central_80,64,0.3647210281630482,0.33478125,-0.029939778163048214
FUSION_ESM2_ESMFN_ElasticNet,private,upper_20,15,0.909606129472712,1.5568666666666664,0.6472605371939544
FUSION_ESM2_ESMFN_ElasticNet,private,upper_10,5,1.535195766407688,2.7592,1.2240042335923118
FUSION_ESM2_ESMFN_ElasticNet,private,upper_5,5,1.535195766407688,2.7592,1.2240042335923118
NESTED_STACK_NNLS,cv,central_80,129,0.340670027763572,0.30193023255813956,-0.03873979520543247
NESTED_STACK_NNLS,cv,upper_20,33,0.9646887997434151,1.6236969696969692,0.659008169953554
NESTED_STACK_NNLS,cv,upper_10,17,1.4421366972103968,2.240647058823529,0.7985103616131324
NESTED_STACK_NNLS,cv,upper_5,9,1.9022962808498716,2.7108888888888885,0.8085926080390169
NESTED_STACK_NNLS,public,central_80,67,0.3474738573678084,0.3097910447761194,-0.037682812591688986
NESTED_STACK_NNLS,public,upper_20,16,1.2602504587214227,1.7441249999999995,0.48387454127857676
NESTED_STACK_NNLS,public,upper_10,8,2.0042805592250383,2.5221249999999995,0.5178444407749612
NESTED_STACK_NNLS,public,upper_5,5,2.420710438807215,3.0949999999999998,0.6742895611927846
NESTED_STACK_NNLS,private,central_80,64,0.3552467929013926,0.33478125,-0.02046554290139263
NESTED_STACK_NNLS,private,upper_20,15,0.8245311842747327,1.5568666666666664,0.7323354823919337
NESTED_STACK_NNLS,private,upper_10,5,1.5424535169619031,2.7592,1.2167464830380967
NESTED_STACK_NNLS,private,upper_5,5,1.5424535169619031,2.7592,1.2167464830380967
