pair,wasserstein,ks_stat,ks_pvalue,mean_diff,median_diff,SD_ratio,IQR_ratio,Q90_diff,Q95_diff,n_gt_TrainQ90_a,n_gt_TrainQ90_b,n_gt_TrainQ95_a,n_gt_TrainQ95_b
Train_vs_Public,0.06774691358024691,0.08024691358024694,0.8701906546556856,-0.011574074074072627,-0.04899999999999949,0.8874931564596795,1.0371037463976978,0.18520000000000003,-0.09939999999999927,17,8,9,5
Train_vs_Private,0.10332716049382722,0.14197530864197538,0.21997455484768985,0.08061111111111252,0.12199999999999989,1.010683316983348,1.0971798780487843,0.3692000000000011,-0.31840000000000046,17,5,9,5
Public_vs_Private,0.1090987654320987,0.1111111111111111,0.702688650071809,0.09218518518518515,0.17099999999999937,1.1388068850187976,1.057926829268293,0.18400000000000105,-0.2190000000000012,8,5,5,5
