role,N,mean,median,SD,MAD,IQR,min,max,skewness,excess_kurtosis,q0.01,q0.025,q0.05,q0.1,q0.2,q0.25,q0.5,q0.75,q0.8,q0.9,q0.95,q0.975,q0.99,frac_med_pm_0.25IQR,frac_med_pm_0.50IQR,frac_med_pm_1.00IQR,frac_mean_pm_0.5SD,frac_mean_pm_1.0SD,narrow50_lo,narrow50_hi,narrow50_width,narrow70_lo,narrow70_hi,narrow70_width,narrow80_lo,narrow80_hi,narrow80_width,narrow90_lo,narrow90_hi,narrow90_width,narrow95_lo,narrow95_hi,narrow95_width,bins_sturges,bins_fd,bins_scott
Full,324,9.377265432098767,9.097999999999999,0.8324482248012396,0.27200000000000024,0.7045000000000012,8.465,13.856,2.215794988235017,5.529438431907602,8.56715,8.624075000000001,8.689350000000001,8.7522,8.826,8.85775,9.097999999999999,9.56225,9.7616,10.3985,11.221949999999996,11.8845,12.395409999999995,0.32098765432098764,0.6327160493827161,0.808641975308642,0.41975308641975306,0.8703703703703703,8.717,9.178,0.4610000000000003,8.624,9.406,0.782,8.62,9.847,1.2270000000000003,8.523,10.41,1.8870000000000005,8.523,11.279,2.7560000000000002,10,27,13
Train,162,9.394524691358026,9.115,0.8095165047336832,0.2839999999999998,0.7197500000000012,8.523,12.74,1.92690002571641,3.52790000414842,8.60199,8.697249999999999,8.717,8.756,8.8298,8.85825,9.115,9.578000000000001,9.777999999999999,10.5372,11.1356,11.885499999999999,12.17452,0.3333333333333333,0.6296296296296297,0.8148148148148148,0.4382716049382716,0.8580246913580247,8.697,9.119,0.4220000000000006,8.683,9.406,0.7230000000000008,8.625,9.833,1.2080000000000002,8.566,10.546,1.9799999999999986,8.566,11.148,2.581999999999999,9,16,9
Public,81,9.406098765432098,9.164,0.9121383064664353,0.3070000000000004,0.6939999999999991,8.571,13.856,2.6290541338659814,8.196981720773623,8.610199999999999,8.624,8.659,8.76,8.838,8.867,9.164,9.561,9.687,10.352,11.235,11.775,13.095200000000002,0.2345679012345679,0.5555555555555556,0.8148148148148148,0.43209876543209874,0.8888888888888888,8.804,9.265,0.4610000000000003,8.624,9.362,0.7379999999999995,8.571,9.687,1.1159999999999997,8.571,10.352,1.7810000000000006,8.62,11.279,2.6590000000000007,8,17,8
Private,81,9.313913580246913,8.993,0.800959599441989,0.24200000000000088,0.6559999999999988,8.465,12.449,2.1561074389862944,4.653274989513678,8.5306,8.596,8.63,8.697,8.809,8.852,8.993,9.508,9.712,10.168,11.454,11.745,12.1538,0.37037037037037035,0.6172839506172839,0.7901234567901234,0.4691358024691358,0.8765432098765432,8.62,9.051,0.43100000000000094,8.596,9.386,0.7899999999999991,8.547,9.736,1.189,8.547,10.211,1.6639999999999997,8.465,11.454,2.9890000000000008,8,14,7
