scheme,model,status,feasible,fold_MAE_mean,fold_MAE_sd,fold_Pearson_mean,fold_Pearson_sd,fold_Spearman_mean,fold_Spearman_sd,repeat_MAE_mean,repeat_MAE_sd,repeat_Pearson_mean,repeat_Pearson_sd,mean_pairwise_rank_corr_repeats,balance_fold_mean_sd,balance_tail_count_sd,mean_wasserstein_vs_train
CURRENT_GROUP_CV,SEQ_SIMPLE_Ridge,OK_EXISTING,True,0.5811113213901966,0.07130656563942274,0.3718710133940917,0.16867557164060018,0.3443196180086153,0.15058345027571074,0.5807480688293509,0.02747754108511854,0.36845782958035506,0.025141388210255917,0.6666666666666666,0.08417563958706203,1.2656419796695286,0.11509578656939766
CURRENT_GROUP_CV,PLM_ESM2_PCA64_SVR,OK_EXISTING,True,0.4708078441567069,0.0702009673232781,0.493171708755219,0.1677924441277073,0.505492543342963,0.09073991083203731,0.47046446683470705,0.0032368732237734775,0.4811062836054991,0.02186161215293623,0.6666666666666666,0.08417563958706203,1.2656419796695286,0.11509578656939766
CURRENT_GROUP_CV,ESMFN_STRUCTURE_ElasticNet,OK_EXISTING,True,0.47879883301523374,0.07446877417686579,0.5384313798032081,0.14530081407164472,0.5172406978937488,0.12762394273728694,0.4787343753614375,0.0056431693395255535,0.5188920624087826,0.013204369090205807,0.6666666666666666,0.08417563958706203,1.2656419796695286,0.11509578656939766
CURRENT_GROUP_CV,FUSION,OK_EXISTING,True,0.4807621824161676,0.07614544994944421,0.5557284874594289,0.16569195416909807,0.5235372825851069,0.15465878320985996,0.48064779290133125,0.004779888220263456,0.5393865645325766,0.01682269860958725,0.6666666666666666,0.08417563958706203,1.2656419796695286,0.11509578656939766
SGKF_Q5,SEQ_SIMPLE_Ridge,OK,True,0.5962808811053624,0.09641261139482424,0.37946983564677644,0.11955388358206118,0.32583497705768083,0.1290234183853864,0.597928023927265,0.009145166669855572,0.35244349437755906,0.01122256204838118,1.0,0.04794031683209652,1.3068948803114593,0.10110960477240936
SGKF_Q5,PLM_ESM2_PCA64_SVR,OK,True,0.463661302453913,0.08016734711284348,0.5408127752524119,0.13095349671708392,0.5392556812908209,0.1121221593361282,0.4659600625657202,0.006994992905688191,0.507761815089541,0.024153955247340916,1.0,0.04794031683209652,1.3068948803114593,0.10110960477240936
SGKF_Q5,ESMFN_STRUCTURE_ElasticNet,OK,True,0.47521064030822563,0.08387395127630315,0.5446391131130293,0.1730146230099329,0.5413687880009633,0.1483578124510341,0.47728485106848506,0.004230373261797298,0.5145469849913479,0.020526307549829363,1.0,0.04794031683209652,1.3068948803114593,0.10110960477240936
SGKF_Q5,FUSION,OK,True,0.47967937853834836,0.08199763870508969,0.545000073996219,0.18767090032448344,0.5251533772317727,0.1434881523425746,0.4815321545759965,0.005782696906792951,0.5245603578522958,0.020165788612395426,1.0,0.04794031683209652,1.3068948803114593,0.10110960477240936
SGKF_Q7,SEQ_SIMPLE_Ridge,OK,True,0.5893184914860448,0.08273639598061108,0.3847102721929207,0.10003125188249692,0.34318607478235047,0.10807762166444058,0.5902360642597488,0.017715746433654235,0.37120084875963044,0.03351375922799038,0.76,0.04954667452440335,1.1082994896619862,0.0925048003628952
SGKF_Q7,PLM_ESM2_PCA64_SVR,OK,True,0.47165173527107945,0.06049192448009526,0.502796703559629,0.13976355359921785,0.495995142093198,0.13265242471938382,0.47296243698117835,0.0052577756180902475,0.48073018692819564,0.03156143620806451,0.76,0.04954667452440335,1.1082994896619862,0.0925048003628952
SGKF_Q7,ESMFN_STRUCTURE_ElasticNet,OK,True,0.47442489956961703,0.07592268952880935,0.5257903855462268,0.12077747625142334,0.550005743866541,0.09341992974989252,0.47622827130836687,0.0051923937643571,0.5142162985159758,0.009478075271758781,0.76,0.04954667452440335,1.1082994896619862,0.0925048003628952
SGKF_Q7,FUSION,OK,True,0.4760177270665057,0.07752980365541501,0.5341795390552155,0.12993781002372343,0.5446203126205205,0.08524113546283012,0.47788683035581353,0.0065002898222931505,0.5272633489428419,0.019100476329292636,0.76,0.04954667452440335,1.1082994896619862,0.0925048003628952
SGKF_Q9,SEQ_SIMPLE_Ridge,OK,True,0.5980832711128063,0.09245206251662838,0.3589253292560002,0.12610487032280115,0.31994954324374164,0.12902828310751932,0.5952025869133409,0.010058719707366067,0.3528011930736218,0.01756158667904657,0.8799999999999999,0.070645620269606,0.894427190999916,0.10111715019349136
