id,VH_CH1_com_distance,VL_CL_com_distance,VH_VL_contacts_8A,CH1_CL_contacts_8A,Fab_Rg,elbow_proxy_angle_deg
ADI-45390,35.795352935791016,36.67374801635742,42,33,24.40570068359375,151.74028131257674
ADI-45395,34.33469772338867,37.80145263671875,39,37,24.300493240356445,143.86325203210373
ADI-46690,33.423439025878906,37.38713073730469,33,46,24.02393913269043,143.4655188457574
ADI-45393,33.54327392578125,37.23478698730469,45,47,24.097387313842773,141.1471779778109
ADI-46685,34.28738784790039,37.484352111816406,34,40,24.31039047241211,143.53178357338354
ADI-45460,36.84886932373047,35.748634338378906,53,33,24.386274337768555,162.60143777124858
ADI-45389,34.53022003173828,36.17667007446289,38,33,24.06856918334961,149.61997459594434
ADI-46689,33.55877685546875,37.35481643676758,38,45,24.03605842590332,144.8559102468331
ADI-45459,37.119808197021484,35.12317657470703,43,34,24.312049865722656,166.39717327813807
ADI-45463,37.483455657958984,35.539066314697266,45,31,24.493986129760742,165.59606060567847
ADI-45470,37.408729553222656,35.551883697509766,42,31,24.479354858398438,165.94617652375516
ADI-47295,36.25454330444336,36.98444747924805,44,32,24.50676727294922,152.79946499850735
ADI-45452,34.09575271606445,37.44829559326172,41,39,24.16504669189453,145.69135589968508
ADI-45454,35.118717193603516,37.83552551269531,33,40,24.54031753540039,148.8215447165546
ADI-45388,33.28169250488281,38.0898551940918,36,39,24.254016876220703,139.26949548457387
ADI-47205,34.15232467651367,37.523807525634766,53,48,24.271852493286133,141.77133219570084
ADI-46695,33.330833435058594,37.463844299316406,49,46,24.04499053955078,140.47985821658273
ADI-46684,35.3270149230957,37.472469329833984,52,38,24.56361961364746,146.25719708288938
ADI-47213,34.15684127807617,37.63849639892578,38,33,24.29576873779297,135.1464045806702
ADI-46696,37.51462936401367,36.09656524658203,45,33,24.597856521606445,162.32457729797912
ADI-46697,35.0294303894043,37.4191780090332,43,40,24.37017250061035,153.01008239566502
ADI-47104,35.64055633544922,36.579498291015625,41,46,24.320127487182617,153.75801048836607
ADI-47219,34.56904602050781,38.01832962036133,33,39,24.458707809448242,145.7722348128666
ADI-45391,35.5715446472168,35.847904205322266,42,33,24.194103240966797,154.96289039757124
ADI-45461,35.04271697998047,37.787471771240234,32,39,24.611982345581055,146.00124327878123
ADI-47116,34.4683723449707,37.11510467529297,37,48,24.20543670654297,153.03475222045128
ADI-47309,33.9195556640625,37.389034271240234,33,48,24.15464973449707,144.57046828630854
ADI-45453,34.053123474121094,37.0380859375,31,39,24.185205459594727,143.01974973293824
ADI-46693,35.14097213745117,37.26985168457031,39,47,24.54552459716797,145.2111037832401
ADI-47233,34.121368408203125,37.69255065917969,49,40,24.370668411254883,140.9887537913132
ADI-47137,33.53810119628906,37.54133224487305,36,39,24.11355972290039,143.76328385909403
ADI-45383,34.71648406982422,37.26178741455078,37,46,24.319015502929688,148.81329994786148
ADI-45469,36.65971374511719,36.69968795776367,52,34,24.568429946899414,155.71161572163496
ADI-45422,35.04649353027344,37.224308013916016,42,39,24.328657150268555,150.1685461215108
ADI-45485,36.8358154296875,35.53303909301758,34,34,24.34792709350586,164.10285880550956
ADI-45495,33.881439208984375,37.66765594482422,40,33,24.21665382385254,138.38180922372106
ADI-46691,34.01329040527344,37.39129638671875,34,39,24.181636810302734,144.64056230793713
ADI-45425,37.677677154541016,35.63140106201172,50,33,24.59034538269043,163.97765028896183
ADI-45451,35.40298080444336,37.772254943847656,48,46,24.531892776489258,151.73279521142493
ADI-45499,35.77587127685547,37.11824417114258,44,46,24.629886627197266,149.11546983011166
ADI-45497,35.03346633911133,37.47161102294922,52,43,24.537769317626953,143.06748212073808
ADI-37123,34.32244110107422,37.21054458618164,38,39,24.188352584838867,146.80544752566357
ADI-37125,35.005191802978516,36.89043426513672,34,47,24.304893493652344,148.85458963850795
ADI-38503,36.874229431152344,35.77426528930664,42,32,24.426847457885742,162.06927134004337
ADI-47223,34.13253402709961,37.38642120361328,44,39,24.218496322631836,143.50231277863867
ADI-37124,37.19020462036133,36.1373291015625,42,32,24.5312557220459,158.96402221962552
ADI-47176,34.28531265258789,37.16865158081055,37,39,24.2015380859375,144.1319716924978
ADI-47061,38.21653747558594,35.406063079833984,36,33,24.581798553466797,166.79647775228673
ADI-45402,34.75947952270508,37.70269775390625,46,48,24.469173431396484,146.15952896092426
ADI-46701,34.710487365722656,37.03583908081055,37,38,24.216398239135742,148.74067893485088
ADI-47286,34.49973678588867,37.53395462036133,46,46,24.340906143188477,142.53658982964504
ADI-47065,35.003761291503906,37.767311096191406,39,40,24.432661056518555,150.79284494740998
ADI-47287,35.19792938232422,37.13864517211914,43,44,24.422502517700195,147.35774009417685
ADI-47071,33.21569061279297,37.5909423828125,42,44,24.072675704956055,139.62951306417145
ADI-47072,35.20800018310547,37.85518264770508,43,41,24.460342407226562,151.24808902675912
ADI-45472,36.52590560913086,36.023651123046875,47,31,24.395469665527344,157.17634735540486
ADI-47075,34.78514862060547,37.95436096191406,39,48,24.466903686523438,148.17129331663955
ADI-47288,33.822418212890625,37.263465881347656,35,38,24.10816192626953,142.3734858158101
ADI-45404,35.660972595214844,36.866607666015625,44,39,24.35755157470703,160.5429439416267
ADI-47076,34.79029846191406,37.45071792602539,35,45,24.477815628051758,142.18681136224063
ADI-47189,34.46310043334961,38.074337005615234,37,46,24.470298767089844,144.2606865571493
ADI-47078,33.93106460571289,36.81330108642578,32,47,23.96574592590332,147.3958938169262
ADI-47190,33.71992874145508,38.2342643737793,29,37,24.39201545715332,142.4914100844782
ADI-47081,33.994911193847656,36.874298095703125,39,45,24.005102157592773,147.33583373283088
ADI-47194,33.959712982177734,37.26165771484375,38,39,24.13201332092285,145.21768845712572
ADI-47193,33.400306701660156,37.418846130371094,40,41,24.085865020751953,140.70339511160202
ADI-47291,34.66111755371094,37.161346435546875,50,46,24.33924102783203,144.29478154102748
ADI-47082,34.7143669128418,37.473262786865234,40,40,24.313081741333008,152.07564169071506
ADI-47197,34.73765563964844,38.06466293334961,39,40,24.495141983032227,153.61987164031837
ADI-47085,33.61417007446289,37.85787582397461,34,46,24.18143081665039,141.33081883927747
ADI-47084,33.13388442993164,37.78324890136719,40,38,24.101428985595703,138.97396569424984
ADI-47087,34.37519454956055,36.91236877441406,40,44,24.111974716186523,149.51610884159223
ADI-47292,33.965057373046875,37.46958541870117,41,47,24.195592880249023,143.1105223854674
ADI-47200,34.321041107177734,37.25423049926758,30,46,24.23044776916504,143.9396948997182
ADI-47089,38.802738189697266,34.7062873840332,36,32,24.66718101501465,169.79538608901558
ADI-47090,37.123573303222656,35.7839241027832,42,35,24.45989418029785,160.74502421381715
ADI-47202,34.400657653808594,37.52397918701172,45,47,24.319496154785156,143.5848436384835
ADI-47203,33.638031005859375,38.04792785644531,38,39,24.24045181274414,143.8629393139474
ADI-47294,33.571449279785156,38.20673370361328,33,42,24.290298461914062,143.22735595655467
ADI-47091,34.45866394042969,38.16670608520508,42,39,24.524139404296875,143.15067867232008
ADI-47296,34.43170928955078,37.51795959472656,42,46,24.224098205566406,147.36282454272506
ADI-47092,37.786251068115234,36.44219207763672,42,32,24.771610260009766,161.07688816742763
ADI-47206,33.16389465332031,37.258262634277344,46,47,23.952898025512695,139.7750597706506
ADI-47094,34.85898971557617,36.630191802978516,40,49,24.19428253173828,150.24427416773256
ADI-47207,34.983272552490234,37.78421401977539,32,48,24.48107147216797,147.85469229009897
ADI-47208,33.68803024291992,37.43422317504883,41,38,24.105562210083008,142.9867264193979
ADI-47095,34.94606399536133,37.447113037109375,24,46,24.322240829467773,152.80056327333048
ADI-47096,34.13526916503906,38.087677001953125,42,46,24.416793823242188,143.14663573114308
ADI-47097,34.56588363647461,37.37992858886719,33,39,24.262479782104492,151.09650604286648
ADI-47298,33.560646057128906,37.420066833496094,49,45,24.115421295166016,142.77105254151394
ADI-47299,34.412235260009766,37.790016174316406,30,39,24.322811126708984,151.23668184162943
ADI-47098,36.042388916015625,36.400634765625,42,34,24.364240646362305,154.06523635326474
ADI-47212,34.558135986328125,37.12896728515625,43,47,24.20148277282715,147.59340414211326
ADI-47214,33.76225662231445,37.5552978515625,38,39,24.19506072998047,140.82695402623017
ADI-47102,34.72085189819336,36.839412689208984,44,45,24.185075759887695,150.49320755341293
ADI-47103,34.65974807739258,36.70383834838867,33,44,24.185285568237305,154.8060892691714
ADI-47107,33.26740646362305,37.876930236816406,30,45,24.098220825195312,144.31102299138396
ADI-47220,34.041656494140625,37.27467346191406,39,39,24.147768020629883,145.63826763193242
ADI-47111,34.265872955322266,37.90596008300781,41,41,24.339540481567383,146.79790054517863
ADI-47303,34.26420974731445,37.16277313232422,30,47,24.153039932250977,146.7547933660702
ADI-47221,35.40713119506836,37.357975006103516,46,38,24.869375228881836,138.65007321911466
ADI-47222,34.29812240600586,37.39930725097656,36,38,24.357419967651367,141.78598169480458
ADI-47305,34.41068649291992,37.40167236328125,48,42,24.363723754882812,144.1377132610482
ADI-47114,34.69601821899414,37.6647834777832,36,39,24.3499755859375,148.58277116318376
ADI-47226,33.746795654296875,37.72071838378906,41,39,24.227828979492188,139.3180633166334
ADI-47227,35.34518051147461,38.12807846069336,37,39,24.6387939453125,148.21803878333773
ADI-47118,34.826416015625,37.181419372558594,45,47,24.35497283935547,145.34082509114137
ADI-47306,34.78356170654297,37.166622161865234,40,39,24.316213607788086,146.26549185460416
ADI-47267,33.81273651123047,37.35099792480469,45,39,24.075864791870117,145.0719488950477
ADI-47307,34.655609130859375,37.2612419128418,36,45,24.318267822265625,145.00168036005945
ADI-47228,35.84172058105469,37.624263763427734,37,40,24.585744857788086,154.60651887523107
ADI-47310,32.88346862792969,37.395263671875,36,46,23.960966110229492,139.49733859610603
ADI-47229,34.810970306396484,37.693687438964844,45,38,24.457067489624023,142.57577462983264
ADI-47230,33.28010940551758,37.320674896240234,34,47,24.01822853088379,142.1344478636603
ADI-47124,36.10797882080078,37.01214599609375,45,32,24.51045036315918,151.00158678356735
ADI-47125,33.3198127746582,37.558834075927734,43,46,24.16938018798828,138.23675059056686
ADI-47127,34.03925704956055,38.51537322998047,40,40,24.53432846069336,139.6498477778334
ADI-47234,34.011295318603516,37.4119873046875,45,45,24.21650505065918,141.41534185698518
ADI-47312,33.49481201171875,37.61188888549805,38,38,24.103628158569336,142.64445495498543
ADI-47236,34.23725509643555,37.49090576171875,41,47,24.302104949951172,141.39817296850512
ADI-47249,34.473785400390625,37.566871643066406,49,38,24.312406539916992,145.27287494351933
ADI-47129,35.246761322021484,37.077632904052734,42,39,24.413631439208984,147.76157073358686
ADI-47131,34.29322814941406,37.51876449584961,43,39,24.40093231201172,139.9181170742835
ADI-47246,33.46185302734375,37.59672927856445,45,39,24.040283203125,144.8255163705302
ADI-47133,33.49538803100586,37.46747970581055,43,46,24.090187072753906,143.8168447367159
ADI-47134,35.21194076538086,38.0748405456543,44,39,24.57767105102539,148.54235187068335
ADI-47316,36.09808349609375,34.83855438232422,45,32,24.102684020996094,158.4501611860158
ADI-47239,35.216880798339844,37.783607482910156,41,47,24.668630599975586,140.7695398602827
ADI-47240,34.36853790283203,37.58539962768555,50,39,24.42751693725586,142.83227927681605
ADI-47241,35.084171295166016,37.2396125793457,44,40,24.426176071166992,145.7654110994688
ADI-47139,34.960845947265625,38.10030746459961,50,35,24.583309173583984,139.53505421740567
ADI-47181,33.841556549072266,37.474552154541016,37,45,24.13726043701172,144.51637647750536
ADI-47248,33.44361114501953,37.79326248168945,45,39,24.16061019897461,141.74197023783177
ADI-47141,34.369319915771484,37.99351501464844,38,38,24.39032554626465,146.74442909695304
ADI-47250,33.89614486694336,37.73194885253906,51,42,24.258472442626953,142.44761585796198
ADI-47251,36.02836227416992,36.7088508605957,38,39,24.38478660583496,159.10665189733606
ADI-47252,33.81854248046875,37.322509765625,42,38,24.10038948059082,146.5588355669424
ADI-47145,34.71516418457031,37.83140182495117,40,40,24.432598114013672,149.56219363644837
ADI-47254,35.14110565185547,37.45138168334961,39,38,24.420345306396484,148.21670956940514
ADI-47146,33.839927673339844,37.71635818481445,41,47,24.21062660217285,143.85984700468185
ADI-47147,34.507144927978516,37.257598876953125,47,47,24.434246063232422,141.66388591548673
ADI-45489,34.307193756103516,38.00004577636719,40,47,24.407724380493164,142.97005694024992
ADI-47165,34.44584655761719,37.03080368041992,40,47,24.147953033447266,147.25084476510702
ADI-47148,33.62809371948242,37.43540573120117,40,44,24.190553665161133,138.48043482350758
ADI-47159,35.02996063232422,37.34269332885742,37,38,24.484268188476562,144.92650647150174
ADI-47156,34.829345703125,38.04409408569336,44,36,24.59672737121582,137.9266176934074
ADI-47154,34.168155670166016,37.6683349609375,54,38,24.2905216217041,142.62688093758055
ADI-47263,34.29595184326172,37.382930755615234,42,39,24.274269104003906,142.65869717044578
ADI-47160,36.44770050048828,35.7639045715332,34,32,24.386150360107422,156.22031889878957
ADI-47265,34.86394500732422,37.519927978515625,0,0,32.13498306274414,51.94940496210469
ADI-47163,33.433040618896484,37.18621826171875,37,40,24.01482391357422,142.96070692391967
ADI-47126,34.25456237792969,37.33936309814453,44,46,24.188499450683594,147.02936781675476
ADI-45411,34.86315155029297,37.35892105102539,37,34,24.36532974243164,147.77306411092258
ADI-45488,34.292633056640625,37.713436126708984,46,47,24.29721450805664,144.77539422129854
ADI-47285,34.5813102722168,37.664337158203125,44,46,24.411840438842773,142.6255363066971
ADI-46713,33.7481689453125,37.43168640136719,38,46,24.128864288330078,143.32541301920503
ADI-46708,34.351871490478516,37.469017028808594,45,41,24.296024322509766,143.0158893718783
ADI-45406,34.5748291015625,37.34375,27,39,24.3320255279541,145.22965140697377
ADI-46704,34.67599105834961,37.523284912109375,45,39,24.421627044677734,145.44196702087984
ADI-46706,34.06473159790039,37.325252532958984,42,38,24.200727462768555,140.9450733547934
ADI-45430,34.55784225463867,38.124202728271484,36,39,24.450273513793945,147.2732122062892
ADI-45409,34.07505798339844,37.367088317871094,34,45,24.212528228759766,140.43233316955906
ADI-45405,36.13072204589844,36.417503356933594,39,32,24.40472412109375,154.76603800548924
ADI-47188,37.21480941772461,36.239471435546875,36,33,24.661602020263672,162.6319007882151
ADI-45408,34.33930969238281,37.91582107543945,40,39,24.33525848388672,146.5806680154293
ADI-45479,34.35997772216797,37.25885772705078,38,45,24.23311996459961,145.1538450751863
ADI-45407,37.13898468017578,36.450340270996094,61,34,24.603979110717773,157.3795763490231
ADI-47218,34.88593673706055,36.95087814331055,49,45,24.256738662719727,149.70036791876
ADI-45476,37.07160186767578,35.874916076660156,51,30,24.466482162475586,161.70982047831725
ADI-45480,34.50224304199219,37.552459716796875,51,40,24.352035522460938,142.76139540980012
ADI-45481,36.96736526489258,35.049129486083984,39,33,24.227540969848633,167.94806463707906
ADI-47117,35.60110855102539,37.32572937011719,44,47,24.709503173828125,142.7580658608805
ADI-47120,33.893150329589844,37.94377899169922,38,32,24.326416015625,134.4472347819403
ADI-46705,34.41288757324219,37.102691650390625,52,45,24.187564849853516,146.9859740988674
ADI-47235,37.692081451416016,36.01594161987305,50,32,24.681921005249023,161.82277521384532
ADI-47130,34.53759002685547,36.78249740600586,42,37,24.271066665649414,140.56244336057023
ADI-47255,35.60647964477539,37.69194793701172,50,39,24.744930267333984,142.8656488187158
ADI-46707,35.74976348876953,36.93495178222656,41,39,24.531517028808594,150.2646622253024
ADI-47257,36.598289489746094,36.368995666503906,42,35,24.410526275634766,159.6864670127403
ADI-45477,35.49186325073242,37.25800323486328,43,47,24.398822784423828,155.39434328134894
ADI-45493,34.89436340332031,38.12026596069336,42,49,24.529932022094727,146.23309771950852
ADI-47262,35.1605339050293,37.345237731933594,47,39,24.498619079589844,144.8144260811738
ADI-45410,35.76676940917969,36.865814208984375,44,39,24.470077514648438,150.8765946626108
ADI-47264,36.95668029785156,35.35761260986328,44,37,24.407806396484375,163.38818370319234
