tag,model,y_mode,repeat,fold,spearman,pearson,mae,rmse,n,target,members
SEQ_SIMPLE,Ridge_grid,raw,0,0,0.5549019607843138,0.5058604718842368,0.48622282905279396,0.7001987365598774,35.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,0,0,0.37843137254901965,0.2943928589852317,0.498150726366017,0.7568321736420847,35.0,HIC,
SEQ_SIMPLE,PLS,raw,0,0,0.29299719887955183,0.23795351423925268,0.5772448209405648,0.8274069813875915,35.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,0,1,0.46882641134185343,0.18938508043410868,0.5378275033858548,0.74655899937633,34.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,0,1,0.39975550588992464,0.23616671273636963,0.49292814519941136,0.8015359668924591,34.0,HIC,
SEQ_SIMPLE,PLS,raw,0,1,0.3196821553217593,0.1630995122206237,0.6232624027099265,0.9492229494768243,34.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,0,2,0.13233082706766916,0.07991851406509484,0.592361998314219,0.8933944263687182,20.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,0,2,0.306766917293233,0.27569112003730634,0.47571933288080137,0.688129839747942,20.0,HIC,
SEQ_SIMPLE,PLS,raw,0,2,0.12932330827067667,0.04408841378542026,0.6185480190493531,0.891417351691494,20.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,0,3,0.19466403162055337,0.3750769847400473,0.6654078111894358,0.7845251773199009,23.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,0,3,0.26778656126482214,0.37420822800064124,0.5673930338145748,0.6661109239601821,23.0,HIC,
SEQ_SIMPLE,PLS,raw,0,3,0.19762845849802374,0.3560353643982334,0.6565972058977808,0.7964900132852823,23.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,0,4,0.2580087459360284,0.4199309240258765,0.627432678306212,0.8871105628539172,50.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,0,4,0.23077662401761287,0.4175732949935774,0.6438340950986786,0.8880596036590407,50.0,HIC,
SEQ_SIMPLE,PLS,raw,0,4,0.1967724929448824,0.4032840244578957,0.6678308638331507,0.9068891319351673,50.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,1,0,0.457518342750166,0.17944252470650407,0.5385281188282153,0.7467434954424519,34.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,1,0,0.3753056278538436,0.23431757664462036,0.5032953227303336,0.7978583961991779,34.0,HIC,
SEQ_SIMPLE,PLS,raw,1,0,0.3216687079121909,0.15836666657068182,0.6194478865352759,0.9500287012560646,34.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,1,1,0.10526315789473684,0.08940138887232182,0.5982807736740278,0.8774974325575522,20.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,1,1,0.3669172932330827,0.2943263288352779,0.4682054522713345,0.6817291282607778,20.0,HIC,
SEQ_SIMPLE,PLS,raw,1,1,0.1518796992481203,0.07250200710093119,0.6099806604164271,0.8874823331487959,20.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,1,2,0.2580087459360284,0.4199309240258765,0.627432678306212,0.8871105628539172,50.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,1,2,0.23077662401761287,0.4175732949935774,0.6438340950986786,0.8880596036590407,50.0,HIC,
SEQ_SIMPLE,PLS,raw,1,2,0.1967724929448824,0.4032840244578957,0.6678308638331507,0.9068891319351673,50.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,1,3,0.5549019607843138,0.5058604718842368,0.48622282905279396,0.7001987365598774,35.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,1,3,0.37843137254901965,0.2943928589852317,0.498150726366017,0.7568321736420847,35.0,HIC,
SEQ_SIMPLE,PLS,raw,1,3,0.29299719887955183,0.23795351423925268,0.5772448209405648,0.8274069813875915,35.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,1,4,0.2865612648221344,0.4688136628216814,0.5713567185247687,0.6831664396850048,23.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,1,4,0.2845849802371542,0.4149118914200013,0.5140342414347909,0.6356596543896031,23.0,HIC,
SEQ_SIMPLE,PLS,raw,1,4,0.24802371541501977,0.43594925379306226,0.5815654755256161,0.7198424414584822,23.0,HIC,
SEQ_SIMPLE,Ridge_grid,raw,2,0,0.42391304347826086,0.5421978661418573,0.4945799664417096,0.608745223749287,23.0,HIC,
SEQ_SIMPLE,ElasticNet,raw,2,0,0.3942687747035573,0.48141448926095226,0.47786332542115334,0.5987048998091975,23.0,HIC,
