target,tag,model,mean_spearman,sd_spearman,n_eval
HIC,SEQ_SIMPLE,PLS,0.24559334291971374,0.07735334859343063,20
HIC,PLM_ESM1B_PCA16,Ridge,0.23505184183429254,0.1620171862699187,20
HIC,SEQ_CDR,Ridge_grid,0.23220252583514284,0.20554886992021357,20
HIC,PLM_ESM2_PCA8,SVR_RBF,0.2311886513095533,0.20637919704580904,20
HIC,PLM_ABLANG2_PCA16,SVR_RBF,0.22670496545030566,0.24125769189791976,20
HIC,PLM_ABLANG2_PCA8,Ridge,0.22649873939031645,0.09678471830755928,20
HIC,SEQ_CDR_gauss,Ridge_grid,0.22427755724513534,0.238881288808532,20
HIC,NGRAM_HL_2,Ridge_grid,0.21994108249478145,0.20673560802711688,20
HIC,ABB_STRUCTURE,kNN,0.17593190238302064,0.15998574376793073,20
HIC,PLM_ESM1B_PCA8,Ridge,0.15145949315065235,0.14725647581019102,20
HIC,PLM_ESM1B_PCA8,SVR_RBF,0.14720179327396984,0.14683764404128422,20
HIC,NGRAM_HL_2,ElasticNet,0.11114133640112436,0.1746956841866718,20
HIC,PLM_ESM2_PCA8,Ridge,0.09899185996198735,0.16773743017261786,20
HIC,PLM_ABLANG2_PCA64,KRR,0.05558304538281881,0.2154787488637445,20
HIC,PLM_ABLANG2_PCA8,SVR_RBF,0.05278206032466302,0.20921245931976998,20
HIC,IMGT_POS_L,Ridge_grid,0.03860581084806748,0.18283272734717432,20
HIC,PLM_ABLANG2_PCA32,KRR,0.03718623549021333,0.24520791502523256,20
HIC,PLM_ABLANG2_PCA8,KRR,0.03510588068680537,0.21001335542047586,20
HIC,PLM_ABLANG2_PCA16,KRR,0.03381630033855319,0.19918548891735474,20
HIC,PLM_ESM2_PCA8,KRR,0.006747847823210642,0.20519567997492533,20
HIC,IMGT_POS_L,ElasticNet,-0.019605163862425768,0.20724472426696336,20
HIC,PLM_ESM1B_PCA8,KRR,-0.02040676711214672,0.1630183880598713,20
HIC,PLM_ESM1B_PCA16,KRR,-0.05694927187734039,0.23074001691162255,20
HIC,PLM_ESM2_PCA64,KRR,-0.08687292662813473,0.1822630403675012,20
HIC,PLM_ESM1B_PCA32,KRR,-0.127096667477455,0.23433054719056554,20
HIC,PLM_ESM2_PCA16,KRR,-0.13352658575952905,0.19843965582539802,20
HIC,PLM_ESM1B_PCA64,KRR,-0.15254018660987287,0.24223683668362872,20
HIC,PLM_ESM2_PCA32,KRR,-0.16234088467758073,0.17968444833146915,20
