family,generator,mode,split,MAE,Pearson,Spearman,delta_vs_ref,boot_lo,boot_hi,p_improve,ref,n_features,n
BIOEMU_V12,sequence,STANDALONE,CV,3.4643259863233795,0.010529468138359213,0.05301542361314015,0.02605438138510774,-0.11352839855924637,0.16734489800141458,0.3559,MEDIAN,25,162
BIOEMU_V12,sequence,PLM_ONLY,CV,3.0285127332409196,0.5067590580266962,0.4984297388358006,-0.40975887169735214,-0.6850297016216372,-0.14135472325313464,0.9989,MEDIAN,25,162
BIOEMU_V12,sequence,PLM_PLUS,CV,3.0881196073103374,0.4699718174108028,0.4674454515581397,0.05960687406941778,-0.07429811688351978,0.19176744762397735,0.1953,PLM_ONLY,25,162
BIOEMU_V12,sequence,RESIDUAL_RECON,CV,3.1001967065857636,0.46416054723973743,0.46231907339954426,0.071683973344844,-0.049680241484635526,0.1951290713465412,0.1262,PLM_ONLY,25,162
BIOEMU_V12,sequence,STANDALONE,Public,3.6889270566438537,0.11481851676821801,0.14033050698659455,-0.09502356064009687,-0.295381780625383,0.10130452477742409,0.8278,MEDIAN,25,81
BIOEMU_V12,sequence,STANDALONE,Private,3.7196065730641372,0.1771634901769824,0.23605311444879432,-0.05199836520746759,-0.2344042423206589,0.1363024607127642,0.7117,MEDIAN,25,81
BIOEMU_V12,sequence,PLM_ONLY,Public,3.450123112629274,0.43686686390301915,0.4525113553791774,0.0,0.0,0.0,0.0,PLM_ONLY,25,81
BIOEMU_V12,sequence,PLM_ONLY,Private,3.271088617039208,0.50391660093664,0.5638299186108444,0.0,0.0,0.0,0.0,PLM_ONLY,25,81
BIOEMU_V12,sequence,PLM_PLUS,Public,3.412224893521893,0.4347755233888548,0.47725030035732474,-0.03789821910738089,-0.18547639545706313,0.11098277447518397,0.6885,PLM_ONLY,25,81
BIOEMU_V12,sequence,PLM_PLUS,Private,3.3202566997643816,0.518969720242129,0.563106349506734,0.0491680827251737,-0.11503891067956352,0.2164562743499141,0.2869,PLM_ONLY,25,81
BIOEMU_V12,sequence_SHADOW,STANDALONE,Shadow,3.473953401546807,0.026891391164142135,0.04839476145916782,0.03568179660853543,-0.10636067830033998,0.18054072950711686,0.3082,MEDIAN,25,162
BIOEMU_V12,sequence_SHADOW,PLM_ONLY,Shadow,3.030945321708822,0.5132301084291588,0.5219469456653119,-0.40732628322944997,-0.6731432630490707,-0.14392449491216586,0.9989,MEDIAN,25,162
BIOEMU_V12,sequence_SHADOW,PLM_PLUS,Shadow,3.0681358350498593,0.4822828558093509,0.4832596713116463,0.03719051334103751,-0.09739727008102483,0.17270378237120462,0.3,PLM_ONLY,25,162
BIOEMU_V12,sequence_SHADOW,RESIDUAL_RECON,Shadow,3.1216168816353624,0.4800005673930112,0.500689922096686,0.09067155992654063,-0.02804028567254528,0.20859711035519382,0.0686,PLM_ONLY,25,162
