id,generator,n_atoms,R0_E,R0_F_rms,R0_F_q90,R0_F_max,R0_severe_clash,R0_all_clash,R0_min_heavy_dist,R1_E,R1_F_rms,R1_F_q90,R1_F_max,R1_severe_clash,R1_all_clash,R1_min_heavy_dist,delta_severe_clash,delta_F_rms,sidechain_heavy_RMSD,backbone_RMSD,converged,steps,final_fmax,optimizer,failure_mode
ADI-45433,esmfold,3538,-623.2522583007812,3.3755781433593484,4.180048009851648,26.61310642248331,0,1,1.925487997616125,-899.26953125,1.200873494262893,1.52989941895559,10.516983331125216,0,0,2.0336296749054426,0,-2.1747046490964554,0.2637366951578758,0.0,False,200,0.480733665671098,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45438,esmfold,3449,-563.7814331054688,3.3487483051142037,4.232470102627118,12.964176172171795,0,2,1.878370125253825,-842.548828125,1.3320585950384674,1.688174070012918,12.419536981364162,0,0,2.0341962782265965,0,-2.016689710075736,0.2214616731143531,0.0,False,200,0.2290874170158266,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45440,esmfold,3403,-594.924072265625,3.304492003096506,4.155754015970862,16.943280187608732,0,2,1.69587298124539,-859.5301513671875,1.2514958663822209,1.476437588839521,11.859770469565216,0,0,2.029155675418697,0,-2.052996136714285,0.2393382507297454,0.0,False,200,0.5534602341280148,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45447,esmfold,3478,-589.0946655273438,3.314837587136413,4.247728727626447,12.965336656000757,0,1,1.902749057230762,-860.1705932617188,1.2922809697512334,1.531402114171639,12.242579871045365,0,0,2.031975491320648,0,-2.02255661738518,0.2382789529867832,0.0,False,200,1.523528659054439,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45450,esmfold,3434,-584.1380004882812,3.373853652203757,4.19013253850347,24.999438312274208,0,2,1.955903586856434,-872.6229248046875,1.2888693075892794,1.6747802131183056,10.870251925332166,0,0,2.033685050076292,0,-2.084984344614478,0.2604659679341563,0.0,False,200,3.005984967589908,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45452,esmfold,3421,-579.2125244140625,3.50892104698863,4.173588283071291,42.47552380603536,0,2,1.853632809952269,-857.4755249023438,1.3203823044104446,1.5701869660469898,12.586970973813786,0,0,2.033460240819756,0,-2.188538742578185,0.2100362317170937,0.0,False,200,0.8404889950348536,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45454,esmfold,3560,-609.7335205078125,3.388873959162725,4.159885561549868,27.504718284726813,0,1,1.910120392704474,-891.3187255859375,1.1903289492545266,1.492660581487674,10.4665686540267,0,0,2.033575223513063,0,-2.198545009908199,0.2512105013967172,0.0,False,200,1.071983844832742,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45456,esmfold,3457,-584.5987548828125,3.4908667251461347,4.199869617660795,27.18655209312529,0,1,1.7445585109195278,-864.6156005859375,1.2924376027104412,1.611860829523632,14.07920825818745,0,0,2.0264016639711184,0,-2.1984291224356936,0.2480750779833754,0.0,False,200,0.709390637710878,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45460,esmfold,3424,-597.6641235351562,3.3918729236532714,4.178705711983137,27.235654528985517,0,1,1.815070079238721,-870.3529663085938,1.2530185698901022,1.6652435697307613,10.721367637020206,0,0,2.031385635725972,0,-2.138854353763169,0.2486256646853019,0.0,False,200,0.6634024702357132,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45463,esmfold,3382,-588.2465209960938,3.398305155701302,4.162035329382464,27.04072037337239,0,2,1.786364141139446,-859.7137451171875,1.2108660511643197,1.7227623169019604,9.410050572329029,0,0,2.034730890245999,0,-2.1874391045369825,0.2406537379766818,0.0,False,200,0.3372884238791545,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45465,esmfold,3434,-587.0401611328125,3.2884964484230723,4.167819495082586,11.837032399281536,0,1,1.8195019818387173,-854.2422485351562,1.2502870243672837,1.4902907384362472,9.30936050361898,0,0,2.030724104738336,0,-2.038209424055789,0.2332220798095133,0.0,False,200,0.3166042257265309,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45470,esmfold,3374,-580.613525390625,3.2892249752260243,4.138064893101878,20.129024965407663,0,3,1.824112988021715,-841.9022827148438,1.246646653862244,1.6750531510504252,19.0010095774235,0,0,2.0297519759930456,0,-2.0425783213637803,0.203580097129405,0.0,False,200,0.4041148585614001,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
