generator,feature,family,proxy,spearman,pearson,n
esmfold,K_all_bb_mean,v2,n_atoms,0.08685007982232333,0.054548713437516605,324
esmfold,K_all_bb_mean,v2,initial_force_RMS_openmm,0.01330264171433502,-0.07030843721500671,324
esmfold,K_all_bb_mean,v2,v1_ref_F_rms,-0.0037213455729351963,-0.11305248338861003,324
esmfold,K_all_bb_median,v2,severe_clash_before,0.033986782673477337,0.016484257774021672,324
esmfold,K_all_bb_median,v2,severe_clash_after,0.04396669092457029,0.016550964268725345,324
esmfold,K_all_bb_median,v2,n_atoms,0.10962290755329851,0.10532984965853591,324
esmfold,K_all_bb_median,v2,initial_force_RMS_openmm,-0.028552330346883266,-0.007908480299806458,324
esmfold,K_all_bb_median,v2,v1_ref_F_rms,-0.10914972291274755,-0.03609108150812459,324
esmfold,K_all_bb_q10,v2,severe_clash_before,0.03965310987347439,0.05958127416626551,324
esmfold,K_all_bb_q10,v2,severe_clash_after,-0.008990090066019814,0.059699144528700385,324
esmfold,K_all_bb_q10,v2,n_atoms,0.08718790581115132,0.07840955805379612,324
esmfold,K_all_bb_q10,v2,initial_force_RMS_openmm,-0.05692559853300022,-0.08161085465375832,324
esmfold,K_all_bb_q10,v2,v1_ref_F_rms,-0.11017777541692778,-0.026484596561010966,324
esmfold,K_all_bb_q90,v2,severe_clash_before,0.04156244040075556,-0.09263183121617691,324
esmfold,K_all_bb_q90,v2,severe_clash_after,-0.021586290857202473,-0.09291804702135605,324
esmfold,K_all_bb_q90,v2,n_atoms,0.07684016307034575,0.07404043855031518,324
esmfold,K_all_bb_q90,v2,initial_force_RMS_openmm,0.082487732085724,-0.08370043085075826,324
esmfold,K_all_bb_q90,v2,v1_ref_F_rms,0.020187702572518035,-0.11223097450107376,324
esmfold,K_all_bb_iqr,v2,severe_clash_before,0.020020538193462407,-0.07815379763047449,324
esmfold,K_all_bb_iqr,v2,severe_clash_after,-0.024725095760181535,-0.07832728736719798,324
esmfold,K_all_bb_iqr,v2,n_atoms,0.08430518281486092,0.08827068417817652,324
esmfold,K_all_bb_iqr,v2,initial_force_RMS_openmm,0.009772879645963205,-0.0056139061753029094,324
esmfold,K_all_bb_iqr,v2,v1_ref_F_rms,0.053484901554552364,-0.06543907490829384,324
esmfold,K_all_bb_frac_neg,v2,severe_clash_before,-0.0471581599714838,-0.03680850375461916,324
esmfold,K_all_bb_frac_neg,v2,severe_clash_after,0.012493033222235177,-0.03654787295522209,324
esmfold,K_all_bb_frac_neg,v2,n_atoms,0.036700577693121385,0.0490459764837447,324
esmfold,K_all_bb_frac_neg,v2,initial_force_RMS_openmm,-0.005631403830976181,-0.02952678324310125,324
esmfold,K_all_bb_frac_neg,v2,v1_ref_F_rms,0.03871331379025243,-0.045293436113043734,324
esmfold,K_FW_mean,v2,severe_clash_before,0.02326939811493599,0.00856791224426899,324
esmfold,K_FW_mean,v2,severe_clash_after,0.009128567200088315,0.008723435014607277,324
esmfold,K_FW_mean,v2,n_atoms,-0.14668949094958414,-0.12315148230580109,324
esmfold,K_FW_mean,v2,initial_force_RMS_openmm,0.03220362529157401,0.018016369188788774,324
esmfold,K_FW_mean,v2,v1_ref_F_rms,0.02490400046925016,-0.036420179676189254,324
esmfold,K_FW_median,v2,severe_clash_before,-0.003162343223772871,-0.04278204262321229,324
esmfold,K_FW_median,v2,severe_clash_after,0.010385712324787657,-0.04288561583197165,324
esmfold,K_FW_median,v2,n_atoms,-0.05047395522231588,-0.04384416317729654,324
esmfold,K_FW_median,v2,initial_force_RMS_openmm,-0.05161430085887965,0.04157326751428304,324
esmfold,K_FW_median,v2,v1_ref_F_rms,0.054756708204560224,0.013341008051610216,324
esmfold,K_FW_q90,v2,severe_clash_before,0.011403415860414717,-0.03013977075741145,324
esmfold,K_FW_q90,v2,severe_clash_after,0.003500269543240805,-0.030160641266123157,324
esmfold,K_FW_q90,v2,n_atoms,-0.1678953223770584,-0.15863418885178004,324
esmfold,K_FW_q90,v2,initial_force_RMS_openmm,0.03200237376080209,0.0029768885066181,324
esmfold,K_FW_q90,v2,v1_ref_F_rms,-0.029952323678258234,-0.05990386516696122,324
esmfold,K_CDR_mean,v2,severe_clash_before,-0.037159922634583446,-0.09649986610544231,324
esmfold,K_CDR_mean,v2,severe_clash_after,-0.06474983601871188,-0.09647501472753257,324
esmfold,K_CDR_mean,v2,n_atoms,0.16756132831728768,0.1410089681514194,324
esmfold,K_CDR_mean,v2,initial_force_RMS_openmm,-0.0002695528818034942,-0.08202929336634124,324
esmfold,K_CDR_mean,v2,v1_ref_F_rms,0.061283059368769294,-0.13848332252907883,324
esmfold,K_CDR_median,v2,severe_clash_before,0.04700907954767938,-0.04749790103693238,324
esmfold,K_CDR_median,v2,severe_clash_after,-0.03837257675489883,-0.04762955574913019,324
esmfold,K_CDR_median,v2,n_atoms,0.16407097631829695,0.16082216961224502,324
esmfold,K_CDR_median,v2,initial_force_RMS_openmm,0.0034624765780870647,-0.021811322061137995,324
esmfold,K_CDR_median,v2,v1_ref_F_rms,-0.09125170287383384,-0.03392563247425719,324
esmfold,K_CDR_q90,v2,severe_clash_before,-0.0403985217694961,-0.10755229428928392,324
esmfold,K_CDR_q90,v2,severe_clash_after,-0.058919493873898186,-0.10755821744619938,324
esmfold,K_CDR_q90,v2,n_atoms,0.14883443267642113,0.15183322088343848,324
esmfold,K_CDR_q90,v2,initial_force_RMS_openmm,0.0017199883640595175,-0.07838217257880825,324
esmfold,K_CDR_q90,v2,v1_ref_F_rms,0.07641670149281413,-0.16187986069233656,324
esmfold,K_HCDR3_mean,v2,severe_clash_before,0.07309413146115222,0.041140010347921384,324
esmfold,K_HCDR3_mean,v2,severe_clash_after,0.09028850974466693,0.040878794411409874,324
esmfold,K_HCDR3_mean,v2,n_atoms,0.16360374819931797,0.16084048019055236,324
esmfold,K_HCDR3_mean,v2,initial_force_RMS_openmm,0.0353089515620824,-0.08678603450639112,324
esmfold,K_HCDR3_mean,v2,v1_ref_F_rms,-0.0653055248187572,-0.009886691711629415,324
esmfold,K_HCDR3_median,v2,severe_clash_before,0.024794212041361476,0.07758376289157186,324
esmfold,K_HCDR3_median,v2,severe_clash_after,0.05898314740286202,0.07752989170689473,324
esmfold,K_HCDR3_median,v2,n_atoms,0.08546569927414109,0.10074830233116193,324
esmfold,K_HCDR3_median,v2,initial_force_RMS_openmm,-0.0015141240625750239,-0.04541148217322867,324
esmfold,K_HCDR3_median,v2,v1_ref_F_rms,-0.06761464510682516,0.016448538630026186,324
esmfold,K_HCDR3_q90,v2,severe_clash_before,0.09959102162046836,0.026253719030080717,324
esmfold,K_HCDR3_q90,v2,severe_clash_after,0.10992879027751844,0.02592345071187095,324
esmfold,K_HCDR3_q90,v2,n_atoms,0.16497864927394873,0.15430812446610623,324
esmfold,K_HCDR3_q90,v2,initial_force_RMS_openmm,0.04889506751123016,-0.0764239659637416,324
esmfold,K_HCDR3_q90,v2,v1_ref_F_rms,-0.0557857740190148,-0.014188135428075958,324
esmfold,K_chi1_mean,v2,severe_clash_before,0.020074244789646263,-0.03503883015881771,324
esmfold,K_chi1_mean,v2,severe_clash_after,-0.06988064684112946,-0.03501737588324037,324
esmfold,K_chi1_mean,v2,n_atoms,-0.023694309680090633,-0.016271276978068076,324
esmfold,K_chi1_mean,v2,initial_force_RMS_openmm,0.030000088204422574,0.04971898834298599,324
esmfold,K_chi1_mean,v2,v1_ref_F_rms,0.0013340036869448637,0.005409769999000323,324
esmfold,K_chi1_median,v2,severe_clash_before,0.003074399204066491,-0.023643727457383523,324
esmfold,K_chi1_median,v2,severe_clash_after,-0.022523090308454622,-0.023821500341354523,324
esmfold,K_chi1_median,v2,n_atoms,0.00869751601737287,0.05923085287373957,324
esmfold,K_chi1_median,v2,initial_force_RMS_openmm,0.08225407510254577,-0.029923631598771202,324
esmfold,K_chi1_median,v2,v1_ref_F_rms,0.00640366254219121,-0.07876382042466876,324
esmfold,K_chi1_q10,v2,severe_clash_before,0.059891003619014185,0.03146633331570326,324
esmfold,K_chi1_q10,v2,severe_clash_after,0.005075714580251271,0.031140533225765696,324
esmfold,K_chi1_q10,v2,n_atoms,-0.019755763541792457,-0.0220627326024377,324
esmfold,K_chi1_q10,v2,initial_force_RMS_openmm,0.054721071495394936,0.054027249588279064,324
