id,VH_ca_rmsd_median,VL_ca_rmsd_median,mean_ca_rmsd_median,VH_ca_rmsf_mean,VL_ca_rmsf_mean,mean_ca_rmsf_mean,max_ca_rmsf_q90,VH_rg_mean,VL_rg_mean,mean_rg_sd,VH_contact_mean_occ,VL_contact_mean_occ,mean_contact_frac_persistent,mean_contact_frac_labile,mean_contact_occ_entropy,VH_rmsf_cdr_mean,VL_rmsf_cdr_mean,VH_rmsf_fw_mean,VL_rmsf_fw_mean,VH_rmsf_cdr3_mean,VL_rmsf_cdr3_mean,absdiff_ca_rmsf_mean,absdiff_rg_mean,max_ca_rmsd_q90,mean_ca_rmsf_q90,n_features
ADI-37123,0.21817662566900253,0.1806412935256958,0.19940895959734917,0.14099502563476562,0.12828631699085236,0.134640671312809,0.2802090644836426,1.3571811816484636,1.3064314132536368,0.013706100511107593,0.04657046476761619,0.05322379885486681,0.041670147002674914,0.015486450202829877,0.021717104388762933,0.195851668715477,0.1558571308851242,0.12411604821681976,0.1227102056145668,0.19833718240261078,0.16618674993515015,0.012708708643913269,0.05074976839482681,0.518813979625702,0.2593791037797928,25
ADI-37124,0.431911438703537,0.23692728579044342,0.3344193622469902,0.2953837513923645,0.2584320604801178,0.27690790593624115,0.5815279483795166,1.4003044297674696,1.3201461494889861,0.023104317429930594,0.04225023342670402,0.05238095238095238,0.033446455505279034,0.022845291962939024,0.0385843014127237,0.35074394941329956,0.30958765745162964,0.2759164571762085,0.24680575728416443,0.4429123103618622,0.3812060058116913,0.036951690912246704,0.08015828027848348,0.9670211076736451,0.5238612145185471,25
ADI-37125,0.31861189007759094,0.13755998760461807,0.2280859388411045,0.18135643005371094,0.0847550481557846,0.13305573910474777,0.3626197576522827,1.4137320841315182,1.2984862975226483,0.01677408671132736,0.04334251606978879,0.054109432234432236,0.04146232555323465,0.013689340962068235,0.019767804098672556,0.2985345423221588,0.10729428380727768,0.13886328041553497,0.07994330674409866,0.35899999737739563,0.12031669169664383,0.09660138189792633,0.11524578660886986,0.4096566021442415,0.2475588619709015,25
ADI-38498,0.2759062200784683,0.16547435522079468,0.2206902876496315,0.15802182257175446,0.09655497968196869,0.12728840112686157,0.3487706780433655,1.4061580360517691,1.316673679331269,0.013341064974241182,0.04239607920272751,0.05311355311355311,0.039129006320194365,0.015520573054011291,0.020777179091646655,0.2656235992908478,0.16963300108909607,0.1154540628194809,0.07994633167982101,0.3410412669181824,0.15085256099700928,0.06146684288978577,0.08948435672050015,0.3892524212598801,0.26731209456920624,25
ADI-38499,0.2611839771270752,0.19319035857915878,0.227187167853117,0.1635892242193222,0.10448740422725677,0.1340383142232895,0.3097299635410309,1.3494158023354546,1.3399770636925141,0.009324552587602399,0.04643401983218917,0.05284051574939425,0.039218672895612094,0.018681133281531065,0.023673330371160515,0.25927722454071045,0.18201769888401031,0.13519825041294098,0.08422379940748215,0.2982017993927002,0.16316266357898712,0.05910181999206543,0.009438738642940425,0.36713453233242044,0.26016855239868164,25
ADI-38500,0.31318965554237366,0.2660643458366394,0.28962700068950653,0.2013111263513565,0.14368239045143127,0.1724967584013939,0.38202545046806335,1.3889521654597012,1.3346239839806568,0.02268316493568647,0.04442031049708019,0.05219538000352671,0.037319334035076424,0.020363689142663455,0.02555948169178881,0.29050594568252563,0.261298805475235,0.17092610895633698,0.11427828669548035,0.3766613304615021,0.21163535118103027,0.05762873589992523,0.05432818147904439,0.6387157559394837,0.3580121397972107,25
ADI-38501,0.16940805315971375,0.16293857991695404,0.1661733165383339,0.12048794329166412,0.0959378182888031,0.10821288079023361,0.1829071193933487,1.3627114102304345,1.3040141837988237,0.01316530810066327,0.04630684657671164,0.05255265567765568,0.04278396516027701,0.012798683076044395,0.017017089348623532,0.13729248940944672,0.16952604055404663,0.11531731486320496,0.08022797852754593,0.15821655094623566,0.22060728073120117,0.024550125002861023,0.058697226431610794,0.38323014974594116,0.1749046966433525,25
ADI-38502,0.2754359543323517,0.12508771196007729,0.20026183314621449,0.14397935569286346,0.07858415693044662,0.11128175631165504,0.2635986804962158,1.3901285308430469,1.2959911912209718,0.013060269684342918,0.04495798319327731,0.05381814787154593,0.0412654307428722,0.015381686655244621,0.017696772925297526,0.25640958547592163,0.0955888032913208,0.10444342344999313,0.07514500617980957,0.3332439661026001,0.10191140323877335,0.06539519876241684,0.09413733962207504,0.35139837861061096,0.195535346865654,25
ADI-38503,0.2538871169090271,0.2816319763660431,0.2677595466375351,0.15429620444774628,0.1738753616809845,0.1640857830643654,0.32234030961990356,1.383409702399495,1.329288433895047,0.02137774280173146,0.04422231879858998,0.05165570554978655,0.03756245309389615,0.018337663474682325,0.02730490146583639,0.23088733851909637,0.32769620418548584,0.12904636561870575,0.13367217779159546,0.28178510069847107,0.40513116121292114,0.01957915723323822,0.05412126850444787,0.43036810755729676,0.3030949980020523,25
ADI-45368,0.2008904442191124,0.12898997217416763,0.16494020819664001,0.11672493070363998,0.08299829065799713,0.09986161068081856,0.21165551245212555,1.4012158395744896,1.2843202144114785,0.010114267957413794,0.0445805440820396,0.055337426232628974,0.044665356680766766,0.010789868028830751,0.016072291225114096,0.1635396033525467,0.11058147251605988,0.10077708959579468,0.07772959023714066,0.18955515325069427,0.11917608231306076,0.03372664004564285,0.11689562516301111,0.26101364493370055,0.1778692975640297,25
ADI-45370,0.21587388962507248,0.2123536393046379,0.2141137644648552,0.14115490019321442,0.11990398913621902,0.13052944466471672,0.30143117904663086,1.35478365942577,1.3330522738646673,0.010919720266801918,0.047244469870327994,0.05350687709398695,0.040558592897260826,0.017760116405801406,0.022345387856336902,0.21991032361984253,0.21116787195205688,0.1177879273891449,0.09708800911903381,0.1732461005449295,0.19831323623657227,0.021250911056995392,0.021731385561102767,0.3814177632331848,0.2718247026205063,25
ADI-45373,0.2030535638332367,0.17598207294940948,0.1895178183913231,0.13472385704517365,0.09720524400472641,0.11596455052495003,0.2731737196445465,1.3669179063211774,1.302496939831722,0.014121847680777835,0.04676446849926412,0.05255102040816327,0.0407075476866105,0.01649255530112958,0.019307843421481615,0.20423519611358643,0.17867854237556458,0.11104418337345123,0.07981207966804504,0.23204006254673004,0.21329672634601593,0.037518613040447235,0.06442096648945528,0.3893945515155792,0.23370497673749924,25
ADI-45375,0.3924029469490051,0.1993175372481346,0.29586024209856987,0.2217177152633667,0.11607538908720016,0.16889655217528343,0.47023963928222656,1.4153090455682193,1.3359770965193642,0.025208139777062148,0.04154782531431872,0.05313216363956974,0.03750450680833879,0.017327237094347,0.02356602235204229,0.3729459047317505,0.19415177404880524,0.16355301439762115,0.09655629843473434,0.49433019757270813,0.16418035328388214,0.10564232617616653,0.0793319490488551,0.5586894273757935,0.34192927181720734,25
