candidate_id,feature,type,diagnostic_only,wasserstein_norm,ks,smd,js,imbalance
CAND_04974,TmApp,continuous,False,0.22046698759546382,0.14814814814814814,0.1287080219846385,,0.1287080219846385
CAND_04974,HIC,continuous,False,0.16600500249454045,0.08641975308641975,0.02647164269819477,,0.02647164269819477
CAND_04974,cluster_size,continuous,False,0.12649286299425122,0.1728395061728396,0.07338056855751528,,0.07338056855751528
CAND_04974,A2_HL_charge_ph7,continuous,False,0.14055295728698705,0.09876543209876543,0.10213262517731238,,0.10213262517731238
CAND_04974,A2_HL_pI,continuous,False,0.11651614816398632,0.1111111111111111,0.06953137519641538,,0.06953137519641538
CAND_04974,A2_HL_gravy,continuous,False,0.23285947287586672,0.13580246913580252,0.1213687745316284,,0.1213687745316284
CAND_04974,C_vh_germline_distance,continuous,False,0.1398418570116163,0.08641975308641969,0.005678761782686078,,0.005678761782686078
CAND_04974,C_vl_germline_distance,continuous,False,0.17422575654234732,0.13580246913580246,0.10260754743825765,,0.10260754743825765
CAND_04974,C_combined_germline_distance,continuous,False,0.1259280804540183,0.09876543209876543,0.04987684961587047,,0.04987684961587047
CAND_04974,vh_len,continuous,False,0.11517584291462458,0.07407407407407396,0.06027120300723527,,0.06027120300723527
CAND_04974,vl_len,continuous,False,0.1424501417926804,0.11111111111111105,0.03964695018498629,,0.03964695018498629
CAND_04974,H_CDR3_len,continuous,False,0.13270388230505825,0.04938271604938271,0.11366542154466008,,0.11366542154466008
CAND_04974,L_CDR3_len,continuous,False,0.19796535765005827,0.13580246913580246,0.1614992113684713,,0.1614992113684713
CAND_04974,nearest_train_VH_identity,continuous,False,0.28229217806781826,0.18518518518518512,0.1660739678239044,,0.1660739678239044
CAND_04974,nearest_train_VL_identity,continuous,False,0.13771335961859466,0.11111111111111116,0.02367693402783336,,0.02367693402783336
CAND_04974,vh_family,categorical,False,,,,0.007666210155277776,0.007666210155277776
CAND_04974,vl_family,categorical,False,,,,0.06896842829701615,0.06896842829701615
CAND_04974,C_kappa_lambda,categorical,False,,,,0.01033255550489268,0.01033255550489268
CAND_04974,donor,categorical,True,,,,0.0,0.0
CAND_04974,b_cell_subset,categorical,True,,,,0.008808240695232627,0.008808240695232627
CAND_12528,TmApp,continuous,False,0.16471671487017414,0.09876543209876543,0.14138744208407783,,0.14138744208407783
CAND_12528,HIC,continuous,False,0.1277083840031559,0.1111111111111111,0.10739801646432716,,0.10739801646432716
CAND_12528,cluster_size,continuous,False,0.22136251023993972,0.1975308641975308,0.1259618012332761,,0.1259618012332761
CAND_12528,A2_HL_charge_ph7,continuous,False,0.1294854637229919,0.0864197530864198,0.007896084121590643,,0.007896084121590643
CAND_12528,A2_HL_pI,continuous,False,0.08498054262771951,0.08641975308641969,0.0493537108983621,,0.0493537108983621
