candidate_id,target,metric,n_perturbations,median,iqr,p05,p_lt0
CAND_04974,TmApp,mae_pp,300,0.7999999999999999,0.19999999999999996,0.19999999999999998,0.016666666666666666
CAND_04974,TmApp,pear_pp,300,0.7999999999999999,0.0,0.6000000000000001,0.016666666666666666
CAND_04974,TmApp,pub_winner_regret,300,0.20417054300020054,0.21179314933036208,0.0,0.0
CAND_04974,HIC,mae_pp,300,0.7714285714285715,0.05714285714285716,0.48571428571428577,0.0
CAND_04974,HIC,pear_pp,300,0.6,0.09999999999999998,0.49999999999999994,0.0
CAND_04974,HIC,pub_winner_regret,300,0.024642918472918218,0.006744787321355861,0.01600366971052302,0.0
CAND_12528,TmApp,mae_pp,300,0.7999999999999999,0.19999999999999984,0.19999999999999998,0.023333333333333334
CAND_12528,TmApp,pear_pp,300,0.7999999999999999,0.0,0.6000000000000001,0.0
CAND_12528,TmApp,pub_winner_regret,300,0.17959011957400595,0.2173916434848483,0.0,0.0
CAND_12528,HIC,mae_pp,300,0.7714285714285715,0.05714285714285727,0.48571428571428577,0.0
CAND_12528,HIC,pear_pp,300,0.6,0.10000000000000003,0.49999999999999994,0.0
CAND_12528,HIC,pub_winner_regret,300,0.017729612398497796,0.008889954351539678,0.00837518012219845,0.0
CAND_12207,TmApp,mae_pp,300,0.7999999999999999,0.19999999999999984,0.49999999999999994,0.0033333333333333335
CAND_12207,TmApp,pear_pp,300,0.7999999999999999,0.19999999999999984,0.6000000000000001,0.0033333333333333335
CAND_12207,TmApp,pub_winner_regret,300,0.19381186753558577,0.2298823458909891,0.0,0.0
CAND_12207,HIC,mae_pp,300,0.5714285714285714,0.2857142857142857,0.3114285714285715,0.0
CAND_12207,HIC,pear_pp,300,0.6,0.0,0.6,0.0
CAND_12207,HIC,pub_winner_regret,300,0.02120666487604858,0.01931237102000498,0.0,0.0
