candidate_id,stage,mae_cv_public_median,mae_cv_public_p05,mae_cv_public_p95,mae_cv_public_p_lt0,mae_public_private_median,mae_public_private_p05,mae_public_private_p95,mae_public_private_p_lt0,mae_cv_private_median,mae_cv_private_p05,mae_cv_private_p95,mae_cv_private_p_lt0,pear_cv_public_median,pear_cv_public_p05,pear_cv_public_p95,pear_cv_public_p_lt0,pear_public_private_median,pear_public_private_p05,pear_public_private_p95,pear_public_private_p_lt0,pear_cv_private_median,pear_cv_private_p05,pear_cv_private_p95,pear_cv_private_p_lt0
CURRENT_BASELINE_SPLIT,screen_1000,-0.19999999999999998,-0.7,0.6,0.621,-0.09999999999999999,-0.7999999999999999,0.7,0.508,0.7,0.39999999999999997,0.9999999999999999,0.012,0.0,-0.8099999999999994,0.7999999999999999,0.444,0.19999999999999998,-0.7999999999999999,0.7999999999999999,0.352,0.7999999999999999,0.6000000000000001,1.0,0.002
CAND_00144,screen_1000,0.6,-0.19999999999999998,0.8999999999999998,0.113,0.39999999999999997,-0.6,0.8999999999999998,0.23,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.24,0.7999999999999999,-0.009999999999999431,1.0,0.05,0.6000000000000001,-0.39999999999999997,1.0,0.107,0.6000000000000001,-0.39999999999999997,1.0,0.086
CAND_00443,screen_1000,0.49999999999999994,-0.7,0.8999999999999998,0.294,0.39999999999999997,-0.6,0.8999999999999998,0.238,0.6,-0.19999999999999998,0.8999999999999998,0.084,0.7999999999999999,0.19999999999999998,1.0,0.018,0.39999999999999997,-0.7999999999999999,0.7999999999999999,0.256,0.6000000000000001,-0.39999999999999997,0.7999999999999999,0.094
CAND_00767,screen_1000,0.6,-0.3,0.8999999999999998,0.193,0.39999999999999997,-0.6,0.8999999999999998,0.216,0.6,-0.39999999999999997,0.8999999999999998,0.192,0.7999999999999999,0.0,1.0,0.028,0.39999999999999997,-0.6099999999999995,1.0,0.188,0.6000000000000001,-0.39999999999999997,1.0,0.06
CAND_01744,screen_1000,0.6,-0.3,0.8999999999999998,0.133,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.212,0.49999999999999994,-0.39999999999999997,0.8999999999999998,0.205,0.6000000000000001,-0.39999999999999997,1.0,0.077,0.6000000000000001,-0.39999999999999997,1.0,0.145,0.7999999999999999,0.19999999999999998,1.0,0.032
CAND_01965,screen_1000,0.39999999999999997,-0.3,0.8999999999999998,0.262,0.3,-0.6049999999999996,0.8999999999999998,0.294,0.6,-0.3,0.8999999999999998,0.135,0.6000000000000001,-0.39999999999999997,1.0,0.205,0.39999999999999997,-0.4099999999999994,1.0,0.277,0.6000000000000001,0.19999999999999998,1.0,0.006
CAND_03053,screen_1000,0.3,-0.49999999999999994,0.8999999999999998,0.351,0.3,-0.6,0.8999999999999998,0.248,0.6,-0.09999999999999999,0.8999999999999998,0.078,0.6000000000000001,-0.39999999999999997,1.0,0.163,0.6000000000000001,-0.39999999999999997,1.0,0.183,0.6000000000000001,0.0,1.0,0.013
CAND_03542,screen_1000,0.3,-0.6,0.8999999999999998,0.3,0.3,-0.6,0.8999999999999998,0.265,0.6,-0.19999999999999998,0.8999999999999998,0.122,0.0,-0.6000000000000001,0.7999999999999999,0.293,0.19999999999999998,-0.7999999999999999,0.7999999999999999,0.274,0.7999999999999999,0.6000000000000001,1.0,0.005
CAND_04256,screen_1000,0.6,-0.3,0.8999999999999998,0.148,0.3,-0.6,0.8999999999999998,0.284,0.49999999999999994,-0.49999999999999994,0.9049999999999953,0.175,0.6000000000000001,0.0,1.0,0.027,0.39999999999999997,-0.4099999999999994,1.0,0.209,0.7999999999999999,-0.39999999999999997,1.0,0.171
CAND_04805,screen_1000,0.7,-0.09999999999999999,0.9999999999999999,0.095,0.19999999999999998,-0.6,0.8049999999999954,0.302,0.3,-0.39999999999999997,0.8999999999999998,0.288,0.6000000000000001,-0.39999999999999997,1.0,0.089,0.6000000000000001,-0.39999999999999997,1.0,0.138,0.7999999999999999,-0.39999999999999997,1.0,0.067
