candidate_id,public_hash,private_hash,is_baseline,balance_score,mae_cv_public_spearman,mae_public_private_spearman,mae_cv_private_spearman,mae_cv_public_kendall,mae_public_private_kendall,mae_cv_private_kendall,pear_cv_public_spearman,pear_public_private_spearman,pear_cv_private_spearman,spr_cv_public_spearman,spr_public_private_spearman,spr_cv_private_spearman,top2_cv_public,top2_public_private,top2_cv_private,top3_cv_public,top3_public_private,top3_cv_private,cv_winner_public_rank,cv_winner_private_rank,public_winner_private_rank,mae_triple_min,mae_triple_mean,worst_lofo_family_mae_pp,median_lofo_family_mae_pp,lofo_family_mae_pp_sd,worst_lomo_mae_pp,median_lomo_mae_pp,lomo_mae_pp_sd,subset_simple_domain_mae_pp,subset_plm_ensemble_mae_pp,subset_simple_plm_ensemble_mae_pp,subset_mae_pp_median,subset_mae_pp_sd
CURRENT_BASELINE_SPLIT,0213b43aafa11c8dc3488a0137cdd2b2e68be33c100d90bff70a3acf27c0a3ac,bfbcdfddc32b623f8a0e4976b2e08b966cb28f78b0c8beed368237ef6c2aa7f6,True,6.359873661338483,0.0,0.19999999999999998,0.6,0.0,0.19999999999999998,0.39999999999999997,0.0,0.39999999999999997,0.7999999999999999,0.0,0.39999999999999997,0.7999999999999999,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,1,2,0.0,0.26666666666666666,-0.19999999999999998,0.0,0.35777087639996635,-0.19999999999999998,0.0,0.3577708763999663,0.5,,0.19999999999999998,0.35,0.15000000000000002
CAND_00008,678e1b08e634696cfee3d462bfdb16fe02797b454d79dc3115f490e8dff0223b,609ecaa6e75c7a33b9f55283d4e8d3ba351ebe23ac105f28e5150875b3bf32af,False,4.424382144423529,0.8999999999999998,0.0,-0.09999999999999999,0.7999999999999999,0.19999999999999998,0.0,1.0,-0.39999999999999997,-0.39999999999999997,0.7999999999999999,0.39999999999999997,0.0,1.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,2,3,2,-0.09999999999999999,0.2666666666666666,-0.19999999999999998,-0.19999999999999998,0.48,-0.19999999999999998,-0.19999999999999998,0.48000000000000004,-0.5,,0.0,-0.25,0.25
CAND_00033,c5db403ddbc9391e9bd9edc474daab4db4f12efdf696e6cc7b1c588057ce3956,a5c158ec6da45301ef0b866d45c4b3b418c858592e83b9d7b4ca287fd156ea38,False,4.7826469780442515,0.09999999999999999,0.3,0.8999999999999998,0.0,0.19999999999999998,0.7999999999999999,0.6000000000000001,0.7999999999999999,0.7999999999999999,0.6000000000000001,0.7999999999999999,0.7999999999999999,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,3,1,2,0.09999999999999999,0.4333333333333333,0.0,0.39999999999999997,0.24000000000000002,0.0,0.39999999999999997,0.24000000000000005,-0.5,,0.3,-0.1,0.4
CAND_00044,32f26fe7e25f73e6fb51f323026533979fa85e40277ba6b0bea16d866d60e5b6,ff55d88c6f5353d50025fe507daae2312a748036f5754cfd17060c4674599b88,False,4.988674278341837,0.7999999999999999,0.49999999999999994,0.09999999999999999,0.6,0.39999999999999997,0.0,0.6000000000000001,0.7999999999999999,0.7999999999999999,0.6000000000000001,1.0,0.6000000000000001,1.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,2,3,1,0.09999999999999999,0.4666666666666666,0.0,0.39999999999999997,0.2993325909419153,0.0,0.39999999999999997,0.2993325909419153,-0.5,,0.49999999999999994,-2.7755575615628914e-17,0.5
CAND_00051,6c60252f27055b2775eba9e37c123936b7a66ede4c5324203c2a92130cc12740,b8df66becb933b58891b2ea6d19398395f281d93a828c4c96b40aebc2005e78c,False,4.895788205430344,-0.49999999999999994,-0.09999999999999999,0.7999999999999999,-0.39999999999999997,0.0,0.6,0.39999999999999997,0.0,0.7999999999999999,0.0,0.39999999999999997,0.7999999999999999,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,4,2,4,-0.49999999999999994,0.06666666666666665,-0.6000000000000001,0.0,0.32496153618543844,-0.6000000000000001,0.0,0.32496153618543844,-0.5,,-0.09999999999999999,-0.3,0.2
CAND_00066,e5d403ad055f926d1628b71eda040caf1f41dc14b640a12e6c2252648bfbf8b2,df6fc4f0e9e39df6b4c2074c86a3bcd2fcca065e3083fbd24fdde1443ed7b844,False,4.206504451567636,0.7,-0.19999999999999998,0.49999999999999994,0.6,-0.19999999999999998,0.19999999999999998,0.7999999999999999,0.0,0.6000000000000001,1.0,0.6000000000000001,0.6000000000000001,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,2,2,5,-0.19999999999999998,0.3333333333333333,-0.39999999999999997,-0.39999999999999997,0.4000000000000001,-0.39999999999999997,-0.39999999999999997,0.4000000000000001,-1.0,,-0.19999999999999998,-0.6,0.4
CAND_00079,3d6fc95f2f9c4a1b8663f77b19cd3bb8234e66908b395e041059eb78a6c8562f,84ddd30b1bf9ee5de171f007804b040bf260f6b517fbd13bf45e48162ccef4dc,False,4.801199407716676,0.7999999999999999,0.7,0.49999999999999994,0.6,0.6,0.19999999999999998,1.0,0.6000000000000001,0.6000000000000001,0.7999999999999999,0.7999999999999999,0.6000000000000001,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,2,2,1,0.49999999999999994,0.6666666666666666,0.39999999999999997,0.7999999999999999,0.24000000000000002,0.39999999999999997,0.7999999999999999,0.24,-0.5,,0.7,0.09999999999999998,0.6
CAND_00090,f8676913bdb3efb0261bc8654018d561039b580c6f08cbd33e49c619f9856f74,8eeb589f975f175432cc1e4ee7d647cd172959c065c42d0d5fbc93b95270a1c2,False,4.646543134548303,0.8999999999999998,0.7999999999999999,0.6,0.7999999999999999,0.6,0.39999999999999997,1.0,0.6000000000000001,0.6000000000000001,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1,2,2,0.6,0.7666666666666666,0.6000000000000001,0.7999999999999999,0.07999999999999995,0.6000000000000001,0.7999999999999999,0.07999999999999995,0.5,,0.7999999999999999,0.6499999999999999,0.14999999999999997
CAND_00104,a9d0317f36aa59635869ae1e84d848f31f3ff3597180a70661ebf8fc57faa2bf,7e14913f00d6f6f01089ac1d640a9267d120ea45b2e0d5056c307bd46315ff3a,False,4.056301916854577,0.6,0.7,0.8999999999999998,0.39999999999999997,0.6,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.6000000000000001,0.6000000000000001,1.0,0.6000000000000001,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,2,2,1,0.6,0.7333333333333333,0.39999999999999997,0.7999999999999999,0.24000000000000002,0.39999999999999997,0.7999999999999999,0.24,-0.5,,0.7,0.09999999999999998,0.6
CAND_00121,020b68138c954ed8dace8f1b721d319cc709e92b3539081a7d4620f29b9d4ed4,3bffc1847d664c7fb575cef83c92a77b1b5b8c5a72c9ab0d482610dc0981f4ed,False,4.98767579580532,0.6,0.7,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.7999999999999999,0.0,0.39999999999999997,0.7999999999999999,0.0,0.39999999999999997,1.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,2,1,3,0.39999999999999997,0.5666666666666665,0.39999999999999997,0.7999999999999999,0.24000000000000002,0.39999999999999997,0.7999999999999999,0.24000000000000002,1.0,,0.7,0.85,0.15000000000000002
