id,fold,y_true,y_pred
ADI-37123,1,8.566,8.944874400166869
ADI-38499,0,9.901,9.182005869042447
ADI-38501,4,8.959,9.289281832943361
ADI-38502,4,8.886,9.173123026463992
ADI-45379,1,8.794,8.866128370807997
ADI-45388,0,8.984,9.223485847890306
ADI-45389,0,8.857,9.144262088768942
ADI-45390,3,8.809,8.852398877316725
ADI-45391,0,9.153,9.050484787559162
ADI-45402,3,8.736,9.003562868634367
ADI-45406,1,8.78,9.205100803198617
ADI-45408,2,8.964,9.079165463616171
ADI-45422,3,10.143,9.309542761886606
ADI-45425,0,11.09,9.87287124083288
ADI-45430,0,8.799,9.11188228683962
ADI-45435,1,11.905,9.768934337809954
ADI-45439,0,8.736,9.076048482632713
ADI-45440,1,9.017,9.382719891797464
ADI-45450,3,8.717,9.081035777994728
ADI-45451,3,11.138,9.634050630565264
ADI-45453,3,9.357,8.961348913176435
ADI-45454,4,8.974,8.773385625273077
ADI-45455,2,8.717,9.130471394339677
ADI-45461,1,9.202,9.171261989862687
ADI-45463,0,8.916,9.007041107336216
ADI-45464,0,8.77,8.83868818563804
ADI-45465,1,8.755,9.27885527328605
ADI-45479,2,9.003,8.932521883823197
ADI-45480,3,9.212,9.476344921153311
ADI-45488,0,9.275,9.178360204769021
ADI-45490,0,9.144,9.00716454034571
ADI-45491,2,9.406,9.395705091306576
ADI-45493,4,10.406,9.732806005776109
ADI-45495,0,10.381,9.222269132820793
ADI-45497,2,12.74,9.870316228652378
ADI-45499,4,12.216,9.672110244224937
ADI-46677,3,9.406,9.122705790090928
ADI-46682,3,8.833,8.953661711647754
ADI-46684,2,9.037,9.440978177340275
ADI-46685,0,8.843,9.204506976196724
ADI-46690,0,8.819,8.993903266245926
ADI-46695,4,9.013,9.19308165603204
ADI-46697,3,9.095,9.09229741591584
ADI-46704,2,8.78,8.856170787759252
ADI-46705,4,9.304,9.336492404864076
ADI-46708,2,8.765,9.202998571186404
ADI-46710,1,9.1,9.420507302932693
ADI-47054,4,8.523,8.932503738877037
ADI-47060,4,8.707,8.749765839382148
ADI-47061,3,8.731,8.871867048649788
ADI-47063,0,8.756,8.863492364116114
ADI-47064,1,8.77,9.048938117729042
ADI-47065,1,8.775,9.096491573919126
ADI-47066,1,8.775,8.964603771765491
ADI-47068,2,8.8,8.93920242916151
ADI-47069,3,8.804,9.374624304274755
ADI-47072,3,8.823,9.061562047068742
ADI-47073,4,8.829,8.934477993460993
ADI-47074,0,8.834,9.298142364773145
ADI-47075,3,8.838,9.037581804499807
ADI-47076,1,8.857,9.412887583572696
ADI-47078,2,8.867,8.907330852031551
ADI-47079,2,8.877,9.483231778590389
ADI-47081,1,8.906,8.782106638548141
ADI-47087,4,8.93,8.941692268356237
ADI-47089,3,8.94,9.356163171673105
ADI-47091,2,8.959,9.125868878842128
ADI-47094,0,9.003,9.016125551853841
ADI-47095,1,9.022,9.014541301386778
ADI-47096,2,9.027,9.246016970054761
ADI-47097,1,9.037,8.87889767058983
ADI-47098,2,9.066,9.058691921953121
ADI-47099,4,9.071,9.401993655752335
ADI-47100,3,9.081,8.998241182729558
ADI-47102,4,9.115,8.957732523974197
ADI-47103,3,9.119,8.892189065242972
ADI-47105,1,9.13,9.018299837811794
ADI-47111,3,9.173,9.203706081596367
ADI-47114,0,9.236,8.989953428764341
ADI-47117,4,9.25,9.963137315240255
ADI-47118,3,9.25,9.28719632794718
ADI-47122,0,9.285,9.01305094933309
ADI-47123,3,9.309,9.39822876773631
ADI-47130,2,9.522,9.653806754804934
ADI-47131,2,9.527,9.396751748609143
ADI-47132,3,9.557,9.481667910710025
ADI-47134,2,9.585,9.490524720032512
ADI-47139,2,9.75,9.637848586103551
ADI-47141,1,9.833,9.262972648478966
ADI-47145,0,9.978,9.420401511473141
ADI-47146,0,10.032,9.415787976642767
ADI-47147,4,10.076,9.7546566544334
ADI-47149,1,10.503,9.248428668747026
