id,subset,n,rg_mean,rg_sd,com_mean,com_sd,orient_mean,orient_sd,max_ca_gap_mean,n_ca_breaks_mean
ADI-47230,PASS,32,1.8480033342706386,0.295462819248613,2.2338277027010918,0.8466758272368672,57.13958082716063,22.639208008791947,4.208517953753471,0.0
ADI-47230,FAIL,300,1.8198248074720773,0.5488475586437455,2.059453841348489,1.3594930054442902,54.22710207866801,22.808241962879475,4.2054761791229245,0.01
ADI-47123,PASS,6,2.3917673367318426,1.1813698392598102,3.2717381914456687,1.8503164338632279,53.48637970380181,30.146184674309985,4.213572184244792,0.0
ADI-47123,FAIL,58,1.858620130104311,0.4503932941537278,2.2784358324675726,1.2001387598024436,50.88853772739657,22.37182035444874,4.345033760728507,0.017241379310344827
ADI-47125,PASS,6,1.7296412806870294,0.07716615204694274,1.9738688667615254,0.23611230460556873,55.34811114036808,27.186416805040423,4.183476527531941,0.0
ADI-47125,FAIL,58,1.7042781468015318,0.21804059701309889,1.8339921112718254,0.6485809039404697,49.35705514814699,23.971052962839842,4.285738196866266,0.034482758620689655
ADI-47260,PASS,1,1.6243864920378086,,1.5057827234268188,,27.02134761770853,,4.152553558349609,0.0
ADI-47260,FAIL,63,1.7276884063586255,0.35848016657980597,1.2978852220943995,0.9611045470032783,45.57457183005061,21.135582554628712,4.214678499433729,0.015873015873015872
ADI-47207,PASS,7,1.9310759271292695,0.5031099552494248,2.22535388810294,1.0856971800756265,53.31684477671072,24.22581858935791,4.1786103929792136,0.0
ADI-47207,FAIL,57,1.715663422995102,0.17056077048611912,1.8717474519160755,0.5458387729404589,54.93707868102036,22.030452300649074,4.932908041435375,0.017543859649122806
ADI-46685,PASS,6,1.7236716116277815,0.061998194030229194,1.7834053039550781,0.40391881448244715,44.21972966965068,20.659464518486626,4.233786582946777,0.0
ADI-46685,FAIL,58,1.719086188873192,0.2766600848716908,1.7088787966761096,0.7946003434239738,47.60620317048196,23.81864340573304,4.186501453662741,0.017241379310344827
ADI-45486,PASS,9,1.824177980193544,0.1427594527547467,2.116948962211609,0.46275371659582276,57.789562629125385,16.326815387356977,4.179432604047987,0.0
ADI-45486,FAIL,55,1.8126039923901043,0.5831356946270735,1.9420622657645832,1.3468781363805715,53.73747603194815,22.28394534159602,4.223438757116145,0.05454545454545454
ADI-47071,PASS,3,2.064955844639682,0.6531641208281787,2.7504496971766152,1.5883268310142675,34.79593505458036,27.726026559035052,4.225884914398193,0.0
ADI-47071,FAIL,61,1.8177891844085046,0.4357069605209166,2.0157804498906997,1.191654099409389,52.28057221366704,21.52072891743986,4.196848533192619,0.0
ADI-45411,PASS,7,2.600212909398124,0.446845852146047,4.329817124775478,0.9700664056081808,56.16850181218782,23.888936186510623,4.275262219565255,0.0
ADI-45411,FAIL,57,2.0974293392188588,0.8462481005175527,2.8922253533413538,2.012203329144032,44.04445669025497,20.53535290733027,4.678892135620117,0.08771929824561403
ADI-38500,PASS,7,1.7780808421979066,0.1298180762995867,2.1292342969349454,0.43346872569691347,40.62457105487884,21.256431710849544,4.1875995227268765,0.0
ADI-38500,FAIL,57,1.70232327585719,0.13389428086257396,1.869782567024231,0.5169898173116524,52.085457845891156,23.635413611017473,4.21516181711565,0.0
ADI-47186,PASS,2,1.7242212719202348,0.17019536992539616,1.5698440670967102,0.1675376846345638,48.975741363571245,11.174123019506645,4.204495191574097,0.0
ADI-47186,FAIL,62,1.6837722035710039,0.1152852814281376,1.4795050760430675,0.47001007800534833,55.40339265464207,21.87623277665662,4.210794171979351,0.0
ADI-47192,PASS,9,2.018786367119912,0.3161278115151057,2.855777713987562,0.8587005364384955,48.44177920323634,24.51500475061496,4.191737386915419,0.0
ADI-47192,FAIL,55,1.9256009324607282,0.7670663976451377,2.3326563412492924,1.82872559950614,50.58163020154384,23.58687906510002,4.752427725358443,0.01818181818181818
