id,chain,npz,phys_xtc,pass_rate
ADI-47120,VL,16,3,0.1875
ADI-47121,VH,16,1,0.0625
ADI-47121,VL,16,1,0.0625
ADI-47122,VH,16,4,0.25
ADI-47122,VL,16,1,0.0625
ADI-47123,VH,16,3,0.1875
ADI-47123,VL,16,7,0.4375
ADI-47124,VH,16,7,0.4375
ADI-47124,VL,16,10,0.625
ADI-47125,VH,16,4,0.25
ADI-47125,VL,16,1,0.0625
ADI-47126,VH,16,5,0.3125
ADI-47126,VL,16,6,0.375
ADI-47127,VH,16,7,0.4375
ADI-47127,VL,16,6,0.375
ADI-47129,VH,16,3,0.1875
ADI-47129,VL,16,6,0.375
ADI-47130,VH,16,5,0.3125
ADI-47130,VL,16,8,0.5
ADI-47131,VH,16,3,0.1875
ADI-47131,VL,16,6,0.375
ADI-47132,VH,16,8,0.5
ADI-47132,VL,16,6,0.375
ADI-47133,VH,16,10,0.625
ADI-47133,VL,16,2,0.125
ADI-47134,VH,16,8,0.5
ADI-47134,VL,16,4,0.25
ADI-47135,VH,64,59,0.921875
ADI-47135,VL,64,64,1.0
ADI-47137,VH,16,4,0.25
ADI-47137,VL,16,8,0.5
ADI-47139,VH,16,4,0.25
ADI-47139,VL,16,4,0.25
ADI-47140,VH,16,2,0.125
ADI-47140,VL,16,6,0.375
ADI-47141,VH,16,10,0.625
ADI-47141,VL,16,2,0.125
ADI-47143,VH,64,61,0.953125
ADI-47143,VL,64,64,1.0
ADI-47145,VH,16,3,0.1875
ADI-47145,VL,16,4,0.25
ADI-47146,VH,16,2,0.125
ADI-47146,VL,16,6,0.375
ADI-47147,VH,16,2,0.125
ADI-47147,VL,16,8,0.5
ADI-47148,VH,64,63,0.984375
ADI-47148,VL,64,64,1.0
ADI-47149,VH,16,5,0.3125
ADI-47149,VL,16,4,0.25
ADI-47151,VH,16,7,0.4375
ADI-47151,VL,16,3,0.1875
ADI-47152,VH,16,8,0.5
ADI-47152,VL,16,3,0.1875
ADI-47153,VH,16,3,0.1875
ADI-47153,VL,16,1,0.0625
ADI-47154,VH,16,7,0.4375
ADI-47154,VL,16,5,0.3125
ADI-47155,VH,16,3,0.1875
ADI-47155,VL,16,4,0.25
ADI-47156,VH,16,1,0.0625
ADI-47156,VL,16,4,0.25
ADI-47158,VH,16,9,0.5625
ADI-47158,VL,16,5,0.3125
ADI-47159,VH,16,5,0.3125
ADI-47159,VL,16,4,0.25
ADI-47160,VH,16,10,0.625
ADI-47160,VL,16,6,0.375
ADI-47161,VH,16,1,0.0625
ADI-47161,VL,16,3,0.1875
ADI-47162,VH,16,9,0.5625
ADI-47162,VL,16,6,0.375
ADI-47163,VH,16,6,0.375
ADI-47163,VL,16,5,0.3125
ADI-47165,VH,16,1,0.0625
ADI-47165,VL,16,7,0.4375
ADI-47166,VH,16,2,0.125
ADI-47166,VL,16,8,0.5
ADI-47173,VH,16,4,0.25
ADI-47173,VL,16,4,0.25
ADI-47174,VH,16,4,0.25
ADI-47174,VL,16,2,0.125
ADI-47175,VH,16,1,0.0625
ADI-47175,VL,16,4,0.25
ADI-47176,VH,16,5,0.3125
ADI-47176,VL,16,5,0.3125
ADI-47177,VH,16,2,0.125
ADI-47177,VL,16,2,0.125
ADI-47178,VH,16,2,0.125
ADI-47178,VL,16,6,0.375
ADI-47179,VH,16,4,0.25
ADI-47179,VL,16,4,0.25
ADI-47180,VH,16,3,0.1875
ADI-47180,VL,16,4,0.25
ADI-47181,VH,16,1,0.0625
ADI-47181,VL,16,5,0.3125
ADI-47182,VH,16,4,0.25
ADI-47182,VL,16,7,0.4375
ADI-47183,VH,16,3,0.1875
ADI-47183,VL,16,8,0.5
ADI-47184,VH,16,4,0.25
ADI-47184,VL,16,4,0.25
ADI-47186,VH,16,5,0.3125
ADI-47186,VL,16,3,0.1875
ADI-47187,VH,16,2,0.125
ADI-47187,VL,16,4,0.25
ADI-47188,VH,16,5,0.3125
ADI-47188,VL,16,6,0.375
ADI-47189,VH,16,9,0.5625
ADI-47189,VL,16,1,0.0625
ADI-47190,VH,16,5,0.3125
ADI-47190,VL,16,3,0.1875
ADI-47191,VH,16,6,0.375
ADI-47191,VL,16,3,0.1875
ADI-47192,VH,16,5,0.3125
ADI-47192,VL,16,4,0.25
ADI-47193,VH,16,4,0.25
ADI-47193,VL,16,6,0.375
ADI-47194,VH,16,7,0.4375
ADI-47194,VL,16,6,0.375
ADI-47195,VH,16,2,0.125
ADI-47195,VL,16,4,0.25
ADI-47196,VH,16,6,0.375
ADI-47196,VL,16,4,0.25
ADI-47197,VH,16,6,0.375
ADI-47197,VL,16,3,0.1875
ADI-47198,VH,16,8,0.5
ADI-47198,VL,16,4,0.25
ADI-47199,VH,16,11,0.6875
ADI-47199,VL,16,6,0.375
ADI-47200,VH,16,4,0.25
ADI-47200,VL,16,6,0.375
ADI-47201,VH,16,2,0.125
ADI-47201,VL,16,1,0.0625
ADI-47202,VH,16,4,0.25
ADI-47202,VL,16,3,0.1875
ADI-47203,VH,16,1,0.0625
ADI-47203,VL,16,2,0.125
ADI-47204,VH,16,4,0.25
ADI-47204,VL,16,3,0.1875
ADI-47205,VH,16,2,0.125
ADI-47205,VL,16,1,0.0625
ADI-47206,VH,16,2,0.125
ADI-47206,VL,16,8,0.5
ADI-47207,VH,16,6,0.375
ADI-47207,VL,16,5,0.3125
ADI-47208,VH,16,2,0.125
ADI-47208,VL,16,8,0.5
ADI-47209,VH,16,7,0.4375
ADI-47209,VL,16,3,0.1875
ADI-47212,VH,16,6,0.375
ADI-47212,VL,16,3,0.1875
ADI-47213,VH,16,6,0.375
ADI-47213,VL,16,6,0.375
ADI-47214,VH,16,1,0.0625
ADI-47214,VL,16,4,0.25
ADI-47215,VH,16,3,0.1875
ADI-47215,VL,16,9,0.5625
ADI-47216,VH,16,6,0.375
ADI-47216,VL,16,5,0.3125
ADI-47217,VH,16,2,0.125
ADI-47217,VL,16,8,0.5
ADI-47218,VH,16,4,0.25
ADI-47218,VL,16,7,0.4375
ADI-47219,VH,64,64,1.0
ADI-47219,VL,64,63,0.984375
ADI-47220,VH,16,6,0.375
ADI-47220,VL,16,10,0.625
ADI-47221,VH,16,1,0.0625
ADI-47221,VL,16,2,0.125
ADI-47222,VH,16,5,0.3125
ADI-47222,VL,16,2,0.125
ADI-47223,VH,16,4,0.25
ADI-47223,VL,16,3,0.1875
ADI-47224,VH,16,2,0.125
ADI-47224,VL,16,5,0.3125
ADI-47225,VH,16,7,0.4375
ADI-47225,VL,16,8,0.5
ADI-47226,VH,16,11,0.6875
ADI-47226,VL,16,6,0.375
ADI-47227,VH,16,6,0.375
ADI-47227,VL,16,-1,
ADI-47228,VH,16,2,0.125
ADI-47228,VL,16,3,0.1875
ADI-47229,VH,16,7,0.4375
ADI-47229,VL,16,3,0.1875
ADI-47230,VH,16,4,0.25
ADI-47230,VL,16,6,0.375
ADI-47231,VH,16,2,0.125
ADI-47231,VL,16,5,0.3125
ADI-47232,VH,16,1,0.0625
ADI-47232,VL,16,4,0.25
ADI-47233,VH,64,59,0.921875
ADI-47233,VL,64,59,0.921875
ADI-47234,VH,16,4,0.25
ADI-47234,VL,16,-1,
ADI-47235,VH,16,8,0.5
ADI-47235,VL,16,6,0.375
ADI-47236,VH,16,6,0.375
ADI-47236,VL,16,4,0.25
ADI-47237,VH,16,1,0.0625
ADI-47237,VL,16,4,0.25
ADI-47238,VH,16,9,0.5625
ADI-47238,VL,16,4,0.25
ADI-47239,VH,16,2,0.125
ADI-47239,VL,16,4,0.25
ADI-47240,VH,16,2,0.125
ADI-47240,VL,16,4,0.25
ADI-47241,VH,16,4,0.25
ADI-47241,VL,16,3,0.1875
ADI-47243,VH,16,1,0.0625
ADI-47243,VL,16,5,0.3125
ADI-47244,VH,16,2,0.125
ADI-47244,VL,16,8,0.5
ADI-47246,VH,128,125,0.9765625
ADI-47246,VL,128,126,0.984375
ADI-47247,VH,16,9,0.5625
ADI-47247,VL,16,5,0.3125
ADI-47248,VH,16,2,0.125
ADI-47248,VL,16,12,0.75
ADI-47249,VH,16,10,0.625
ADI-47249,VL,16,5,0.3125
ADI-47250,VH,16,1,0.0625
ADI-47250,VL,16,4,0.25
ADI-47251,VH,64,59,0.921875
ADI-47251,VL,64,63,0.984375
ADI-47252,VH,16,4,0.25
ADI-47252,VL,16,7,0.4375
ADI-47253,VH,16,7,0.4375
ADI-47253,VL,16,6,0.375
ADI-47254,VH,16,8,0.5
ADI-47254,VL,16,4,0.25
ADI-47255,VH,16,7,0.4375
ADI-47255,VL,16,3,0.1875
ADI-47256,VH,64,63,0.984375
ADI-47256,VL,64,57,0.890625
ADI-47257,VH,16,1,0.0625
ADI-47257,VL,16,4,0.25
ADI-47258,VH,16,1,0.0625
ADI-47258,VL,16,2,0.125
ADI-47259,VH,16,3,0.1875
ADI-47259,VL,16,3,0.1875
ADI-47260,VH,16,4,0.25
ADI-47260,VL,16,1,0.0625
ADI-47261,VH,16,9,0.5625
ADI-47261,VL,16,6,0.375
ADI-47262,VH,16,2,0.125
ADI-47262,VL,16,3,0.1875
ADI-47263,VH,16,2,0.125
ADI-47263,VL,16,9,0.5625
ADI-47264,VH,16,11,0.6875
ADI-47264,VL,16,7,0.4375
ADI-47265,VH,16,13,0.8125
ADI-47265,VL,16,2,0.125
ADI-47267,VH,16,9,0.5625
ADI-47267,VL,16,5,0.3125
ADI-47278,VH,16,6,0.375
ADI-47278,VL,16,2,0.125
ADI-47279,VH,16,5,0.3125
ADI-47279,VL,16,5,0.3125
ADI-47280,VH,16,13,0.8125
ADI-47280,VL,16,4,0.25
ADI-47281,VH,16,2,0.125
ADI-47281,VL,16,4,0.25
ADI-47282,VH,16,1,0.0625
ADI-47282,VL,16,2,0.125
ADI-47283,VH,16,-1,
ADI-47283,VL,16,5,0.3125
ADI-47284,VH,16,6,0.375
ADI-47284,VL,16,3,0.1875
ADI-47285,VH,16,6,0.375
ADI-47285,VL,16,7,0.4375
ADI-47286,VH,16,6,0.375
ADI-47286,VL,16,4,0.25
ADI-47287,VH,16,2,0.125
ADI-47287,VL,16,2,0.125
ADI-47288,VH,16,5,0.3125
ADI-47288,VL,16,8,0.5
ADI-47289,VH,16,2,0.125
ADI-47289,VL,16,3,0.1875
ADI-47290,VH,16,7,0.4375
ADI-47290,VL,16,7,0.4375
ADI-47291,VH,16,3,0.1875
ADI-47291,VL,16,5,0.3125
ADI-47292,VH,16,6,0.375
ADI-47292,VL,16,3,0.1875
ADI-47293,VH,16,14,0.875
ADI-47293,VL,16,1,0.0625
ADI-47294,VH,16,4,0.25
ADI-47294,VL,16,5,0.3125
ADI-47295,VH,16,3,0.1875
ADI-47295,VL,16,5,0.3125
ADI-47296,VH,16,1,0.0625
ADI-47296,VL,16,4,0.25
ADI-47297,VH,16,7,0.4375
ADI-47297,VL,16,9,0.5625
ADI-47298,VH,16,5,0.3125
ADI-47298,VL,16,6,0.375
ADI-47299,VH,16,7,0.4375
ADI-47299,VL,16,3,0.1875
ADI-47300,VH,16,5,0.3125
ADI-47300,VL,16,7,0.4375
ADI-47301,VH,16,1,0.0625
ADI-47301,VL,16,5,0.3125
ADI-47302,VH,16,5,0.3125
ADI-47302,VL,16,6,0.375
ADI-47303,VH,16,2,0.125
ADI-47303,VL,16,4,0.25
ADI-47304,VH,16,7,0.4375
ADI-47304,VL,16,4,0.25
