id,generator,extraction_status,error,corr_H_absPhi,corr_H_phi,area_frac_highH_highAbsPhi,area_frac_highH_positivePhi,area_frac_highH_negativePhi,largest_highH_highAbsPhi_patch_area_fraction,largest_highH_positivePhi_patch_area_fraction,largest_highH_negativePhi_patch_area_fraction,CDR_area_frac_highH_highAbsPhi,phi_finite_frac
ADI-37123,esmfold,SUCCESS,,-0.1525968837824805,-0.1552298555752184,0.02755549072506419,0.1471744430530112,0.052580356389048656,0.0020875071902676846,0.0053412993317109,0.003324865214365064,0.0441326465295335,1.0
ADI-37124,esmfold,SUCCESS,,-0.17246472333592852,-0.08463134641396705,0.031605029360976825,0.07455185622090604,0.125188002344346,0.00208479624280094,0.0022299011782461373,0.0031098916172424954,0.08952342852905701,1.0
ADI-37125,esmfold,SUCCESS,,-0.09817602369568165,-0.2267674894676602,0.02896308267734801,0.09201855900017197,0.10736617802631729,0.002071664432980203,0.005274562318711339,0.005262624386392952,0.07403456726009738,1.0
ADI-38498,esmfold,SUCCESS,,-0.017543030452682264,-0.1618728926082125,0.03660634965500008,0.08589608311494433,0.11357516349333463,0.003017213923428643,0.004052584008809047,0.003980956926332031,0.0321471100153762,1.0
ADI-38499,esmfold,SUCCESS,,0.06219689008789574,-0.04604165941672393,0.0495595728914807,0.10266890096020552,0.09870409785848365,0.003509904843294899,0.005716797937382786,0.0035547201620539735,0.1383439377431828,1.0
ADI-38500,esmfold,SUCCESS,,-0.10916951214221918,-0.20073712247763567,0.03589860431379028,0.06145982063678663,0.13826974814835147,0.002077521535470513,0.0032405530664159545,0.0033964443090781665,0.025987142614222046,1.0
ADI-38501,esmfold,SUCCESS,,-0.20461100934219179,-0.08503122549120236,0.029168232543377314,0.1262188313294389,0.07348083698877124,0.0048983707567357955,0.0048983707567357955,0.003527071846315945,0.05807273173209263,1.0
ADI-38502,esmfold,SUCCESS,,-0.21084973587805983,-0.11935861119380489,0.019227794199099688,0.1190399193066107,0.08135055821486918,0.0011900228148709574,0.00326802401752997,0.0030863264215540386,0.03618582940896482,1.0
ADI-38503,esmfold,SUCCESS,,0.04813816972956715,0.029011130742792633,0.04209432175925148,0.1367642372746632,0.0623413999503146,0.0022385654161068353,0.003986723773210509,0.0032328615545061377,0.11636604334899651,1.0
ADI-45368,esmfold,SUCCESS,,-0.18654876309489563,-0.19701864320209808,0.025973103774447445,0.10817241156448103,0.09163520483390764,0.0021632679743966926,0.003229190491592091,0.006203914923813782,0.03760864366610952,1.0
ADI-45370,esmfold,SUCCESS,,0.008348103116359381,-0.05622558156413972,0.03453614902147585,0.0718822130065036,0.12556719477096734,0.0031867167575404184,0.0030723416197434707,0.004333892488640368,0.035880426578589426,1.0
