target,family,variant_id,recipe_id,annotation_mode,merge_mode,chain_mode,primary_mae,shadow_mae,cv_mean_mae,cv_worst_mae,seed_dispersion_primary,seed_dispersion_shadow,n_trainable_parameters,config_hash,final_preset,final_n_estimators,corresponding_linear_primary,corresponding_linear_shadow,delta_primary_vs_linear,delta_shadow_vs_linear,primary_rotations,public_mae,private_mae,overall_test_mae,notes,selected_by_cv,best_epochs_primary,quick
TmApp,frozen_transformer,TMF2,,full,concat,HL,3.3177692899978704,3.214610237152979,3.266189763575425,3.3177692899978704,0.0751372272505434,0.0601953616553897,501633,a1022f580b4768c0,,,2.732072376654289,2.784957206877823,-0.5856969133435812,-0.4296530302751558,,3.5955287792064525,3.255966657473717,3.425747718340085, POSTMORTEM ONLY contextual_linear=TM_PARENT_ABLINGUA_CDR3__RIDGE,False,"{'101': [18, 6, 11, 8, 20], '202': [14, 10, 36, 9, 20], '303': [11, 8, 8, 8, 13]}",False
TmApp,frozen_transformer,TMF3,,full,mean,HL,3.2594092176774887,3.319853967109335,3.289631592393412,3.319853967109335,0.0635520833986723,0.1903189698363689,485249,15f621484c244785,,,2.732072376654289,2.784957206877823,-0.5273368410231996,-0.5348967602315118,,3.882902922453704,3.357093905225212,3.619998413839458, POSTMORTEM ONLY contextual_linear=TM_PARENT_ABLINGUA_CDR3__RIDGE,False,"{'101': [52, 7, 16, 20, 15], '202': [37, 23, 16, 17, 3], '303': [16, 6, 13, 11, 62]}",False
HIC,scratch_transformer,HICS1,,minimal,h_only,H_ONLY,0.5008957510740177,0.5168522469163431,0.5088739989951805,0.5168522469163431,0.0163041673271361,0.0237528052072039,303233,11277014100e511d,,,0.4872225781431885,0.4833719610538652,-0.0136731729308292,-0.0334802858624779,,0.5067153060347946,0.4945421767058194,0.500628741370307, POSTMORTEM ONLY contextual_linear=HIC_HYDRO_TITRATION__LASSO,False,"{'101': [7, 19, 15, 54, 42], '202': [45, 23, 72, 48, 17], '303': [68, 21, 33, 54, 25]}",False
HIC,scratch_transformer,HICS2,,full,h_only,H_ONLY,0.4994417613779076,0.5109553957652653,0.5051985785715865,0.5109553957652653,0.0201362990419265,0.0319924265008158,324097,11fdc7aab0df64a8,,,0.4872225781431885,0.4833719610538652,-0.0122191832347191,-0.0275834347114,,0.5106221749576522,0.5184216823813356,0.5145219286694939, POSTMORTEM ONLY contextual_linear=HIC_HYDRO_TITRATION__LASSO,False,"{'101': [31, 20, 13, 65, 19], '202': [18, 11, 63, 17, 16], '303': [35, 16, 97, 33, 20]}",False
HIC,frozen_transformer,HICF1,,minimal,h_only,H_ONLY,0.5287635114536364,0.5144555105044519,0.5216095109790442,0.5287635114536364,0.0323459260606803,0.0029585537236765,464385,4e8dc7327c4d98bc,,,0.4872225781431885,0.4833719610538652,-0.0415409333104479,-0.0310835494505867,,0.4548230620019229,0.524322588791082,0.4895728253965024, POSTMORTEM ONLY contextual_linear=HIC_HYDRO_TITRATION__LASSO,False,"{'101': [31, 26, 45, 39, 59], '202': [39, 14, 122, 73, 68], '303': [29, 24, 69, 42, 73]}",False
HIC,frozen_transformer,HICF2,,full,h_only,H_ONLY,0.5096992157202199,0.5155678999316055,0.5126335578259127,0.5155678999316055,0.0280008119426994,0.015965064850628,485249,bb17a493d1d9f8f9,,,0.4872225781431885,0.4833719610538652,-0.0224766375770314,-0.0321959388777402,,0.4670790704797816,0.4729598936858,0.4700194820827907, POSTMORTEM ONLY contextual_linear=HIC_HYDRO_TITRATION__LASSO,False,"{'101': [18, 16, 45, 52, 15], '202': [23, 39, 42, 59, 111], '303': [14, 8, 30, 34, 36]}",False
TmApp,fusion_transformer,TMS3__FUSION__TM_PARENT_ABLINGUA_CDR3__RIDGE,TM_PARENT_ABLINGUA_CDR3__RIDGE,full,mean,HL,2.7694345482092335,2.900661892361111,2.8350482202851723,2.900661892361111,0.04699977976022884,0.01587443331088678,377218,03a66450edbe8f11,,,2.732072376654289,2.784957206877823,-0.03736217155494437,-0.11570468548328794,,3.076469233006607,3.182338196554302,3.1294037147804543, POSTMORTEM ONLY,False,"{'101': [14, 22, 14, 35, 29], '202': [22, 20, 6, 17, 54], '303': [44, 22, 9, 12, 93]}",False
TmApp,fusion_transformer,TMS3__FUSION__TM_PARENT_ABLINGUA_GLOBAL__RIDGE,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,full,mean,HL,2.7264024789441272,2.8779582506344648,2.802180364789296,2.8779582506344648,0.07197866387563046,0.0563511547476938,375170,528029aa612a6ab7,,,2.7466001170280285,2.822725206703513,0.020197638083901293,-0.05523304393095163,,3.1918426325291764,3.1535706696686923,3.172706651098934, POSTMORTEM ONLY,False,"{'101': [92, 41, 12, 24, 60], '202': [15, 20, 47, 10, 93], '303': [58, 19, 12, 19, 49]}",False
TmApp,fusion_transformer,TMS3__FUSION__TM_BASE_BIOEMU_MPNN__RIDGE,TM_BASE_BIOEMU_MPNN__RIDGE,full,mean,HL,2.7522207110997576,2.96677258966391,2.8594966503818338,2.96677258966391,0.05009751489445047,0.04052125486347759,373122,85e8e05ec1b75a79,,,2.702681240871287,2.845936772811553,-0.049539470228470606,-0.12083581685235689,,3.1166223596643516,3.267218318986304,3.191920339325328, POSTMORTEM ONLY,False,"{'101': [80, 31, 11, 15, 23], '202': [25, 22, 11, 12, 45], '303': [19, 33, 14, 48, 45]}",False
TmApp,fusion_transformer,TMF2__FUSION__TM_PARENT_ABLINGUA_CDR3__RIDGE,TM_PARENT_ABLINGUA_CDR3__RIDGE,full,concat,HL,2.7468702057261534,2.8230488231643243,2.784959514445239,2.8230488231643243,0.1037679601577313,0.009861138856132077,562946,e90be082221a2a12,,,2.732072376654289,2.784957206877823,-0.014797829071864221,-0.03809161628650104,,3.2848993937174478,3.188081764880522,3.2364905792989846, POSTMORTEM ONLY,False,"{'101': [91, 13, 20, 7, 42], '202': [52, 21, 22, 8, 22], '303': [43, 10, 48, 9, 47]}",False
TmApp,fusion_transformer,TMF2__FUSION__TM_PARENT_ABLINGUA_GLOBAL__RIDGE,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,full,concat,HL,2.7580652825626317,2.799007486414027,2.778536384488329,2.799007486414027,0.06671263961487997,0.040328045725192135,560898,4bdf868e4742e8ab,,,2.7466001170280285,2.822725206703513,-0.011465165534603194,0.023717720289486266,,3.2866464308750483,3.2090721601321373,3.2478592955035928, POSTMORTEM ONLY,False,"{'101': [42, 17, 10, 8, 41], '202': [24, 23, 50, 8, 28], '303': [43, 23, 23, 8, 70]}",False
TmApp,fusion_transformer,TMF2__FUSION__TM_BASE_BIOEMU_MPNN__RIDGE,TM_BASE_BIOEMU_MPNN__RIDGE,full,concat,HL,2.753815709808727,2.772998134785718,2.7634069222972224,2.772998134785718,0.08419078596142356,0.017491536534486506,558850,c8a3d89c11718657,,,2.702681240871287,2.845936772811553,-0.05113446893743978,0.072938638025835,,3.267984555091387,3.2807702900450906,3.274377422568239, POSTMORTEM ONLY,False,"{'101': [85, 13, 26, 11, 17], '202': [46, 15, 8, 10, 47], '303': [53, 22, 27, 14, 32]}",False
HIC,fusion_transformer,HICS2__FUSION__HIC_HYDRO_TITRATION__LASSO,HIC_HYDRO_TITRATION__LASSO,full,h_only,H_ONLY,0.4434767347265172,0.4502519788545835,0.44686435679055037,0.4502519788545835,0.016010566450505696,0.013200052585889391,429378,8eb54002cd7b56d8,,,0.4872225781431885,0.4833719610538652,0.04374584341667126,0.033119982199281695,,0.41316519635989346,0.47155013378755534,0.44235766507372437, POSTMORTEM ONLY,False,"{'101': [97, 39, 23, 36, 31], '202': [56, 26, 25, 30, 15], '303': [35, 4, 91, 44, 18]}",False
HIC,fusion_transformer,HICS2__FUSION__HIC_ARO_CONTINUOUS_SURFACE__LASSO,HIC_ARO_CONTINUOUS_SURFACE__LASSO,full,h_only,H_ONLY,0.43676911728470397,0.46020521705533246,0.44848716717001824,0.46020521705533246,0.0017526772373151046,0.011173653463030097,430082,11f8560b2408eb16,,,0.4822073134231601,0.4898232886862832,0.04543819613845612,0.02961807163095076,,0.42913513296621814,0.47722415283579883,0.4531796429010084, POSTMORTEM ONLY,False,"{'101': [21, 62, 52, 24, 6], '202': [38, 17, 24, 68, 14], '303': [34, 22, 56, 40, 18]}",False
HIC,fusion_transformer,HICS2__FUSION__HIC_ESM2_SEQ_AROMATIC__LASSO,HIC_ESM2_SEQ_AROMATIC__LASSO,full,h_only,H_ONLY,0.44220349267088327,0.4413279370437435,0.4417657148573134,0.44220349267088327,0.006390847881292153,0.006333896405338496,427202,a452dd916d7f1e1f,,,0.4927303900206625,0.4808724742416768,0.05052689734977922,0.03954453719793327,,0.3976063614833502,0.48003388986469775,0.43882012567402406, POSTMORTEM ONLY,False,"{'101': [40, 7, 59, 31, 9], '202': [29, 11, 50, 49, 55], '303': [53, 15, 39, 24, 24]}",False
HIC,fusion_transformer,HICF2__FUSION__HIC_HYDRO_TITRATION__LASSO,HIC_HYDRO_TITRATION__LASSO,full,h_only,H_ONLY,0.449374951900278,0.45104379311706794,0.450209372508673,0.45104379311706794,0.006449209147457903,0.015076225010671416,590530,6230724a1feeb94b,,,0.4872225781431885,0.4833719610538652,0.03784762624291049,0.03232816793679727,,0.41071111966356816,0.47167634384720397,0.4411937317553861, POSTMORTEM ONLY,False,"{'101': [72, 12, 65, 32, 10], '202': [41, 29, 26, 62, 10], '303': [71, 26, 56, 45, 40]}",False
HIC,fusion_transformer,HICF2__FUSION__HIC_ARO_CONTINUOUS_SURFACE__LASSO,HIC_ARO_CONTINUOUS_SURFACE__LASSO,full,h_only,H_ONLY,0.4475720075128499,0.47237872057000296,0.45997536404142647,0.47237872057000296,0.00841198792337724,0.012287992954561776,591234,1d3f1c945c8f1e48,,,0.4822073134231601,0.4898232886862832,0.034635305910310166,0.017444568116280257,,0.429567148750211,0.47840636943299086,0.4539867590916009, POSTMORTEM ONLY,False,"{'101': [36, 40, 66, 29, 14], '202': [56, 14, 44, 23, 33], '303': [34, 11, 49, 31, 9]}",False
HIC,fusion_transformer,HICF2__FUSION__HIC_ESM2_SEQ_AROMATIC__LASSO,HIC_ESM2_SEQ_AROMATIC__LASSO,full,h_only,H_ONLY,0.43452589355280363,0.4424008218270761,0.4384633576899398,0.4424008218270761,0.01113146888509129,0.004558079078692917,588354,912822b65c8a9e5d,,,0.4927303900206625,0.4808724742416768,0.05820449646785886,0.03847165241460071,,0.4129469598840785,0.49804532839928145,0.45549614414167994, POSTMORTEM ONLY,False,"{'101': [46, 15, 52, 38, 12], '202': [40, 13, 68, 28, 11], '303': [43, 21, 52, 29, 7]}",False
