scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,4468f862bb6ea2cfb57d963f158e0d8e1bba38f3e11da5421a6eddd85a61d62f,38,97
primary,1,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,ed6620d9fbd1a11f1672326300f84106f1b58a4f0e9cc50e1e70328d18d6d664,38,96
primary,2,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,6caff8b3fd8871355065a4d7b1b766828da9cbd702e7703be27fd1cc0f18112b,38,97
primary,3,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,e46bf97a07d98d0ac917f6280e6cecb5fb176e47ed9eeab319876235a193ac24,38,98
primary,4,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,5399658015ce96ddd09b34e5905f99c451100997a2686d3ae97947bd9a465f1b,38,98
shadow,0,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,23b041fb49c3c166875ce916322e19e34dab9a16bd45d10d9dad3de7ffd39ce2,38,97
shadow,1,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,1d54477b54b3b689256764e345fa099a949420d14c9976ba5b7c5d3df771fded,38,97
shadow,2,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,083b7db1b2c91822b15d69dc9ba2d0eb851e0d415559979204a317d16b48f4dc,38,98
shadow,3,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,95eebb3d46e60bed7379da3be9f558a614c640d380b6d159cc3572a45156e127,38,97
shadow,4,FS_HIC_SURFACE_PLUS_HSP_BM_R5_PROMOTED,ee7fbf646db9036f5e6f5307ca952d406ebadc533ae49cf4ddb929ea74b42636,38,97
