scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.001,1e-05,15,105,0.00098807879715968,2.7544280543471826,45,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T080_run/checkpoints/primary_k0_lr1e-03_seed101.pt,649131418599f207,101
primary,1,0.0001,1.0000000000000002e-06,12,72,9.926291164466132e-05,3.5317144682913115,42,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T080_run/checkpoints/primary_k1_lr1e-04_seed101.pt,649131418599f207,101
primary,2,0.0001,1.0000000000000002e-06,33,231,9.387718066217124e-05,3.0338594913482666,63,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T080_run/checkpoints/primary_k2_lr1e-04_seed101.pt,649131418599f207,101
primary,3,0.001,1e-05,8,56,0.000997010672950314,2.513193130493164,38,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T080_run/checkpoints/primary_k3_lr1e-03_seed101.pt,649131418599f207,101
primary,4,0.001,1e-05,14,98,0.0009897152912577741,3.239272356033325,44,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T080_run/checkpoints/primary_k4_lr1e-03_seed101.pt,649131418599f207,101
shadow,0,0.0001,1.0000000000000002e-06,20,140,9.781175423251735e-05,2.7329570885860557,50,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T080_run/checkpoints/shadow_k0_lr1e-04_seed101.pt,649131418599f207,101
shadow,1,0.0001,1.0000000000000002e-06,34,238,9.349725996469047e-05,3.2618658542633057,64,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T080_run/checkpoints/shadow_k1_lr1e-04_seed101.pt,649131418599f207,101
shadow,2,0.0001,1.0000000000000002e-06,69,483,7.43468068680349e-05,2.894639015197754,99,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T080_run/checkpoints/shadow_k2_lr1e-04_seed101.pt,649131418599f207,101
shadow,3,0.001,1e-05,31,217,0.0009460482294732421,3.249484900272254,61,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T080_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,649131418599f207,101
shadow,4,0.001,1e-05,7,49,0.0009978031724785245,3.0438344478607178,37,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T080_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,649131418599f207,101
