scheme,fold,best_epoch,selected_initial_lr,lr_at_best_epoch,w_h0_b0,w_h0_b1,w_h0_b2,w_h0_b3,w_h0_b4,w_h0_b5,w_h0_b6,w_h0_b7,w_h1_b0,w_h1_b1,w_h1_b2,w_h1_b3,w_h1_b4,w_h1_b5,w_h1_b6,w_h1_b7,w_h2_b0,w_h2_b1,w_h2_b2,w_h2_b3,w_h2_b4,w_h2_b5,w_h2_b6,w_h2_b7,w_h3_b0,w_h3_b1,w_h3_b2,w_h3_b3,w_h3_b4,w_h3_b5,w_h3_b6,w_h3_b7
primary,0,63,0.0001,7.832312720368048e-05,0.007929660379886627,0.008168782107532024,0.006044581066817045,0.003575786016881466,0.0024426563177257776,0.0033898900728672743,0.006336085498332977,0.013879399746656418,-0.002483941148966551,0.0017875650664791465,0.004649126436561346,0.005679333582520485,0.00589348841458559,0.0038468381389975548,0.0001253223599633202,0.0015946859493851662,0.008446003310382366,0.008641017600893974,0.009409301914274693,0.009173264726996422,0.007514550816267729,-0.00027742955717258155,-0.0021490713115781546,-0.01296460535377264,0.004097609780728817,0.005127941258251667,0.004805983509868383,0.003281285287812352,0.0024565281346440315,0.002674051094800234,0.0022029129322618246,-0.00014613455277867615
primary,1,24,0.001,0.0009680447952607845,-0.0028979324270039797,-0.01664675958454609,-0.029495524242520332,-0.03267564997076988,-0.0261211059987545,-0.0013405501376837492,0.00020335202862042934,-0.029529107734560966,-0.008514954708516598,-0.00977313332259655,-0.012486668303608894,-0.01229406613856554,-0.005419505760073662,0.008903265930712223,0.0149674778804183,-0.013204663060605526,0.020022865384817123,0.0003693143662530929,-0.009319067001342773,-0.007103308103978634,0.0029885433614253998,0.009920043870806694,0.017935071140527725,0.019954636693000793,-0.009111953899264336,0.00526479072868824,0.013838902115821838,0.011400760151445866,0.0005303930956870317,-0.022877462208271027,-0.027474870905280113,-0.02097693271934986
primary,2,30,0.001,0.0009495236500015047,-0.005175712518393993,-0.002331372117623687,-0.002389410277828574,-0.0063039930537343025,-0.016357747837901115,-0.03309103846549988,-0.021153802052140236,0.022958004847168922,-0.021399568766355515,-0.015776511281728745,-0.010252361185848713,-0.006460925564169884,-0.0047009652480483055,-0.00683098379522562,0.008866456337273121,0.025309517979621887,0.010518087074160576,0.012958436273038387,0.016459133476018906,0.019425246864557266,0.018242305144667625,0.00824058149009943,-0.0045239608734846115,0.0015203997027128935,-0.009078503586351871,-0.007003233302384615,0.0025179474614560604,0.017892826348543167,0.029206236824393272,0.027690961956977844,0.016560258343815804,0.019079171121120453
primary,3,65,0.0001,7.702342635146033e-05,-0.0005274831200949848,0.0007010678527876735,0.00112038420047611,3.136962550343014e-05,-0.0014875021297484636,-0.00033305303077213466,0.002620212035253644,0.0045238095335662365,0.006016494706273079,0.006873300299048424,0.007141816429793835,0.006579916458576918,0.005768466275185347,-0.00036242022179067135,-0.005130190402269363,-0.004774971399456263,0.004725116305053234,0.005999288987368345,0.008845065720379353,0.011159195564687252,0.010956482961773872,0.0044960761442780495,0.005259850062429905,-0.006898461375385523,0.004102969076484442,0.006335988640785217,0.006530039943754673,0.005991847719997168,0.005980052053928375,0.005978707689791918,-0.001414019032381475,-0.005947336088865995
primary,4,42,0.001,0.0009008439059511099,0.00530362781137228,0.00623313570395112,0.006440356839448214,0.001583613338880241,-0.0017423342214897275,0.009245507419109344,0.009374964982271194,-0.00949960295110941,0.015131359919905663,-0.008130943402647972,-0.022637605667114258,-0.02442222088575363,-0.01300542987883091,0.027874937281012535,0.023031000047922134,0.02310926653444767,0.01909799501299858,0.013295142911374569,0.0024415531661361456,-0.008451485075056553,-0.012551003135740757,0.029066773131489754,0.03730284050107002,0.017910588532686234,0.016202926635742188,0.004840612877160311,-0.002878447063267231,-0.001657799119129777,0.003006118582561612,0.010543939657509327,0.0025967678520828485,0.008866120129823685
shadow,0,16,0.001,0.00098632311059685,-0.01619129441678524,-0.0247980784624815,-0.029331885278224945,-0.022462954744696617,-0.009951063431799412,-0.0007633513305336237,-0.0052781542763113976,0.006640861742198467,0.00024042926088441163,-0.010831733234226704,-0.021797459572553635,-0.01883065141737461,-0.008963831700384617,-0.00014323934738058597,0.016833657398819923,0.026856577023863792,0.02298968844115734,0.016707468777894974,0.007564480882138014,0.004060183186084032,0.006626515183597803,-0.00021736328199040145,-0.0002033103519352153,0.004269436467438936,0.03217766433954239,0.02191893570125103,0.006782824639230967,0.001218788092955947,0.008037340827286243,0.007179477717727423,-0.029226351529359818,-0.02541392296552658
shadow,1,50,0.0001,8.604725173927785e-05,-0.0030410164035856724,-0.0012209952110424638,-0.0008772470173425972,-0.0023842002265155315,-0.003862265730276704,-0.0026542707346379757,-0.0007120164227671921,0.00421561487019062,-0.0027754835318773985,-0.0013185221469029784,0.00017940760881174356,0.0011534180957823992,0.0013964723329991102,-0.0012884815223515034,-0.0015197187894955277,0.001347757875919342,0.005256783217191696,0.006137159187346697,0.007150454446673393,0.008157936856150627,0.007844524458050728,0.0027650976553559303,0.005368607118725777,-0.0030857385136187077,-0.0001275681279366836,0.001065933145582676,0.0014212069800123572,0.0006104190833866596,-0.0005907173617742956,9.403754665981978e-05,0.001904365955851972,-0.0011993529042229056
shadow,2,84,0.001,0.0006356171597328595,0.012029365636408329,-0.00032469246070832014,-0.014474590308964252,-0.019409744068980217,-0.012567741796374321,-9.568842506268993e-05,0.02386518567800522,0.030429862439632416,-0.009315557777881622,0.0040459223091602325,0.01581333763897419,0.017693040892481804,0.0028579002246260643,-0.016451552510261536,-0.037170153111219406,0.002531626494601369,0.06134151667356491,0.0690150260925293,0.07133426517248154,0.06780287623405457,0.055135577917099,0.02540719136595726,0.005852327216416597,-0.01563902571797371,0.05360649153590202,0.050510283559560776,0.03134534880518913,0.007177532184869051,-0.0029060053639113903,0.01064289454370737,-0.015167112462222576,0.006720804609358311
shadow,3,23,0.01,0.009707359806323416,-0.044040191918611526,-0.04616266489028931,-0.062052857130765915,-0.06723461300134659,-0.02970164828002453,-0.03929148241877556,0.020693697035312653,-0.01496502012014389,-0.08058755844831467,-0.0597788542509079,0.012058639898896217,0.09617440402507782,0.09346655756235123,0.09121866524219513,0.06301916390657425,-0.1414802372455597,0.03646790608763695,0.02384885400533676,-0.04871664196252823,-0.07294473797082901,-0.07539507001638412,-0.07550560683012009,-0.030908046290278435,0.019560879096388817,-0.02311810292303562,-0.03563300147652626,0.017847195267677307,0.02314617671072483,0.0005905819125473499,-0.05230790004134178,-0.05436667054891586,-0.0648040920495987
shadow,4,19,0.001,0.0009803453744100868,0.0246872641146183,0.022789180278778076,0.017367493361234665,0.009660355746746063,0.0032349731773138046,-0.004645708482712507,0.011051245965063572,0.021497733891010284,-0.0302507895976305,-0.01896057464182377,-0.005536037962883711,-0.001094212755560875,-0.007173273712396622,-0.03178173303604126,-0.029671061784029007,-0.01407882571220398,-0.0008020350942388177,-0.006802638527005911,-0.013473281636834145,-0.007197101134806871,0.007996815256774426,0.013798616826534271,0.02408350631594658,0.03269384428858757,0.005070402752608061,-0.001172215910628438,0.004132129717618227,0.011137508787214756,0.006087190005928278,-0.016473844647407532,0.015477397479116917,0.04210607334971428
