pick,antibody_id
random_kappa,ADI-47310
random_kappa,ADI-47208
random_kappa,ADI-45453
random_kappa,ADI-45422
random_kappa,ADI-47071
random_lambda,ADI-47058
random_lambda,ADI-47290
random_lambda,ADI-47213
random_lambda,ADI-38498
random_lambda,ADI-45405
shortest_VH,ADI-47246
longest_VH,ADI-47221
shortest_VL,ADI-47177
longest_VL,ADI-47256
