antibody_id,pair_hash,predictor,model,input,pdb_path,structure_hash,runtime_s,success,n_chains,chain_ids,vh_len,vl_len,error,mean_plddt,chain_lens.A,chain_lens.B
ADI-38498,174d603b07e627affa324c62eab2ee50,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/174d603b07e627affa324c62eab2ee50.pdb,40bb09d86f086b32da8aa27c2a6dfd3f,5.514213860966265,True,2,"A,B",127,108,,72.40137481689453,127,108
ADI-47267,18aa52a1994936af787af171dca9f8f9,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/18aa52a1994936af787af171dca9f8f9.pdb,0e437c1af1fc8b0f7c77127a6cbdd358,4.633952584117651,True,2,"A,B",117,107,,70.82376098632812,117,107
ADI-47306,18daf2cde72e99e23a2a8b025267dc1c,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/18daf2cde72e99e23a2a8b025267dc1c.pdb,5d440cd68b047eee8af374c5fb6e77f7,4.937508283182979,True,2,"A,B",122,107,,74.12187194824219,122,107
ADI-47232,1919957156f4166870b07bb2cdff38de,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1919957156f4166870b07bb2cdff38de.pdb,cefd86a1732ab98072aa7cfc2caa2889,5.834404184482992,True,2,"A,B",134,108,,71.76134490966797,134,108
ADI-47057,19ef8883d89eb586e1adf4de433a2705,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/19ef8883d89eb586e1adf4de433a2705.pdb,da2647555ed34d8111adf5b94c676d6e,5.465338617563248,True,2,"A,B",126,107,,73.05884552001953,126,107
ADI-47185,1a7988243adc8671d655eb531aad0863,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1a7988243adc8671d655eb531aad0863.pdb,f58847e41a89b733581a9e5319026d29,5.4422644674777985,True,2,"A,B",126,106,,73.34886932373047,126,106
ADI-47204,1acc0ae89597a222c3fd0a327daf33a5,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1acc0ae89597a222c3fd0a327daf33a5.pdb,c1cc67b683bc22103e7b357c537e36a1,5.480181128717959,True,2,"A,B",125,108,,72.31588745117188,125,108
ADI-45409,1b21c2bf336ff7abacfa1afa5a67b006,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1b21c2bf336ff7abacfa1afa5a67b006.pdb,7034dfce8420fb11a156beac26d14a13,5.510367706418037,True,2,"A,B",127,107,,72.28661346435547,127,107
ADI-47291,1b34361e03d59722ca56b3337463e0e1,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1b34361e03d59722ca56b3337463e0e1.pdb,b0c5a38ecf6d75c942055a6bc28baa41,5.521267174743116,True,2,"A,B",127,107,,72.3508071899414,127,107
ADI-47201,1bdd9133fed3c5e67db66b8ccf876049,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1bdd9133fed3c5e67db66b8ccf876049.pdb,3b918b162b68a0ff8472bebf4f289ded,4.893090874888003,True,2,"A,B",118,110,,71.70297241210938,118,110
ADI-47069,1c57e82f63fbf8f1d00ce598b03cfeea,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1c57e82f63fbf8f1d00ce598b03cfeea.pdb,42d4b327734883d02920a5b26c305fb6,5.0448618764057755,True,2,"A,B",124,107,,71.87956237792969,124,107
ADI-47117,1cc10ba5cef300f81c10614dbddaefd5,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1cc10ba5cef300f81c10614dbddaefd5.pdb,4fc68fb00ae513c05f0f5efe174f641a,5.7072017304599285,True,2,"A,B",133,107,,71.4517593383789,133,107
ADI-47132,1cc84dc55daeb324b974a7c1b7f56ff8,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1cc84dc55daeb324b974a7c1b7f56ff8.pdb,6eeac8b58a7ba986dfe3de67db4a7b31,4.632760335691273,True,2,"A,B",117,107,,72.27535247802734,117,107
ADI-47141,1d13e8f1db0dba0ae4dd9e4dd44c3803,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1d13e8f1db0dba0ae4dd9e4dd44c3803.pdb,0ad7727d0d2faad2d1da2f3044b9152e,5.46552661433816,True,2,"A,B",120,113,,72.92018127441406,120,113
ADI-47173,1d9ddfda682b1efd9a18c2c5eef3437d,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1d9ddfda682b1efd9a18c2c5eef3437d.pdb,66182ec7697e9d0bb89598f8e7ef8044,5.485940468497574,True,2,"A,B",123,111,,71.80990600585938,123,111
ADI-47276,1df924eb53e56e91c78277d85419413a,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1df924eb53e56e91c78277d85419413a.pdb,cdafa3845231849ba81a954b061e6045,5.5506761921569705,True,2,"A,B",129,107,,71.90185546875,129,107
ADI-46677,1e43899b54162bc35c00b7cce950e58e,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1e43899b54162bc35c00b7cce950e58e.pdb,0fced619329a8a0e25828fc823080090,4.677129995077848,True,2,"A,B",118,107,,73.93138122558594,118,107
ADI-47243,1f8c45bc7ed22c1fe13bc6ca611cd86e,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/1f8c45bc7ed22c1fe13bc6ca611cd86e.pdb,7807ce39a985cb5f6a76f5278f7fffa8,5.43281336966902,True,2,"A,B",126,106,,71.08021545410156,126,106
ADI-46690,2020cefa2c94ce755519c2dcc3201e53,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/2020cefa2c94ce755519c2dcc3201e53.pdb,0d2a78616aa5da273af5034f56a8f7a2,4.5555828446522355,True,2,"A,B",114,107,,72.81717681884766,114,107
ADI-45485,20b6b69183d9a2d62fcaac34cb1fbf65,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/20b6b69183d9a2d62fcaac34cb1fbf65.pdb,aaa83744b2f996052bfc76bc801e3ccc,4.636540128849447,True,2,"A,B",114,110,,73.04667663574219,114,110
ADI-47303,20c445ea6c70749add417c9f847d5a1f,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/20c445ea6c70749add417c9f847d5a1f.pdb,aeedf4ba048ce0b0231fc240e02c8717,4.821352598257363,True,2,"A,B",119,108,,73.83428955078125,119,108
ADI-47060,20d6a904476ed7c66af18680f02f466f,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/20d6a904476ed7c66af18680f02f466f.pdb,9655012ae46cc8664bfdb5a168d86f22,4.762429022230208,True,2,"A,B",119,107,,73.1601333618164,119,107
ADI-47278,20e88d68e33437277d292f2629e6caf5,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/20e88d68e33437277d292f2629e6caf5.pdb,f8c740120923a41be3f3e3bc661c28d3,4.742738666012883,True,2,"A,B",119,107,,72.95536804199219,119,107
ADI-47151,21f7d120136adf850e06e351b2e8c6ec,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/21f7d120136adf850e06e351b2e8c6ec.pdb,95aadb41f4a4bd4af04a4947de821ac9,5.438398064114153,True,2,"A,B",122,110,,71.93020629882812,122,110
