rank,model_id,full_model_name,feature_blocks_full,regressor,preprocessing_full,result_class,cv_primary_mae,cv_shadow_mae,cv_mean_mae,cv_worst_mae,public_mae,private_mae,prediction_source,canonical_replay_status,contains_any_PLM
1,HIC__SIMPLE_blend_seq_surf_adv__HIST,Equal-mean prediction blend of: fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),Equal-mean prediction blend of: fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); advanced surface-patch descriptors (ADV_SURFACE_PATCH) under support-vector regression (SVROpt),equal_mean_blend,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.4251776987709104,0.4320764671385887,0.42862708295474955,0.4320764671385887,0.4204394325858053,0.4239298110263242,HISTORICAL_FROZEN_SUBMISSION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
2,HIC__SIMPLE_blend_seq_surf__HIST,Equal-mean prediction blend of: fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt),Equal-mean prediction blend of: fused ESM-2 Heavy-chain protein-language-model embedding + stage-1 SEQ_ALL sequence descriptors under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt),equal_mean_blend,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.4257721922584362,0.4328749669956691,0.42932357962705264,0.4328749669956691,0.4148392100594437,0.4318145768709808,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
3,HIC__META_diversity__nnls_norm__HIST,prediction-level meta-learner (nnls_norm) over out-of-fold base predictions: antibody-augmented sequence descriptors (SEQ_PLUS_ANTIBODY) under support-vector regression (SVROpt); ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt),prediction-level meta-learner (nnls_norm) over out-of-fold base predictions: antibody-augmented sequence descriptors (SEQ_PLUS_ANTIBODY) under support-vector regression (SVROpt); ESM-2 Heavy-chain protein-language-model embedding under support-vector regression (SVROpt); ESMFold Fv STRUCT_SURFACE_CHEM continuous surface-chemistry descriptors under support-vector regression (SVROpt); Stage-3 incremental fusion advanced surface-patch descriptors under support-vector regression (SVROpt),nnls_norm,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),PREDICTION_LINEAR_BLEND,0.4272903417591817,0.4423748579129398,0.4348325998360607,0.4423748579129398,0.5194744527422738,0.4865147596105628,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,True
4,HIC__ESMFold__STRUCT_SURFACE_CHEM__RidgeOpt__HIST,HIC / ESMFold / STRUCT_SURFACE_CHEM / RidgeOpt,HIC / ESMFold / STRUCT_SURFACE_CHEM / RidgeOpt,RidgeOpt,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),HISTORICAL_LINEAR_OTHER,0.4733210069273621,0.4980658011595116,0.48569340404343686,0.4980658011595116,0.513209993203316,0.4616280262157266,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,False
5,HIC__ADV_SURFACE_PATCH__RidgeOpt__HIST,HIC / ADV_SURFACE_PATCH / RidgeOpt,HIC / ADV_SURFACE_PATCH / RidgeOpt,RidgeOpt,historical Stage pipeline (often SVR bases; not endgame Ridge/Lasso feature matrix),HISTORICAL_LINEAR_OTHER,0.5067822562939059,0.5141865101906903,0.5104843832422981,0.5141865101906903,0.4895884475554022,0.4414819401108522,HISTORICAL_FROZEN_PREDICTION,HISTORICAL_PROTOCOL_NOT_CANONICALLY_REPLAYABLE,False
