component,A_dim,B_dim,A_sha,B_sha,same
recipe,569,569,ad8f39b0c66d50ec,4e4fec4b8e3372a9,NO
AbLingua_GLOBAL,2560,2560,25f06a5405a30094,25f06a5405a30094,YES
RESIDUE_GLOBAL_vs_HL_mean,2560,2560,25f06a5405a30094,d73911a87e11ee64,NO
