scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_SOURCE_SAP24,2193895c07a3460be09015bb5dd56eae100bdbedbca45780b4f62a86607f650d,24,97
primary,1,FS_HIC_SOURCE_SAP24,0023acdaf9ff9048d8f4c570d639d327b87270626e4ebf6daec5d67e1b049330,24,96
primary,2,FS_HIC_SOURCE_SAP24,ed09ac7b62a181dc47e09f88799a075067e9fc3e4bc144d4ac5ff0bd693626d6,24,97
primary,3,FS_HIC_SOURCE_SAP24,0b97b5fc7448643baa475b7ce7db80b18fdca7cc364427514a8abb8a87645984,24,98
primary,4,FS_HIC_SOURCE_SAP24,12f204db9886776ed3a71ccdb25eebe8f4e1d3a8e58b207a08dec87e0ff7007c,24,98
shadow,0,FS_HIC_SOURCE_SAP24,e632dffd95f32a53317be23adc59d4088a09a45c11d287434685effa7bd8578b,24,97
shadow,1,FS_HIC_SOURCE_SAP24,cbe2ecb5733409ac8e30723572d167dbfbe2d9ed3a68ee181bd8021bcf17420e,24,97
shadow,2,FS_HIC_SOURCE_SAP24,4404bec54756683edd67756986f8854a3b47eae7457ce870abdb413049629cec,24,98
shadow,3,FS_HIC_SOURCE_SAP24,eff74d781cfa60528f80f635daf39dbd0ea6342a600487bd1f3606da9d6a21d7,24,97
shadow,4,FS_HIC_SOURCE_SAP24,a4392fd0fdcb9320b24b5270c312a57ffafcab267b4a20831340bbfe023f3a75,24,97
