experiment_code,scheme,fold,seed,initial_lr,eta_min,epoch,optimizer_step,train_loss,val_loss,val_mae,learning_rate,best_val_mae_so_far,best_epoch_so_far,epochs_since_improvement,is_best,stopped_early,numerical_failure
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,1,7,0.49054426912750515,0.5066363314787546,3.354740027225379,1e-05,3.354740027225379,1,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,2,14,0.5406620119299207,0.4995701213677724,3.3493509003610322,9.99938933078422e-06,3.3493509003610322,2,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,3,21,0.5162840932607651,0.49762533108393353,3.3463486180160986,9.997557473810373e-06,3.3463486180160986,3,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,4,28,0.4713637498872621,0.5007291038831075,3.345864267060251,9.994504881061752e-06,3.345864267060251,4,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,5,35,0.5112602114677429,0.5006442268689474,3.3441451101592095,9.990232305719944e-06,3.3441451101592095,5,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,6,42,0.5607850679329464,0.49660662810007733,3.340801123416785,9.984740801978984e-06,3.340801123416785,6,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,7,49,0.5533216042178017,0.495767742395401,3.3389030225349194,9.978031724785247e-06,3.3389030225349194,7,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,8,56,0.4901480568306787,0.49398015936215717,3.3364384969075522,9.97010672950314e-06,3.3364384969075522,8,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,9,63,0.510240090744836,0.4897170563538869,3.332273309881037,9.960967771506666e-06,3.332273309881037,9,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,10,70,0.4870366970343249,0.48795900742212933,3.3295856822620737,9.950617105696961e-06,3.3295856822620737,10,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,11,77,0.4995874060051782,0.48730379343032837,3.3273650660659326,9.939057285945933e-06,3.3273650660659326,11,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,12,84,0.5113360988242286,0.4876911441485087,3.3257608124704072,9.926291164466131e-06,3.3257608124704072,12,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,13,91,0.5385475030967167,0.49036385615666706,3.325856757886482,9.91232189110701e-06,3.3257608124704072,12,1,False,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,14,98,0.560407110622951,0.49081242084503174,3.324442314379143,9.897152912577742e-06,3.324442314379143,14,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,15,105,0.4758152806067041,0.49214622378349304,3.3237161347360322,9.8807879715968e-06,3.3237161347360322,15,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,16,112,0.5511057163987841,0.49265634020169574,3.321834679805871,9.8632311059685e-06,3.321834679805871,16,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,17,119,0.6972593920571464,0.48880269130071,3.317890745220762,9.844486647586724e-06,3.317890745220762,17,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,18,126,0.47472674186740604,0.49075156450271606,3.317201787775213,9.824559221366101e-06,3.317201787775213,18,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,19,133,0.4706136706684317,0.4922903875509898,3.316004435221354,9.803453744100868e-06,3.316004435221354,19,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,20,140,0.4719008009747735,0.49013885855674744,3.3128636678059897,9.781175423251734e-06,3.3128636678059897,20,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,21,147,0.5147600855146136,0.4916168550650279,3.3114189379142993,9.757729755661012e-06,3.3114189379142993,21,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,22,154,0.598807190145765,0.4888785282770793,3.3079598166725854,9.73312252619635e-06,3.3079598166725854,22,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,23,161,0.5742553515093667,0.4920793374379476,3.3077723185221353,9.707359806323418e-06,3.3077723185221353,23,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,24,168,0.4745962387158735,0.4959416190783183,3.3079692956173057,9.680447952607845e-06,3.3077723185221353,23,1,False,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,25,175,0.4741259344986507,0.4990883966286977,3.3080037434895835,9.652393605146845e-06,3.3077723185221353,23,2,False,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,26,182,0.4775671192577907,0.49859408537546795,3.306238116640033,9.62320368593087e-06,3.306238116640033,26,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,27,189,0.5036721314702716,0.4984272321065267,3.304462548458215,9.592885397135707e-06,3.304462548458215,27,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,28,196,0.45676532660477925,0.49782878160476685,3.3023822668826943,9.561446219345455e-06,3.3023822668826943,28,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,29,203,0.49144396505185534,0.4936922589937846,3.2988422278201943,9.528893909706798e-06,3.2988422278201943,29,0,True,False,False
EXP-T133,primary,0,101,1e-05,1.0000000000000001e-07,30,210,0.5265715420246124,0.4912816683451335,3.295885028261127,9.495236500015048e-06,3.295885028261127,30,0,True,False,False
