scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,25a5b60266fa47baa5e1a1e908f434d316b3d94973ed5361d28c59a7afa38462,44,97
primary,1,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,486b7432473918f1aa72a3977831009ff17e54f4e0896591fc6eb385222ba88c,44,96
primary,2,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,1bcfcac5b9be06b551382e3668e636fdb07cde3526a7a5ae02ece067ab736a9b,44,97
primary,3,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,4d3d6d23bffd0180cd8ac86a28d97370dfed98a4391ba2b5ca1ba875eb387acf,44,98
primary,4,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,66a85238dde2685cf84bc617e09225bc2ef050da6e1416973f760ca0cd59e27f,44,98
shadow,0,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,917290f5c844ad512d9e93d3bda920620786be7d87bad102d3d2380c58a610c9,44,97
shadow,1,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,3efa57e0c60dd487767ba597e51189807002d7dbd5bddd1d3be01ed9c31863c1,44,97
shadow,2,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,07a95a4ca86180a4bcbd4006dc11692ca4935e7b03961ec46b2abbd974d3e596,44,98
shadow,3,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,200417e61747f94a891a0bca043c5ff819a17547bc26ae292b68551bf1d667eb,44,97
shadow,4,FS_HIC_SURFACE_PLUS_STATIC_SAP_KD_CHAIN9,8293714e2ae1aee4cfbd3eb3fc12ed266f1c19347e1ffc9d23327103b580f2e5,44,97
