family,generator,mode,split,MAE,Pearson,Spearman,delta_vs_ref,boot_lo,boot_hi,p_improve,ref,resid_train_corr_mean,n_features
FENNIX_BIO1S,ESMFold,RESIDUAL_RECON,CV,3.0109890362736054,0.49883647264202574,0.5390706590955939,-0.017523696967314262,-0.2285266592010288,0.21660699353642138,0.5786,PLM_ONLY,0.4181221862270842,22
FENNIX_BIO1S,ESMFold_SHADOW,RESIDUAL_RECON,Shadow,2.972059705252377,0.4713146533261196,0.5687143751766424,-0.058885616456444634,-0.3108135893792572,0.2382907252735158,0.6857,PLM_ONLY,0.4176351163259725,22
FENNIX_BIO1S,ABB2,RESIDUAL_RECON,CV,2.8788053749109106,0.544846144195605,0.5109794063918661,-0.14970735833000903,-0.3164730481181803,0.014444882704294428,0.9622,PLM_ONLY,0.425333911523997,22
FENNIX_BIO1S,ABB2_SHADOW,RESIDUAL_RECON,Shadow,2.9076353260818855,0.544905975338464,0.5144035840321073,-0.12330999562693634,-0.30488155894594926,0.06004912677783512,0.9078,PLM_ONLY,0.4451276032783117,22
