scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_SOURCE_SCM24,3abd771b54c1c5f781d95db289395a5dffd7ed5e1800209f59c31a4140a1cef4,24,97
primary,1,FS_HIC_SOURCE_SCM24,a9d045bf81f6eb4355804c9abe9c768d3cfbe2008bfb9265223ed2aa97aad7c9,24,96
primary,2,FS_HIC_SOURCE_SCM24,f4964e2ff1deae05c581b28e19028226914a5aa9d1ce771a0904feb0442e9f3d,24,97
primary,3,FS_HIC_SOURCE_SCM24,c0c6f14ba7696ae134a336b46a69fa0d253d01d7838dff9a9d97f34ae9f28e9c,24,98
primary,4,FS_HIC_SOURCE_SCM24,9fb8275e9752b1c6198081013b45b3cfc08b20ea58122e63fca36d0e34434f24,24,98
shadow,0,FS_HIC_SOURCE_SCM24,6f401ae60097524541a1718a6c83915337fe5eaebeae49a4887526656bad7a3f,24,97
shadow,1,FS_HIC_SOURCE_SCM24,e4755305a0239cc9b3b5a8ad62144f8e27d8da998a9dc7211922a43bb10aee22,24,97
shadow,2,FS_HIC_SOURCE_SCM24,5cb40920757ca26fa4842de9befcc0fff3a87cb0761a131ff7748ef67c7ac72a,24,98
shadow,3,FS_HIC_SOURCE_SCM24,2dbc8a41284a872e84c402dbc3a8bb376fa8fab797436aa423eb0549e009e22d,24,97
shadow,4,FS_HIC_SOURCE_SCM24,c0c0d68d6718075483ae212e714408e83057686d5966e730585c2dece6dea20c,24,97
