milestone,experiment_id,Primary_CV,Public,Private,All_Test
Baseline median,Median,0.518,0.5348641975308642,0.5100864197530864,0.5224753086419752
Stage1 classical,HIC__SEQ_PLUS_ANTIBODY__SVROpt,0.4731976632715575,0.4854080778042301,0.4626168829303635,0.4740124803672968
Stage2 ESM2 Heavy,HIC__esm2__H__SVROpt,0.455161970681699,0.4244994777101785,0.4594613384832783,0.4419804080967285
Stage2 ESM2+SEQ_ALL,HIC__FUSION__esm2__H__SEQ_ALL__SVROpt,0.4484517342380082,0.421606059240731,0.489728574350486,0.4556673167956085
Stage3 SURFACE_CHEM,HIC__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,0.4396859273919143,0.4827069955980685,0.4383407861545345,0.4605238908763015
Stage4 patch fusion,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__SVROpt,0.4372717171539347,0.4399520932236455,0.4386082183322762,0.4392801557779608
Stage5 final blend,HIC__SIMPLE_blend_seq_surf_adv,0.4251776987709104,0.4204394325858053,0.4239298110263242,0.4221846218060647
