split,k,N,N_positive,TP_at_k,Precision_at_k,Recall_at_k,enrichment_at_k
Dev,13,162,17,6,0.46153846153846156,0.35294117647058826,4.398190045248869
Dev,20,162,17,8,0.4,0.47058823529411764,3.811764705882353
Test,13,162,13,7,0.5384615384615384,0.5384615384615384,6.710059171597633
Test,20,162,13,8,0.4,0.6153846153846154,4.984615384615386
