model_family,experiment_id,overall_mae_dev,overall_mae_test,nontail_mae_dev,nontail_mae_test,tail_mae_dev,tail_mae_test,tail_bias_dev,tail_bias_test,underpred_dev,underpred_test,pred_sd_dev,pred_sd_test,roc_auc_dev,roc_auc_test,avg_precision_dev,avg_precision_test,recall_at_13_dev,recall_at_13_test,recall_at_20_dev,recall_at_20_test,pred_sd_ratio_test
Stage1 classical,HIC__SEQ_PLUS_ANTIBODY__SVROpt,0.47333164263488536,0.47401248036729693,0.2976347813201704,0.31513945657747994,1.9719225185545137,2.2949417530351996,-1.9719225185545137,-2.2949417530351996,17,13,0.21054518222385576,0.2480489172791884,0.8056795131845842,0.8265358802271554,0.3045700008021064,0.28780316306074444,0.23529411764705882,0.38461538461538464,0.4117647058823529,0.5384615384615384,0.29036008450515094
ESM2 Heavy,HIC__esm2__H__SVROpt,0.45536377078618634,0.4419804080967285,0.29346909370580176,0.29081265299015285,1.8362301341188783,2.174595447395172,-1.8362301341188783,-2.174595447395172,17,13,0.302610427660036,0.2976395844373737,0.7699797160243408,0.8461538461538463,0.44861977593203295,0.4183576018091912,0.4117647058823529,0.46153846153846156,0.4117647058823529,0.46153846153846156,0.3484097243288584
ESM2 + SEQ_ALL,HIC__FUSION__esm2__H__SEQ_ALL__SVROpt,0.44890446470154804,0.45566731679560857,0.28441834352937384,0.3023694774857659,1.8518743217583282,2.2126963981161127,-1.8518743217583282,-2.2126963981161127,17,13,0.2829893548216374,0.30699928411991667,0.7695740365111563,0.7697470314919979,0.35426605352147533,0.30192739979517746,0.4117647058823529,0.38461538461538464,0.4117647058823529,0.38461538461538464,0.3593659632053505
SURFACE_CHEM,HIC__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,0.4398314398084121,0.4605238908763016,0.3000165642569551,0.33029755230915203,1.6323700842178983,1.9531180790690164,-1.6323700842178983,-1.9531180790690164,17,13,0.3854125827072585,0.4345121291137755,0.8129817444219066,0.8105317501290655,0.5226299938112564,0.483181249906367,0.47058823529411764,0.5384615384615384,0.5882352941176471,0.5384615384615384,0.5086294264529503
ADV_SURFACE_PATCH,HIC__ADV_SURFACE_PATCH__SVROpt,0.4720970028708818,0.46182365804192005,0.3015694071501887,0.3076420902287294,1.9265970840179705,2.2289816275931043,-1.9265970840179705,-2.2289816275931043,17,13,0.2588594668758804,0.25350629579484046,0.7740365111561867,0.8518327310273619,0.3905663588561707,0.5301226331738169,0.35294117647058826,0.38461538461538464,0.47058823529411764,0.6153846153846154,0.29674836027092577
Round1 equal-weight primary,HIC__SIMPLE_blend_seq_surf_adv,0.4251776987709105,0.42218462180606475,0.26587748721320414,0.2730411114891062,1.7839147973513472,2.131598701592744,-1.7839147973513472,-2.131598701592744,17,13,0.2733058280438144,0.2845736313324857,0.8296146044624747,0.8559628291171916,0.47654333362497886,0.5051597580778366,0.35294117647058826,0.5384615384615384,0.47058823529411764,0.6153846153846154,0.3331150345181163
