modality_bucket,N,median,mean,q25,q75
advanced structure,13,0.30512550474527034,0.31790039253710023,0.23911207081361496,0.40242777374104977
advanced structure fusion,2,0.31787539286539035,0.31787539286539035,0.2677336404064312,0.3680171453243495
antibody PLM,8,0.2604854382649817,0.32913363957357994,0.18576113562500662,0.35624215029118766
classical,19,0.3045719980346244,0.17922502871879947,0.2320511969821748,0.36779279898790107
ensemble/meta,25,0.3987662132583334,0.4074279930922906,0.38421674024903174,0.41995450787854605
generic PLM,6,0.21035035762727805,0.24945703486103063,0.12812035234156316,0.3588589948083942
sequence+structure fusion,27,0.33817604943068513,0.36632342584792393,0.261896264609919,0.4572439860154831
structure-only,11,0.25517206353797395,0.20502551268982572,0.08023468854338711,0.29456173732209723
