stage,N,median,mean,q25,q75
Stage1,19,0.3045719980346244,0.17922502871879947,0.2320511969821748,0.36779279898790107
Stage2,11,0.15722541143009616,0.20078134854535168,0.11636727854596662,0.28138274460127866
Stage2b,6,0.4216534684098472,0.4154436597037873,0.2440559415896404,0.4945369599988403
Stage3,35,0.31142878160821263,0.33070193345757887,0.23048160623681335,0.42309762307753274
Stage4,15,0.30512550474527034,0.31789705924753886,0.23635982084258544,0.4059946800559573
Stage5,25,0.3987662132583334,0.4074279930922906,0.38421674024903174,0.41995450787854605
