milestone,experiment_id,Primary_CV,Public,Private,All_Test
Baseline,Median,3.4374,3.7839506172839505,3.771604938271605,3.7777777777777777
Stage1 classical,TmApp__SEQ_BASIC__SVROpt,3.101055299695662,3.58706466602467,3.3515969799822285,3.469330823003449
Stage2 AbLang2+SEQ,TmApp__FUSION__ablang2__HL_paired__SEQ_BASIC__SVROpt,2.7755534883042445,3.238718725937205,3.2629329098894417,3.250825817913324
Stage3 structure fusion,TmApp__FUSION_OVERALL__ESMFold__STRUCT_RASA__SVROpt,2.753910574048997,3.3458181615699707,3.204882588330328,3.2753503749501487
Stage4 interaction fusion,TmApp__FUSION_S3INC__ADV_INTERACTIONS__SVROpt,2.74260866109489,3.3316654936662715,3.1607675588781987,3.246216526272235
Stage5 final stack,TmApp__META_performance__ridge_100.0,2.7134783500422097,3.2306885841030826,3.211552262966718,3.2211204235349
