split,N,pearson,true_sd,pred_sd,sd_ratio,expected_ols_slope_r_sd,fitted_intercept,fitted_slope,difference
Dev,162,0.6019413814484696,0.8070141293347299,0.2733058280438144,0.3386630024298543,0.20385527552811294,7.3252921101065045,0.203855275528113,5.551115123125783e-17
Test,162,0.6111160584904387,0.854280359168266,0.2845736313324857,0.3331150345181163,0.20357194691861766,7.277533922737114,0.2035719469186177,5.551115123125783e-17
