target,family,cv,mode,feature_dim,screen_model,base_MAE,cand_MAE,delta_MAE,boot_lo,boot_hi,p_improve,cand_Spearman,n,incumbent_id,subfamily,structure_source,molecular_scope,standalone_delta,reference_model,incremental_mae,incremental_delta,bootstrap_ci_low,bootstrap_ci_high,generator_robustness,artifact_status,runtime,verdict,notes
HIC,S2_disagreement,Shadow,INC_vs_PLM,14,Ridge,0.5233988520074129,0.5179847274572719,0.005414124550141,-0.0082179083293619,0.0197038746392161,0.7705,0.4337105898157625,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_PLM,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.5179847274572719,0.005414124550141,-0.0082179083293619,0.0197038746392161,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S2_disagreement,Shadow,INC_vs_INCUMBENT,14,Ridge,0.4251776987709105,0.4426680676995647,-0.0174903689286542,-0.0558026589136202,0.0185878747420943,0.1715,0.6239815284926977,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.4426680676995647,-0.0174903689286542,-0.0558026589136202,0.0185878747420943,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S3_surface_graph,Primary,STANDALONE_vs_median,22,Ridge,3.438271604938272,3.399792634357813,0.0384789705804582,-0.1241327943853267,0.196644476677865,0.6735,0.1820648247369989,162,TmApp__META_performance__ridge_100.0,STANDALONE_vs_median,ESMFold_Fv,Fv,0.0384789705804582,TmApp__META_performance__ridge_100.0,,,-0.1241327943853267,0.196644476677865,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S3_surface_graph,Primary,INC_vs_PLM,22,Ridge,3.02851273324092,3.06698838613104,-0.0384756528901202,-0.1627785778801237,0.0916941225829913,0.27,0.4878549064039336,162,TmApp__META_performance__ridge_100.0,INC_vs_PLM,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,3.06698838613104,-0.0384756528901202,-0.1627785778801237,0.0916941225829913,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S3_surface_graph,Primary,INC_vs_INCUMBENT,22,Ridge,2.7134783500422097,2.763259468990111,-0.0497811189479011,-0.0980873212773515,-0.0057013954992966,0.014,0.5940044132514105,162,TmApp__META_performance__ridge_100.0,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,2.763259468990111,-0.0497811189479011,-0.0980873212773515,-0.0057013954992966,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,NO_SIGNAL,
TmApp,S3_surface_graph,Shadow,STANDALONE_vs_median,22,Ridge,3.438271604938272,3.499820276328756,-0.0615486713904842,-0.2087520515688015,0.0936867096303856,0.217,0.0563760335991689,162,TmApp__META_performance__ridge_100.0,STANDALONE_vs_median,ESMFold_Fv,Fv,-0.0615486713904842,TmApp__META_performance__ridge_100.0,,,-0.2087520515688015,0.0936867096303856,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S3_surface_graph,Shadow,INC_vs_PLM,22,Ridge,3.030945321708822,3.004878361251156,0.0260669604576659,-0.0951336736018815,0.1463864171009215,0.65,0.5108748729160502,162,TmApp__META_performance__ridge_100.0,INC_vs_PLM,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,3.004878361251156,0.0260669604576659,-0.0951336736018815,0.1463864171009215,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S3_surface_graph,Shadow,INC_vs_INCUMBENT,22,Ridge,2.7134783500422097,2.7147379115339354,-0.0012595614917256,-0.0193917745136536,0.017696629027718,0.457,0.5908811225077747,162,TmApp__META_performance__ridge_100.0,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,2.7147379115339354,-0.0012595614917256,-0.0193917745136536,0.017696629027718,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S3_surface_graph,Primary,STANDALONE_vs_median,22,Ridge,0.5181666666666666,0.5150922477473279,0.0030744189193386,-0.0711145944957243,0.0821684707520662,0.5195,0.3257839747711437,162,HIC__SIMPLE_blend_seq_surf_adv,STANDALONE_vs_median,ESMFold_Fv,Fv,0.0030744189193386,HIC__SIMPLE_blend_seq_surf_adv,,,-0.0711145944957243,0.0821684707520662,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S3_surface_graph,Primary,INC_vs_PLM,22,Ridge,0.5220492329835269,0.5150292029811515,0.0070200300023753,-0.0277391853939294,0.0405113926930161,0.657,0.4034538777283225,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_PLM,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.5150292029811515,0.0070200300023753,-0.0277391853939294,0.0405113926930161,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S3_surface_graph,Primary,INC_vs_INCUMBENT,22,Ridge,0.4251776987709105,0.4420541612037189,-0.0168764624328084,-0.0573782243886194,0.0254023451351604,0.2145,0.592717106151016,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.4420541612037189,-0.0168764624328084,-0.0573782243886194,0.0254023451351604,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,NO_SIGNAL,
HIC,S3_surface_graph,Shadow,STANDALONE_vs_median,22,Ridge,0.5176481481481482,0.5240088174544029,-0.0063606693062546,-0.0750590378761679,0.0639524151913095,0.4115,0.3785899679958647,162,HIC__SIMPLE_blend_seq_surf_adv,STANDALONE_vs_median,ESMFold_Fv,Fv,-0.0063606693062546,HIC__SIMPLE_blend_seq_surf_adv,,,-0.0750590378761679,0.0639524151913095,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S3_surface_graph,Shadow,INC_vs_PLM,22,Ridge,0.5233988520074129,0.5087537351462811,0.0146451168611317,-0.0196421096539814,0.0500329963557054,0.8025,0.4351727576356425,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_PLM,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.5087537351462811,0.0146451168611317,-0.0196421096539814,0.0500329963557054,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S3_surface_graph,Shadow,INC_vs_INCUMBENT,22,Ridge,0.4251776987709105,0.448846006374017,-0.0236683076031065,-0.0617214851859089,0.0157021321033914,0.112,0.6104607102355061,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.448846006374017,-0.0236683076031065,-0.0617214851859089,0.0157021321033914,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S4_contact_graph,Primary,STANDALONE_vs_median,22,Ridge,3.438271604938272,3.3685943717141806,0.0696772332240911,-0.157035148940357,0.3108634442710916,0.699,0.2845146941093141,162,TmApp__META_performance__ridge_100.0,STANDALONE_vs_median,ESMFold_Fv,Fv,0.0696772332240911,TmApp__META_performance__ridge_100.0,,,-0.157035148940357,0.3108634442710916,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S4_contact_graph,Primary,INC_vs_PLM,22,Ridge,3.02851273324092,3.0189167755526123,0.0095959576883073,-0.1667041584679464,0.1880503092491318,0.5175,0.479274685699798,162,TmApp__META_performance__ridge_100.0,INC_vs_PLM,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,3.0189167755526123,0.0095959576883073,-0.1667041584679464,0.1880503092491318,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S4_contact_graph,Primary,INC_vs_INCUMBENT,22,Ridge,2.7134783500422097,2.754276189932904,-0.0407978398906938,-0.0676954315487278,-0.0138764613853971,0.0,0.5856304342698305,162,TmApp__META_performance__ridge_100.0,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,2.754276189932904,-0.0407978398906938,-0.0676954315487278,-0.0138764613853971,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,NO_SIGNAL,
TmApp,S4_contact_graph,Shadow,STANDALONE_vs_median,22,Ridge,3.438271604938272,3.289068396671099,0.1492032082671728,-0.0765155090579342,0.3973969710928013,0.895,0.3452839589218288,162,TmApp__META_performance__ridge_100.0,STANDALONE_vs_median,ESMFold_Fv,Fv,0.1492032082671728,TmApp__META_performance__ridge_100.0,,,-0.0765155090579342,0.3973969710928013,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
