target,split,cv_to_public,public_to_private,cv_to_private
PSR,canonical,0.4466165413533834,0.38496240601503756,0.24962406015037594
PSR,shadow_1,-0.21954887218045113,0.0706766917293233,0.19849624060150375
PSR,shadow_2,0.10375939849624059,0.47368421052631576,-0.33383458646616543
PSR,shadow_3,0.20082739291602414,0.25864661654135335,0.0218127130882573
HIC,canonical,0.2963520329921854,0.631578947368421,0.725084669554484
HIC,shadow_1,0.7263157894736841,0.45714285714285713,0.6541353383458646
HIC,shadow_2,0.5969924812030075,0.6947368421052631,0.8390977443609022
HIC,shadow_3,0.8180451127819548,0.7353383458646616,0.7774436090225564
TmApp,canonical,0.7984962406015037,0.7503759398496239,0.7999999999999999
TmApp,shadow_1,0.7218045112781954,0.6917293233082705,0.806015037593985
TmApp,shadow_2,0.882706766917293,0.38947368421052625,0.1894736842105263
TmApp,shadow_3,0.5729323308270676,0.5804511278195488,0.7037593984962407
