,psr_score,hic_rt_min,tm_app_C
psr_score,1.0,0.04070173314444408,0.03401937403311822
hic_rt_min,0.04070173314444408,1.0,0.11797065087835712
tm_app_C,0.03401937403311822,0.11797065087835712,1.0
