representation,model,target,split,cv_spearman,cv_pearson,cv_mae,cv_rmse,public_spearman,private_spearman,feature_class,best_params
FUSION_A2_ABB_SURFACE,ElasticNet,TmApp,canonical,0.2662802975273264,0.2791615478519537,3.4803297495344014,4.513678044791477,0.3451653213148822,0.5355477781734336,PARTICIPANT_LEGAL,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}"
FUSION_esm2_ABB_SURFACE,XGBoost,TmApp,canonical,0.379980416810847,,,,0.36240277977511526,0.5877271483213442,PARTICIPANT_LEGAL,"{""max_depth"": 3, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""reg_alpha"": 0.5, ""learning_rate"": 0.03, ""n_estimators"": 1500, ""n_jobs"": 8, ""objective"": ""reg:squarederror""}"
PLM_esm2_t33_650M_UR50D,XGBoost,TmApp,canonical,0.37484974792069836,,,,0.3076678259096485,0.5661461661048297,PARTICIPANT_LEGAL,"{""max_depth"": 3, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""reg_alpha"": 0.5, ""learning_rate"": 0.03, ""n_estimators"": 1500, ""n_jobs"": 8, ""objective"": ""reg:squarederror""}"
STR_ABB_SASA_RASA,XGBoost,TmApp,canonical,0.29779755292831833,,,,0.3461071392485417,0.5047847465983668,PARTICIPANT_LEGAL,"{""max_depth"": 3, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""reg_alpha"": 0.5, ""learning_rate"": 0.03, ""n_estimators"": 1500, ""n_jobs"": 8, ""objective"": ""reg:squarederror""}"
FUSION_esm2_ABB_SURFACE,Ridge,PSR,shadow_1,0.0678713843338269,0.07455169499109474,0.05737455712364692,0.09277162596737853,0.0364264738198497,0.08835670888777247,PARTICIPANT_LEGAL,"{""model__alpha"": 1000}"
FUSION_esm2_ABB_SURFACE,ElasticNet,PSR,shadow_1,0.05778814386548675,0.16221314861266342,0.05218127833619909,0.08564726088419321,0.14698921278524718,0.025644651187587082,PARTICIPANT_LEGAL,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.5}"
FUSION_A2_ABB_SURFACE,Ridge,PSR,shadow_1,0.156559349492309,0.16921095840690714,0.06017214203708717,0.0926227521860578,0.06233961576486473,0.20408279192062137,PARTICIPANT_LEGAL,"{""model__alpha"": 10000}"
FUSION_A2_ABB_SURFACE,ElasticNet,PSR,shadow_1,0.18973547642246355,0.19242228172689857,0.05830246473714881,0.09032221883787285,0.045064187801521376,0.1324643779645485,PARTICIPANT_LEGAL,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.2}"
FUSION_esm2_ABB_SURFACE,Ridge,HIC,shadow_1,0.4940641236943581,0.49613763104122943,0.5808033185126398,0.7791978786327993,0.6519867171503462,0.3732543662545169,PARTICIPANT_LEGAL,"{""model__alpha"": 1000}"
FUSION_esm2_ABB_SURFACE,ElasticNet,HIC,shadow_1,0.4315825115005277,0.40500994566946424,0.5447172276390884,0.7893385736724566,0.5511212181845438,0.34969512936580155,PARTICIPANT_LEGAL,"{""model__alpha"": 1, ""model__l1_ratio"": 0.2}"
FUSION_A2_ABB_SURFACE,Ridge,HIC,shadow_1,0.42682920826589515,0.4284295490664494,0.5518613151319575,0.7795443990929384,0.6472221063649627,0.4066044548372438,PARTICIPANT_LEGAL,"{""model__alpha"": 10000}"
FUSION_A2_ABB_SURFACE,ElasticNet,HIC,shadow_1,0.4552520550281708,0.4669897853444498,0.516079793603079,0.7625029238708545,0.6480963468760421,0.3704132708968796,PARTICIPANT_LEGAL,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.8}"
FUSION_esm2_ABB_SURFACE,Ridge,TmApp,shadow_1,0.5358975276376521,0.5225841459548836,3.192614324096053,3.966466436673972,0.2180396162857398,0.4621802630695289,PARTICIPANT_LEGAL,"{""model__alpha"": 1000}"
