scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.001,1e-05,11,77,0.0009939057285945933,0.5226017862955727,41,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H067_run/checkpoints/primary_k0_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
primary,1,0.001,1e-05,14,84,0.0009897152912577741,0.5287843299634528,44,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H067_run/checkpoints/primary_k1_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
primary,2,0.001,1e-05,24,168,0.0009680447952607845,0.3601544835567474,54,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H067_run/checkpoints/primary_k2_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
primary,3,0.001,1e-05,58,406,0.0008144951148861742,0.46630461215972896,88,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H067_run/checkpoints/primary_k3_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
primary,4,0.0001,1.0000000000000002e-06,125,875,3.2277834642108455e-05,0.37403715658187864,155,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H067_run/checkpoints/primary_k4_lr1e-04_seed101.pt,f4efb3ed83fd3486,101
shadow,0,0.001,1e-05,27,189,0.0009592885397135706,0.41489675718365276,57,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H067_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
shadow,1,0.0001,1.0000000000000002e-06,130,910,2.87230110921322e-05,0.38137586307525634,160,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H067_run/checkpoints/shadow_k1_lr1e-04_seed101.pt,f4efb3ed83fd3486,101
shadow,2,0.0001,1.0000000000000002e-06,43,301,8.961267311259666e-05,0.4672306814193726,73,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H067_run/checkpoints/shadow_k2_lr1e-04_seed101.pt,f4efb3ed83fd3486,101
shadow,3,0.001,1e-05,28,196,0.0009561446219345453,0.39415627219460225,58,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H067_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
shadow,4,0.0001,1.0000000000000002e-06,53,371,8.438508174347009e-05,0.43500132203102115,83,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H067_run/checkpoints/shadow_k4_lr1e-04_seed101.pt,f4efb3ed83fd3486,101
