target,comparison,family,fold,mode,status,N,struct_dim,base_mae,cand_mae,delta
TmApp,BASE+F,HYDROPHOBIC_EXPOSURE,Primary,FREE_ALPHA,OK,158,4,2.7865071960910854,2.7956274352973343,-0.009120239206248826
TmApp,BASE+F,HYDROPHOBIC_EXPOSURE,Primary,BASE_FIXED_ALPHA,OK,158,4,2.7865071960910854,2.7956274352973343,-0.009120239206248826
TmApp,BASE+F,HYDROPHOBIC_EXPOSURE,Shadow,FREE_ALPHA,OK,158,4,2.916742963965431,2.941457271574442,-0.02471430760901061
TmApp,BASE+F,HYDROPHOBIC_EXPOSURE,Shadow,BASE_FIXED_ALPHA,OK,158,4,2.916742963965431,2.941457271574442,-0.02471430760901061
TmApp,BASE+BIOEMU_NEW_PAIRWISE+M1+F,HYDROPHOBIC_EXPOSURE,Primary,FREE_ALPHA,OK,158,4,2.73917222255039,2.743963189197206,-0.004790966646815775
TmApp,BASE+BIOEMU_NEW_PAIRWISE+M1+F,HYDROPHOBIC_EXPOSURE,Primary,BASE_FIXED_ALPHA,OK,158,4,2.73917222255039,2.743963189197206,-0.004790966646815775
TmApp,BASE+BIOEMU_NEW_PAIRWISE+M1+F,HYDROPHOBIC_EXPOSURE,Shadow,FREE_ALPHA,OK,158,4,2.866889206627228,2.892303081183029,-0.02541387455580102
TmApp,BASE+BIOEMU_NEW_PAIRWISE+M1+F,HYDROPHOBIC_EXPOSURE,Shadow,BASE_FIXED_ALPHA,OK,158,4,2.866889206627228,2.892303081183029,-0.02541387455580102
HIC,HIC_ARO+F,HYDROPHOBIC_EXPOSURE,Primary,FREE_ALPHA,OK,158,4,0.4811760208488855,0.48419370331745215,-0.0030176824685666515
HIC,HIC_ARO+F,HYDROPHOBIC_EXPOSURE,Primary,BASE_FIXED_ALPHA,OK,158,4,0.4811760208488855,0.48419370331745215,-0.0030176824685666515
HIC,HIC_ARO+F,HYDROPHOBIC_EXPOSURE,Shadow,FREE_ALPHA,OK,158,4,0.4935631741162478,0.49434354706097056,-0.0007803729447227736
HIC,HIC_ARO+F,HYDROPHOBIC_EXPOSURE,Shadow,BASE_FIXED_ALPHA,OK,158,4,0.4935631741162478,0.49434354706097056,-0.0007803729447227736
