scheme,fold,bundle,prep_hash,effective_dim,n_train
primary,0,FS_HIC_HSP_FP_R5_PROMOTED,dec780f3a82c3852e25f87e31d836cce599648a941784b446bf8f1705248a6f1,3,97
primary,1,FS_HIC_HSP_FP_R5_PROMOTED,9e6c9eb40fa765cfd941a2d5bd67e59010e586e2e8ee71fc97a374d5da5bc398,3,96
primary,2,FS_HIC_HSP_FP_R5_PROMOTED,dcc521a7b879150fe16b41165e2a2e25a84ef53d25611df03f8116911bbe740a,3,97
primary,3,FS_HIC_HSP_FP_R5_PROMOTED,3dc5b9ea5d16d0f594352a8b68fd6c905bc4bc26c87286807bc7bb604f08e4eb,3,98
primary,4,FS_HIC_HSP_FP_R5_PROMOTED,205fd8d8ceb3e223491010ec6c823c9642ce52cca53ff921335eee78cfae3eee,3,98
shadow,0,FS_HIC_HSP_FP_R5_PROMOTED,1ede58df0b618fa4f9315728edb8e7f46049916aff8181e4469fc151231ac4f1,3,97
shadow,1,FS_HIC_HSP_FP_R5_PROMOTED,6e9c63c2b4a670124b32b1d0e0bd898c68a1a1f5426a9ae49e4613f0f7d555a2,3,97
shadow,2,FS_HIC_HSP_FP_R5_PROMOTED,39bba36722a5f4d2b4bcc353e44a0a679b012a1d243c699ef4f0c27ef1158fac,3,98
shadow,3,FS_HIC_HSP_FP_R5_PROMOTED,321f78b5c39a64581021441d6fbce3ded52ce69d2c404821ced8092549de66dc,3,97
shadow,4,FS_HIC_HSP_FP_R5_PROMOTED,730ed653ab1d059371c084f79d1e16b515ebb73500b344a0ccf2f33f37285f7b,3,97
