experiment_id,target,role,Shadow_MAE,delta_vs_stage4_shadow,status
TmApp__FUSION_S3INC__ADV_INTERACTIONS__SVROpt,TmApp,incumbent,2.7707998082463097,0.0003694874946074,STAGE5_EQUIVALENT
TmApp__META_performance__ridge_100.0,TmApp,best_stack,2.759100007677969,-0.0113303130737332,STAGE5_SHADOW_CONFIRMED
TmApp__CAL_ols_affine__incumbent,TmApp,best_cal,2.7789161334419217,0.0084858126902194,STAGE5_PRIMARY_ONLY_GAIN
HIC__FUSION_S3INC__ADV_SURFACE_PATCH__SVROpt,HIC,incumbent,0.4338461923340777,0.0006741473228478,STAGE5_EQUIVALENT
HIC__META_diversity__nnls_norm,HIC,best_stack,0.4423748579129398,0.0092028129017099,STAGE5_PRIMARY_ONLY_GAIN
HIC__CAL_identity__incumbent,HIC,best_cal,0.4338461923340777,0.0006741473228478,STAGE5_EQUIVALENT
HIC__SIMPLE_blend_seq_surf_adv,HIC,shadow_locked_finalist,0.43207646713858877,-0.0010955778726411403,STAGE5_SHADOW_CONFIRMED
HIC__SIMPLE_blend_seq_surf,HIC,shadow_locked_finalist,0.43287496699566913,-0.00029707801556078106,STAGE5_EQUIVALENT
