experiment_id,target,branch,base_model_ids,Primary_MAE,Primary_fold_SD
TmApp__SIMPLE_blend_plm_struct,TmApp,simple_blend,TmApp__ablang2__HL_paired__RidgeOpt_PCANone|TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt,2.8410509465269302,0.3059748555686901
TmApp__SIMPLE_blend_seq_adv,TmApp,simple_blend,TmApp__FUSION__ablang2__HL_paired__SEQ_BASIC__SVROpt|TmApp__ADV_TMAPP_ALL__SVROpt,2.9195792591828837,0.2966059443848657
TmApp__SIMPLE_blend_seq_struct_adv,TmApp,simple_blend,TmApp__FUSION__ablang2__HL_paired__SEQ_BASIC__SVROpt|TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt|TmApp__ADV_TMAPP_ALL__SVROpt,2.955341596772171,0.292341017017105
HIC__SIMPLE_blend_esm2_surf,HIC,simple_blend,HIC__esm2__H__SVROpt|HIC__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,0.43247163689365453,0.03661782846444744
HIC__SIMPLE_blend_seq_surf,HIC,simple_blend,HIC__FUSION__esm2__H__SEQ_ALL__SVROpt|HIC__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,0.42577219225843627,0.04183803700965738
HIC__SIMPLE_blend_seq_surf_adv,HIC,simple_blend,HIC__FUSION__esm2__H__SEQ_ALL__SVROpt|HIC__ESMFold__STRUCT_SURFACE_CHEM__SVROpt|HIC__ADV_SURFACE_PATCH__SVROpt,0.42517769877091044,0.03396539730581622
