target,stage4_incumbent_primary,best_stage5_primary,best_method,delta
TmApp,2.74260866109489,2.7134783500422097,TmApp__META_performance__ridge_100.0,-0.02913031105268038
HIC,0.4372717171539347,0.4251776987709104,HIC__SIMPLE_blend_seq_surf_adv,-0.012094018383024319
