,HIC__ADV_SURFACE_PATCH__SVROpt,HIC__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,HIC__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__SVROpt,HIC__FUSION_S3INC__ADV_SURFACE_PATCH__SVROpt,HIC__FUSION__esm2__H__SEQ_ALL__SVROpt,HIC__SEQ_PLUS_ANTIBODY__SVROpt,HIC__esm2__H__SVROpt
HIC__ADV_SURFACE_PATCH__SVROpt,1.0,0.876470341407425,0.9108261672247369,0.913086448187186,0.9143657990419705,0.9323982228657631,0.9055735900097369
HIC__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,0.876470341407425,1.0,0.9035807191057154,0.9040959723543253,0.8667484154409276,0.8690405152464447,0.8808833989170258
HIC__FUSION_OVERALL__ESMFold__STRUCT_SURFACE_ALL__SVROpt,0.9108261672247369,0.9035807191057154,0.9999999999999999,0.9949303652944019,0.9788853932650688,0.9512497760345475,0.9831072502483654
HIC__FUSION_S3INC__ADV_SURFACE_PATCH__SVROpt,0.913086448187186,0.9040959723543253,0.9949303652944019,1.0,0.9747023665101965,0.9505851806123122,0.9788209371134171
HIC__FUSION__esm2__H__SEQ_ALL__SVROpt,0.9143657990419705,0.8667484154409276,0.9788853932650688,0.9747023665101965,1.0,0.9628249077508294,0.9725397590660056
HIC__SEQ_PLUS_ANTIBODY__SVROpt,0.9323982228657631,0.8690405152464447,0.9512497760345475,0.9505851806123122,0.9628249077508294,0.9999999999999999,0.940291149990793
HIC__esm2__H__SVROpt,0.9055735900097369,0.8808833989170258,0.9831072502483654,0.9788209371134171,0.9725397590660056,0.940291149990793,0.9999999999999999
