,TmApp__ADV_TMAPP_ALL__SVROpt,TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt,TmApp__FUSION_OVERALL__ESMFold__STRUCT_RASA__SVROpt,TmApp__FUSION_S3INC__ADV_INTERACTIONS__SVROpt,TmApp__FUSION__ablang2__HL_paired__SEQ_BASIC__SVROpt,TmApp__SEQ_BASIC__SVROpt,TmApp__ablang2__HL_paired__RidgeOpt_PCANone
TmApp__ADV_TMAPP_ALL__SVROpt,0.9999999999999999,0.9440205610279189,0.8912971343559637,0.8933981785203212,0.8746269156391847,0.9161871435435788,0.747774551006376
TmApp__ESMFold__STRUCT_RASA__ElasticNetOpt,0.9440205610279189,1.0,0.9232693678773656,0.914877606835679,0.8764530023159668,0.9385618785000674,0.7419466944592384
TmApp__FUSION_OVERALL__ESMFold__STRUCT_RASA__SVROpt,0.8912971343559637,0.9232693678773656,1.0,0.9961390672807352,0.9801126247009452,0.9298164192130096,0.868660267409716
TmApp__FUSION_S3INC__ADV_INTERACTIONS__SVROpt,0.8933981785203212,0.914877606835679,0.9961390672807352,0.9999999999999999,0.9801796804417071,0.9290034647846547,0.8683748085096022
TmApp__FUSION__ablang2__HL_paired__SEQ_BASIC__SVROpt,0.8746269156391847,0.8764530023159668,0.9801126247009452,0.9801796804417071,0.9999999999999998,0.9085465774360095,0.8897129534612676
TmApp__SEQ_BASIC__SVROpt,0.9161871435435788,0.9385618785000674,0.9298164192130096,0.9290034647846547,0.9085465774360095,0.9999999999999997,0.7607282916449204
TmApp__ablang2__HL_paired__RidgeOpt_PCANone,0.747774551006376,0.7419466944592384,0.868660267409716,0.8683748085096022,0.8897129534612676,0.7607282916449204,1.0
